Āfrika	Africa
Etiopija	Ethiopia
Monarhs	Monarch
Gana	Ghana
Aprīlis	April
Maijs	May
Jūnijs	June
Jūlijs	July
Augusts	August
Septembris	September
Oktobris	October
Novembris	November
Decembris	December
Otrdiena	Tuesday
Trešdiena	Wednesday
Ceturtdiena	Thursday
Piektdiena	Friday
Sestdiena	Saturday
Svētdiena	Sunday
Laidnis	Bishop (chess)
Bandinieks (šahs)	Pawn (chess)
Zirdziņš (šahs)	Knight (chess)
Tornis (šahs)	Rook (chess)
Karalis (šahs)	King (chess)
Dāma (šahs)	Queen (chess)
Lauva	Lion
Francija	France
Esperanto	Esperanto
Suns	Dog
Apvienotā Karaliste	United Kingdom
Kaķis	Cat
Ķīna	China
Franču valoda	French language
Vikivārdnīca	Wiktionary
Zivis	Fish
Etanols	Ethanol
Alkoholiskie dzērieni	Alcoholic beverage
Brazīlija	Brazil
Spirti	Alcohol
Fransuā Olands	François Hollande
Krievija	Russia
Vaļveidīgie	Cetacea
Optiskā šķiedra	Optical fiber
Jorkšīra	Yorkshire
Kvadrāts	Square
Jūra	Sea
Melnā jūra	Black Sea
Pī	Pi
Pī (burts)	Pi (letter)
Mango	Mango
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	São Paulo (state)
Kvebeka	Quebec
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
English	English
Vācija	Germany
Baltkrievija	Belarus
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	German language
Islande	Iceland
Dievs	God
Igaunija	Estonia
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturn
Saturna gredzeni	Rings of Saturn
Šokolāde	Chocolate
Lidmašīna	Airplane
Karš	War
1 (skaitlis)	1 (number)
2 (skaitlis)	2 (number)
3 (skaitlis)	3 (number)
4 (skaitlis)	4 (number)
5 (skaitlis)	5 (number)
Nulle	0 (number)
Bezgalība	Infinity
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rectangle
Latvija	Latvia
Ukraina	Ukraine
Čehija	Czech Republic
Slovākija	Slovakia
Slovēnija	Slovenia
Viļņa	Vilnius
Moldova	Moldova
Rumānija	Romania
Bulgārija	Bulgaria
Roma	Rome
Maķedonija	Republic of Macedonia
Albānija	Albania
Grenlande	Greenland
Horvātija	Croatia
Bosnija un Hercegovina	Bosnia and Herzegovina
Nūka	Nuuk
Azerbaidžāna	Azerbaijan
Andora	Andorra
Kipra	Cyprus
Gruzija	Georgia (country)
Valonija	Wallonia
Kazahstāna	Kazakhstan
Malta	Malta
Flandrija	Flanders
Monako	Monaco
Melnkalne	Montenegro
Vatikāns	Vatican City
Sanmarīno	San Marino
Brisele	City of Brussels
Briseles galvaspilsētas reģions	Brussels
Kuba	Cuba
Beliza	Belize
Eifeļa tornis	Eiffel Tower
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Bezvadu sakari	Wireless
Datora klaviatūra	Computer keyboard
Java (programmēšanas valoda)	Java (programming language)
Indonēzija	Indonesia
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Turkish language
Mandelbrota kopa	Mandelbrot set
Dienvidāfrika	South Africa
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algeria
Wikisource	Wikisource
Viesuļvētra Sendija	Hurricane Sandy
Uzbekistāna	Uzbekistan
Rasenes	Drosera
Poznaņa	Poznań
Taškenta	Tashkent
Varšava	Warsaw
Eirovīzijas dziesmu konkurss	Eurovision Song Contest
Modēna	Modena
Viskijs	Whisky
Vīns	Wine
Ūdens	Water
Āda (materiāls)	Leather
Koksne	Wood
Tūra	Tours
Televīzija	Television
Dzimums	Sex
Pornogrāfija	Pornography
Islandiešu valoda	Icelandic language
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesus
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Mercury (planet)
Vēsture	History
Perlašēza kapsēta	Père Lachaise Cemetery
Apple Inc.	Apple Inc.
Venera (planēta)	Venus
Valoda	Language
Mīlestība	Love
Diktatūra	Dictatorship
Galaktika	Galaxy
Jupiters (planēta)	Jupiter
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Milky Way
Lanvairpulguingila	Llanfairpwllgwyngyll
Lielais sprādziens	Big Bang
Urāns (planēta)	Uranus
Bretaņa (vēsturisks reģions)	Brittany
Vikipēdija angļu valodā	English Wikipedia
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptune
Astronomija	Astronomy
Singapūra	Singapore
Zinātne	Science
Kosmoloģija	Cosmology
Plutons (pundurplanēta)	Pluto
Monreāla	Montreal
Brīvā programmatūra	Free software
Kempēra	Quimper
Jaunava Marija	Mary (mother of Jesus)
Luijs IX	Louis IX of France
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Yellowstone National Park
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	National heritage site
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	World War I
Otrais pasaules karš	World War II
Ķelne	Cologne
Korupcija	Corruption
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversity
Wikivoyage	Wikivoyage
Degvīns	Vodka
Pulkstenis	Clock
Janka Kupala	Yanka Kupala
Ubuntu Linux	Ubuntu (operating system)
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Metrology
Matemātika	Mathematics
U2	U2
Latīņu valoda	Latin
Bahreina	Bahrain
Armēnija	Armenia
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Cuneiform
Higsa bozons	Higgs boson
Serbija	Serbia
Mēness	Moon
Stambula	Istanbul
Austrālija	Australia
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiology
Fizika	Physics
Argentīna	Argentina
Telesakari	Telecommunication
Peru	Peru
Bioloģija	Biology
Neidentificēts lidojošs objekts	Unidentified flying object
Ziemeļkoreja	North Korea
Kambodža	Cambodia
Dzīvnieku tiesības	Animal rights
Koipera josla	Kuiper belt
Korāns	Quran
Dinozauri	Dinosaur
Zooloģija	Zoology
Islāms	Islam
Bumbieres	Pear
Aleksandrijas bibliotēka	Library of Alexandria
Ščebžešina	Szczebrzeszyn
Ļubļana	Ljubljana
Vonhocka	Wąchock
Salvadors Aljende	Salvador Allende
Botānika	Botany
Lehs Valensa	Lech Wałęsa
Ritenis	Wheel
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Mind
Miers	Peace
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	European Union
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Woman
Sofija	Sofia
Akvedukts	Aqueduct (bridge)
Dons Kihots	Don Quixote
Dzeja	Poetry
Datorvīruss	Computer virus
Černobiļas AES katastrofa	Chernobyl disaster
Hirosimas un Nagasaki bombardēšana	Atomic bombings of Hiroshima and Nagasaki
Milāna	Milan
Draudzība	Friendship
Atmiņa	Memory
Arturs Rembo	Arthur Rimbaud
Turīna	Turin
Izkārnījumi	Feces
Anālā atvere	Anus
Citrons	Lemon
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banana
Emīls Zolā	Émile Zola
Zieds	Flower
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Mariana Trench
Vladimirs Visockis	Vladimir Vysotsky
Everests	Mount Everest
Anatomija	Anatomy
Pilsēta	City
Napoleons Bonaparts	Napoleon
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Physiology
Zvaigzne	Star
Vezuvs	Mount Vesuvius
Saule	Sun
Debesis	Sky
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Light-year
Ciems	Village
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Waldemarsudde
Okeānija	Oceania
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Athletics (sport)
Cenzūra	Censorship
Saules sistēma	Solar System
Baltijas jūra	Baltic Sea
Trieste	Trieste
Visla	Vistula
Elizejas lauki	Champs-Élysées
Odera	Oder
Zobi	Tooth
Ūdeņradis	Hydrogen
Petija Smita	Patti Smith
Hēlijs	Helium
Elle	Hell
Vikikrātuve	Wikimedia Commons
Šķīstītava	Purgatory
Angela Merkele	Angela Merkel
Litijs	Lithium
Berilijs	Beryllium
Skaļrunis	Loudspeaker
Grāmata	Book
Diennakts	Day
Austrumtimora	East Timor
Nakts	Night
Gads	Year
Gadsimts	Century
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rhine
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	All Saints' Day
Katovice	Katowice
Melnais caurums	Black hole
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay
Romas karalis	The King of Rome
Cerera	Ceres (dwarf planet)
Lisabona	Lisbon
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea
Rona	Rhône
Makemake	Makemake
Maikls Blumbergs	Michael Bloomberg
Sekss	Human sexual activity
Erīda (pundurplanēta)	Eris (dwarf planet)
Dubaija	Dubai
Lionels Mesi	Lionel Messi
Paduja	Padua
Bors	Boron
Nikolajs Koperniks	Nicolaus Copernicus
Versaļa	Versailles (France city)
Ogleklis	Carbon
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga River
Slāpeklis	Nitrogen
Bergamo	Bergamo
Skābeklis	Oxygen
Milānas "Internazionale"	Inter Milan
Nīls Jangs	Neil Young
Planēta	Planet
Kleopatra	Cleopatra
Keita Buša	Kate Bush
Mūzika	Music
Venēcija	Venice
Naruto	Naruto
Po (upe)	Po (river)
Šarm eš Šeiha	Sharm el-Sheikh
Ņeva	Neva River
Termometrs	Thermometer
Renna	Rennes
Lille	Lille
Maskava	Moscow
Fluors	Fluorine
Itāļu valoda	Italian language
Čivava (suņu šķirne)	Chihuahua (dog)
Neons	Neon
Čivava	Chihuahua (state)
Sanktpēterburga	Saint Petersburg
Čada	Chad
Nātrijs	Sodium
Ziemeļi	North
Magnijs	Magnesium
Alumīnijs	Aluminium
Jaunzēlande	New Zealand
Dienvidi	South
Indija	India
Silīcijs	Silicon
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Phosphorus
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prose
Dzelzs	Iron
Tonga	Tonga
Rietumi	West
Alesandro Volta	Alessandro Volta
Sērs	Sulfur
Samoa	Samoa
Austrumi	East
Zālamana Salas	Solomon Islands
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Chlorine
Delfta	Delft
Papua-Jaungvineja	Papua New Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fable
Dienvidholande	South Holland
Palau	Palau
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Firefox
Pasaka	Fairy tale
Ziemeļholande	North Holland
Mikronēzija (valsts)	Federated States of Micronesia
Kālijs	Potassium
Lionas "Olympique"	Olympique Lyonnais
Zēlande (province)	Zeeland
Kalcijs	Calcium
Flevolande	Flevoland
Svins	Lead
Māršala Salas	Marshall Islands
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiji
Skandijs	Scandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titanium
Venecuēla	Venezuela
Šahs	Chess
Čingishans	Genghis Khan
Vanādijs	Vanadium
Meina	Maine
Hroms	Chromium
Mājas zirgs	Horse
Amsterdama	Amsterdam
Ierocis	Weapon
Dzīvnieki	Animal
Surinama	Suriname
Mangāns	Manganese
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Art
Ekvadora	Ecuador
Rēnijs	Rhenium
Kolumbija	Colombia
Kobalts	Cobalt
Žans Rasins	Jean Racine
Volframs	Tungsten
Niķelis	Nickel
Zemenes	Fragaria
Pjērs Korneijs	Pierre Corneille
Budisms	Buddhism
Groningena	Groningen
Bolīvija	Bolivia
Osmijs	Osmium
Groningena (province)	Groningen (province)
Varš	Copper
Trinidāda un Tobāgo	Trinidad and Tobago
Pols Verlēns	Paul Verlaine
Augi	Plant
Sentvinsenta un Grenadīnas	Saint Vincent and the Grenadines
Cinks	Zinc
Ņūhempšīra	New Hampshire
Sentlūsija	Saint Lucia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Saint Kitts and Nevis
Sēnes	Fungus
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Friesland
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gelderland
Utrehta (province)	Utrecht (province)
Google Chrome	Google Chrome
Bahamas	The Bahamas
Konektikuta	Connecticut
Mājas vista	Chicken
Antigva un Barbuda	Antigua and Barbuda
Havajas	Hawaii
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	Dominican Republic
Mājas cūka	Domestic pig
Ziemeļu Ledus okeāns	Arctic Ocean
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Iraq
Aļaska	Alaska
Asena	Assen
Gudrība	Wisdom
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panama
Jemena	Yemen
Lozanna	Lausanne
Vīruss	Virus
Poļu valoda	Polish language
Jordānija	Jordan
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kyrgyzstan
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Lebanon
Oregona	Oregon
Maldīvija	Maldives
Amerika	Americas
Jūta	Utah
Liellops	Cattle
Čau	Ciao
Malaizija	Malaysia
Valē kantons	Valais
Mihails Bulgakovs	Mikhail Bulgakov
Mjanma	Burma
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Saudi Arabia
Andrejs Tarkovskis	Andrei Tarkovsky
Šrilanka	Sri Lanka
Josifs Staļins	Joseph Stalin
Svītrkods	Barcode
Sīrija	Syria
Platons	Plato
Gallijs	Gallium
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tajikistan
Pokemoni	Pokémon
Ķīnas Republika	Taiwan
YouTube	YouTube
Germānijs	Germanium
Aristotelis	Aristotle
Taizeme	Thailand
Vilciens	Train
Arsēns	Arsenic
Radio	Radio
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan
Selēns	Selenium
Irīdijs	Iridium
Apvienotie Arābu Emirāti	United Arab Emirates
Broms	Bromine
Platīns	Platinum
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	South Korea
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	The Simpsons
Jekaterinburga	Yekaterinburg
Kriptons	Krypton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nizhny Novgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara, Russia
Rubīdijs	Rubidium
Zelts	Gold
Omska	Omsk
Suecas kanāls	Suez Canal
Kazaņa	Kazan
Zinātnieks	Scientist
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Chelyabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov-on-Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrats	Socrates
Volgograda	Volgograd
Angola	Angola
Perma	Perm
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnoyarsk
Bruneja	Brunei
Tanzānija	Tanzania
Dzīvsudrabs	Mercury (element)
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Philippines
Centrālāfrikas Republika	Central African Republic
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Thallium
Dienvidpols	South Pole
Ziemeļpols	North Pole
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Pedro I of Brazil
Narkotikas	Narcotic
Itrijs	Yttrium
Bismuts	Bismuth
Dzeltenā krāsa	Yellow
Kvantu mehānika	Quantum mechanics
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunisia
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Pekina	Beijing
Dienvidsudāna	South Sudan
Vladivostoka	Vladivostok
Tiva	Tuva
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinews
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comoros
Kongo Republika	Republic of the Congo
Alkmāra	Alkmaar
Oba	Ob River
Kongo Demokrātiskā Republika	Democratic Republic of the Congo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Djibouti
Mēme	Meme
Polonijs	Polonium
Bavārija	Bavaria
Pasaules kauss kalnu slēpošanā	FIS Alpine Ski World Cup
Ekvatoriālā Gvineja	Equatorial Guinea
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	New Delhi
Jānis Pāvils II	Pope John Paul II
Fjodors Dostojevskis	Fyodor Dostoyevsky
Amersforta	Amersfoort
Kamčatkas pussala	Kamchatka Peninsula
Tbilisi	Tbilisi
Andrejs Saharovs	Andrei Sakharov
Zīdainis	Infant
Astats	Astatine
Gabona	Gabon
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Chukchi Peninsula
Komikss	Comics
Gambija	The Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bissau
Kotdivuāra	Ivory Coast
Kamerūna	Cameroon
Maribora	Maribor
Kaboverde	Cape Verde
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libya
Āhene	Aachen
Madagaskara	Madagascar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauritania
Poļi	Poles
Maurīcija	Mauritius
Maroka	Morocco
Mozambika	Mozambique
Namībija	Namibia
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Cirkonijs	Zirconium
Santome un Prinsipi	São Tomé and Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychelles
Kārlis Linnejs	Carl Linnaeus
Sjerraleone	Sierra Leone
Somālija	Somalia
Niobijs	Niobium
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Julius Caesar
Sudāna	Sudan
Svazilenda	Swaziland
Varavīksne	Rainbow
Molibdēns	Molybdenum
Tehnēcijs	Technetium
Hamburga	Hamburg
Vielmaiņa	Metabolism
Narēndra Modi	Narendra Modi
Imūnsistēma	Immune system
Gudžarāta	Gujarat
Ontārio ezers	Lake Ontario
Evolūcija	Evolution
Apvienoto Nāciju Organizācija	United Nations
Augšezers	Lake Superior
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geology
Amdāvāda	Ahmedabad
Ģeogrāfija	Geography
Sirds	Heart
Smadzenes	Brain
Āda	Skin
Krāsa	Color
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Noun
Prāga	Prague
Rutēnijs	Ruthenium
Rodijs	Rhodium
Zilā krāsa	Blue
Pallādijs	Palladium
Sudrabs	Silver
Kadmijs	Cadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburg (Netherlands)
Indijs	Indium
Limburga (Beļģija)	Limburg (Belgium)
Alva	Tin
Urāns (elements)	Uranium
Antimons	Antimony
Telūrs	Tellurium
Ziemeļbrabante	North Brabant
Plutonijs	Plutonium
Jods (elements)	Iodine
Neptūnijs	Neptunium
Ksenons	Xenon
Anime	Anime
Cēzijs	Caesium
Protaktīnijs	Protactinium
Elektriskais lādiņš	Electric charge
Bārijs	Barium
Rietumflandrija	West Flanders
Austrumflandrija	East Flanders
Torijs	Thorium
Antverpenes province	Antwerp (province)
Flāmu Brabante	Flemish Brabant
Hafnijs	Hafnium
Aktīnijs	Actinium
Valoņu Brabante	Walloon Brabant
Tantals	Tantalum
Bills Klintons	Bill Clinton
Namīras province	Namur (province)
Luksemburgas province	Luxembourg (Belgium)
Ljēžas province	Liège (province)
Rādijs	Radium
Eno	Hainaut (province)
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lorraine (region)
Elzasa	Alsace
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercury (mythology)
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne (region)
Mumbaja	Mumbai
Starptautiskā vieglatlētikas federācija	International Association of Athletics Federations
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Lake Michigan
Goa	Goa
Burgundija	Burgundy
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitaine
Džammu un Kašmīra	Jammu and Kashmir
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklenburg-Vorpommern
Lejassaksija	Lower Saxony
Ziemeļreina-Vestfālene	North Rhine-Westphalia
Hesene	Hesse
Reinzeme-Pfalca	Rhineland-Palatinate
Zāra (zeme)	Saarland
Saksija	Saxony
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Thuringia
Saksija-Anhalte	Saxony-Anhalt
Ziemeļdakota	North Dakota
Brandenburga (zeme)	Brandenburg
Brēmene (federālā zeme)	Bremen (state)
Lombardija	Lombardy
Dienviddakota	South Dakota
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piedmont
Jeruzaleme	Jerusalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Aosta Valley
Vašingtona (štats)	Washington (state)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordium
Nevada	Nevada
Dona	Don River (Russia)
Dubnijs	Dubnium
Sīborgijs	Seaborgium
Trentīno-Alto Adidže	Trentino-Alto Adige/Südtirol
Indijas okeāns	Indian Ocean
Veneto	Veneto
Kosova	Kosovo
Karību jūra	Caribbean Sea
Borijs	Bohrium
Friuli-Venēcija Džūlija	Friuli-Venezia Giulia
Hasijs	Hassium
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Liguria
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnerium
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romagna
U Tans	U Thant
Kolorādo (upe)	Colorado River
Darmštatijs	Darmstadtium
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Roentgenium
Toskāna	Tuscany
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicium
Marke	Marche
Umbrija	Umbria
Lacio	Lazio
Abruco	Abruzzo
Apenīni	Apennine Mountains
Alpi	Alps
Karpati	Carpathian Mountains
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Draughts
Dortmunde	Dortmund
Gente	Ghent
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrium
Flerovijs	Flerovium
Ununpentijs	Ununpentium
Livermorijs	Livermorium
Ununseptijs	Ununseptium
Ununoktijs	Ununoctium
Komo (pilsēta)	Como
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Winter
Pavasaris	Spring (season)
Vasara	Summer
Rudens	Autumn
Ekvinokcija	Equinox
Sadams Huseins	Saddam Hussein
Osama bin Ladens	Osama bin Laden
Spāņu valoda	Spanish language
Frīdrihs Hajeks	Friedrich Hayek
Montevideo	Montevideo
Johans Sebastians Bahs	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Tolyatti
Pitsburga	Pittsburgh
Opera	Opera
Filadelfija	Philadelphia
Kolkata	Kolkata
Toljati "Lada"	HC Lada Togliatti
Opel Astra	Opel Astra
Čennai	Chennai
Deli	Delhi
Daka	Dhaka
Bengalūru	Bangalore
