Yn Affrick	Africa
Yn Unnaneys Oarpagh	European Union
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
Feeleeaght	Poetry
Limon	Lemon
Bananey	Banana
Caayr	City
Fyshoaylleeaght	Physiology
Rollage	Star
Yn Ghrian	Sun
PSR B1257+12	PSR B1257+12
Balley beg	Village
Corys ny Greiney	Solar System
Yn Vooir Valtagh	Baltic Sea
Wisła	Vistula
Hiddragien	Hydrogen
Hailium	Helium
Angela Merkel	Angela Merkel
Litçhey	Lithium
Beryllium	Beryllium
Lioar	Book
Laa	Day
Yn Teemor Hiar	East Timor
Blein	Year
Łódź	Łódź
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Towl doo	Black hole
Keres (planaid crivassanagh)	Ceres (dwarf planet)
Lisboa	Lisbon
Rzeszów	Rzeszów
Makemake (planaid crivassanagh)	Makemake
Eris (planaid crivassanagh)	Eris (dwarf planet)
Boron	Boron
Carboan	Carbon
Neetragien	Nitrogen
Ocsygien	Oxygen
Planaid	Planet
Kiaull	Music
Neva (awin)	Neva River
Tempreilyssane	Thermometer
Roazhon	Rennes
Lille	Lille
Moscow	Moscow
Fluoreen	Fluorine
Iddaalish	Italian language
Neoin	Neon
Caayr Pheddyr	Saint Petersburg
Shad	Chad
Sodjum	Sodium
Magnaishum	Magnesium
Ollymin	Aluminium
Yn Teelynn Noa	New Zealand
Yn Injey	India
Shillagon	Silicon
Frankium	Francium
Tuvalu	Tuvalu
Fosfaar	Phosphorus
Yiarn	Iron
Yn Tongey	Tonga
Sulfur	Sulfur
Samoa	Samoa
Ny h-Ellanyn Holomon	Solomon Islands
Vanuatu	Vanuatu
Cloreen	Chlorine
Papooey Guinea Noa	Papua New Guinea
Yn Ollan Yiass	South Holland
Palau	Palau
Argon	Argon
Naaroo	Nauru
Yn Ollan Hwoaie	North Holland
Steatyn Conastit y Vynneeys	Federated States of Micronesia
Potashum	Potassium
Yn Teelynn, y Çheer Injil	Zeeland
Kelkium	Calcium
Flevoland	Flevoland
Leoaie	Lead
Ny h-Ellanyn Varshyl	Marshall Islands
Yn Chiribati	Kiribati
Yn Vongoil	Mongolia
Fiji	Fiji
Scandjum	Scandium
Çhitaanium	Titanium
Yn Veneswaaley	Venezuela
Vanaadjum	Vanadium
Maine	Maine
Cromium	Chromium
Cabbyl	Horse
Amsterdam	Amsterdam
Baagh	Animal
Yn Toorinam	Suriname
Manganaish	Manganese
Yn Pharaguay	Paraguay
Geeaaney	Guyana
Ellyn	Art
Ecuador	Ecuador
Rainium	Rhenium
Yn Cholombey	Colombia
Cobalt	Cobalt
Tungsten	Tungsten
Nickyl	Nickel
Groningen (caayr)	Groningen
Yn Volivia	Bolivia
Osmium	Osmium
Groningen (queiggey)	Groningen (province)
Cobbyr	Copper
Trinaid as Tobago	Trinidad and Tobago
Lus	Plant
Noo Winsen as ny Grenadeenyn	Saint Vincent and the Grenadines
Shinc	Zinc
New Hampshire	New Hampshire
Noo Lucia	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Noo Kitts as Nevis	Saint Kitts and Nevis
Fungys	Fungus
Yn Yamaicey	Jamaica
Grenada	Grenada
Yn Reeshlann (queiggey)	Friesland
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Yn Ghuatemaley	Guatemala
Gelderland	Gelderland
Utrecht (queiggey)	Utrecht (province)
Ny Bahamaghyn	The Bahamas
Connecticut	Connecticut
Antigua as Barbuda	Antigua and Barbuda
Hawaii	Hawaii
Ny Hondooraghyn	Honduras
Dominica	Dominica
Jersee	Jersey
Yn Phobblaght Ghominicagh	Dominican Republic
Muc	Domestic pig
Yn Vooir Arctagh	Arctic Ocean
Haiti	Haiti
Yn Salvador	El Salvador
Yn Eeraan	Iran
Yn Earack	Iraq
Alaska	Alaska
Yn Coose Berçhagh	Costa Rica
Israel	Israel
Utrecht (caayr)	Utrecht
Yn Phanamaa	Panama
Yn Yeaman	Yemen
Polynnish	Polish language
Yn Jordaan	Jordan
Yn Nickeraag	Nicaragua
Florida	Florida
Yn Chyrgistaan	Kyrgyzstan
Arizona	Arizona
Yn Choowait	Kuwait
Yn Laos	Laos
Yn Livaan	Lebanon
Oregon	Oregon
Ny Maldeevaghyn	Maldives
Utah	Utah
Yn Valaysia	Malaysia
Myanmar	Burma
Nepaal	Nepal
Yn Omaan	Oman
Yn Phakistaan	Pakistan
Yn Chatar	Qatar
Yn Araab Saudi	Saudi Arabia
Sri Lanka	Sri Lanka
Yn Teer	Syria
Gallium	Gallium
Yn Tajikistaan	Tajikistan
Pobblaght ny Sheen	Taiwan
Germaanium	Germanium
Yn Çheer Thai	Thailand
Traen	Train
Arsnick	Arsenic
Radio	Radio
Yn Turkmenistaan	Turkmenistan
Shellainium	Selenium
Iriddjum	Iridium
Ny h-Emmiraidyn Arabagh Unnaneysit	United Arab Emirates
Bromeen	Bromine
Platinum	Platinum
Yn Vietnam	Vietnam
Novosibirsk	Novosibirsk
Yn Chorea Yiass	South Korea
Krypton	Krypton
Yn Afghanistaan	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubiddjum	Rubidium
Airh	Gold
Yn Vangladesh	Bangladesh
Rostov-na-Donu	Rostov-on-Don
Malee	Mali
Angoley	Angola
Yn Vutaan	Bhutan
Brunei	Brunei
Tanzania	Tanzania
Mercur	Mercury (element)
Ny h-Ellanyn Philippeenagh	Philippines
Pobblaght yn Affrick Veanagh	Central African Republic
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroinçhum	Strontium
Yttrium	Yttrium
Bismut	Bismuth
Yn Togo	Togo
Yn Tooneesh	Tunisia
Yn Tambia	Zambia
Yn Çhimbabwe	Zimbabwe
Beijing	Beijing
Yn Toodaan Yiass	South Sudan
Benin	Benin
Yn Votswaan	Botswana
Burkina Faso	Burkina Faso
Burundee	Burundi
Ny h-Ellanyn Chomoro	Comoros
Pobblaght ny Congo	Republic of the Congo
Pobblaght Gheynlagh ny Congo	Democratic Republic of the Congo
Djibouti	Djibouti
Polonium	Polonium
Yn Vaveyr	Bavaria
Guinea Chryss ny Cruinney	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Delhi Noa	New Delhi
Tbilisi	Tbilisi
Astatçheen	Astatine
Gabon	Gabon
Caslys-skeeal	Comics
Yn Ghambia	The Gambia
Yn Ghuinea	Guinea
Yn Ghuinea-Bissau	Guinea-Bissau
Yn Clyst Iuaagagh	Ivory Coast
Cameroon	Cameroon
Yn Rheynn Ghlass	Cape Verde
Lesoto	Lesotho
Yn Laibeer	Liberia
Yn Leeb	Libya
Madagascar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Yn Varitaan	Mauritania
Ellan Wirrish	Mauritius
Yn Varoc	Morocco
Yn Vosambeeck	Mozambique
Yn Nameeb	Namibia
Yn Neegeyr	Niger
Yn Naigeer	Nigeria
Charles Darwin	Charles Darwin
Ooganda	Uganda
Rooandey	Rwanda
Shirconium	Zirconium
São Tomé as Príncipe	São Tomé and Príncipe
Yn Tenegaal	Senegal
Ny h-Ellanyn Heshell	Seychelles
Carolus Linnaeus	Carl Linnaeus
Sierra Leone	Sierra Leone
Yn Tomaal	Somalia
Neeobium	Niobium
Jool Kaesar	Julius Caesar
Yn Toodaan	Sudan
Yn Çheer Swassee	Swaziland
Goal twoaie	Rainbow
Molybdenum	Molybdenum
Çheghnaiçhum	Technetium
Hamburg	Hamburg
Ny h-Ashoonyn Unnaneysit	United Nations
Dante Alighieri	Dante Alighieri
Çheer-oaylleeaght	Geography
Ennymockle	Noun
Praag	Prague
Rutainium	Ruthenium
Roydjum	Rhodium
Pallaadjum	Palladium
Argid (bunstoo)	Silver
Cadmium	Cadmium
Limburg, y Çheer Injil	Limburg (Netherlands)
Indjum	Indium
Stainney	Tin
Uraanium	Uranium
Antimoan	Antimony
Çhellurium	Tellurium
Brabant Hwoaie	North Brabant
Plutonium	Plutonium
Eeadeen	Iodine
Nepçhunium	Neptunium
Xenon	Xenon
Kaishum	Caesium
Protaghtinnium	Protactinium
Baarium	Barium
Thorium	Thorium
Hafnium	Hafnium
Aghtinnium	Actinium
Tantalum	Tantalum
Bill Clinton	Bill Clinton
Raadjum	Radium
Raadon	Radon
Auvergne (ard)	Auvergne (region)
Michigan	Michigan
Aquitaine	Aquitaine
Yn Phurt Verçhagh	Puerto Rico
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Lower Saxony
Yn Rhine Hwoaie-Westfalen	North Rhine-Westphalia
Hessen	Hesse
Çheer ny Rhiney as y Phalateenaght	Rhineland-Palatinate
Saarland	Saarland
Sachsen	Saxony
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thuringia
Sachsen-Anhalt	Saxony-Anhalt
Dakota Hwoaie	North Dakota
Brandenburg	Brandenburg
Bremen (steat)	Bremen (state)
Dakota Yiass	South Dakota
Montana	Montana
Wyoming	Wyoming
Jerusalem	Jerusalem
Idaho	Idaho
Washington	Washington (state)
Rutherfordium	Rutherfordium
Nevada	Nevada
Dubnium	Dubnium
Seeborgium	Seaborgium
Yn Keayn Injinagh	Indian Ocean
Kosovo	Kosovo
Yn Vooir Charibagh	Caribbean Sea
Bohrium	Bohrium
Hassium	Hassium
Meitnerium	Meitnerium
Colorado	Colorado
Darmstadtium	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgenium
Copernicium	Copernicium
Chicago	Chicago
The Beatles	The Beatles
Oonoontrium	Ununtrium
Flerovium	Flerovium
Oonoonpençhum	Ununpentium
Livermorium	Livermorium
Oonoonsepçhum	Ununseptium
Oonoonoctium	Ununoctium
Geurey	Winter
Arragh	Spring (season)
Sourey	Summer
Fouyr (imbagh)	Autumn
Spaainish	Spanish language
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Kiaulldramey	Opera
Apag	Monkey
Yn Virjeeney	Virginia
Yn Virjeeney Heear	West Virginia
York Noa (steat)	New York
Kerrium	Cerium
Prashodymmium	Praseodymium
Ellan Rhode	Rhode Island
Niodymium	Neodymium
Insecta	Insect
Maryland	Maryland
Delaware	Delaware
Oarpium	Europium
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Gibraaltar	Gibraltar
Finnlynnish	Finnish language
Indiana	Indiana
Gleashtan	Car
Roger Federer	Roger Federer
Yn Çhorshey (steat)	Georgia (U.S. state)
Zagreb	Zagreb
Texas	Texas
Carolina Hwoaie	North Carolina
Carolina Yiass	South Carolina
Yn Tardeen	Sardinia
Buenos Aires	Buenos Aires
Annane	Pineapple
Mississippi	Mississippi
Yn Phatagoan	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Astana	Astana
New Mexico	New Mexico
Yn Atheen	Athens
Minnesota	Minnesota
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindish	Hindi
Tudjeen	Cigarette
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Mooir Hostyn	North Sea
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Munich
Veen	Vienna
København	Copenhagen
Queiggey Kaliningrad	Kaliningrad Oblast
Stockholm	Stockholm
Helsinki	Helsinki
Divlyn	Dublin
Reykjavík	Reykjavík
Tallinn	Tallinn
Rīga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt
Wrocław	Wrocław
Lantanum	Lanthanum
Promaiçhum	Promethium
Unnid rollageagh	Astronomical unit
Samaarium	Samarium
Gadolinnium	Gadolinium
Çherbium	Terbium
Lucsemburg (caayr)	Luxembourg (city)
Dysproshum	Dysprosium
Vaduz	Vaduz
Yn Vible	Bible
Holmium	Holmium
San Marino (caayr)	City of San Marino
Erbium	Erbium
Thulium	Thulium
Caayr Ho Chi Minh	Ho Chi Minh City
Ytterbium	Ytterbium
Lootaiçhum	Lutetium
Agglish Yeesey Firrinagh	True Jesus Church
Baarle	English language
Andorra la Vella	Andorra la Vella
Americium	Americium
Curium	Curium
Dong Hoi	Đồng Hới
Concepción, y Çhillee	Concepción, Chile
Berkelium	Berkelium
Californium	Californium
Einsteinium	Einsteinium
Fermium	Fermium
Mendelevium	Mendelevium
Kyiv	Kiev
Nobelium	Nobelium
Ontario	Ontario
Lawrencium	Lawrencium
Manitoba	Manitoba
Alberta	Alberta
Nalbin Noa	Nova Scotia
Yerevan	Yerevan
Końskowola	Końskowola
New Brunswick	New Brunswick
Yn Cholombey Ghoaldagh	British Columbia
Ellan y Phrinse Edard	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Daa-ocseed charboan	Carbon dioxide
2013	2013
2014	2014
Thalloo yn Eeast as Labrador	Newfoundland and Labrador
2008	2008
Thallooyn yn Eear Hwoaie	Northwest Territories
Yukon	Yukon
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Monocseed charboan	Carbon monoxide
Iqaluit	Iqaluit
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberg
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Bielefeld	Bielefeld
1 Jerrey Geuree	January 1
2 Jerrey Geuree	January 2
1920	1920
3 Jerrey Geuree	January 3
1919	1919
1921	1921
1922	1922
4 Jerrey Geuree	January 4
1923	1923
1924	1924
Pobblaght Hoveidjagh Chonastagh Hoshiallagh ny Roosh	Russian Soviet Federative Socialist Republic
Georges Pompidou	Georges Pompidou
Planaid crivassanagh	Dwarf planet
5 Jerrey Geuree	January 5
6 Jerrey Geuree	January 6
7 Jerrey Geuree	January 7
8 Jerrey Geuree	January 8
9 Jerrey Geuree	January 9
10 Jerrey Geuree	January 10
11 Jerrey Geuree	January 11
12 Jerrey Geuree	January 12
13 Jerrey Geuree	January 13
Birmingham	Birmingham
14 Jerrey Geuree	January 14
15 Jerrey Geuree	January 15
16 Jerrey Geuree	January 16
Tom Hanks	Tom Hanks
17 Jerrey Geuree	January 17
18 Jerrey Geuree	January 18
19 Jerrey Geuree	January 19
20 Jerrey Geuree	January 20
21 Jerrey Geuree	January 21
22 Jerrey Geuree	January 22
23 Jerrey Geuree	January 23
24 Jerrey Geuree	January 24
25 Jerrey Geuree	January 25
Minsk	Minsk
26 Jerrey Geuree	January 26
27 Jerrey Geuree	January 27
28 Jerrey Geuree	January 28
29 Jerrey Geuree	January 29
30 Jerrey Geuree	January 30
31 Jerrey Geuree	January 31
2 Mee ny Nollick	December 2
1 Mee ny Nollick	December 1
3 Mee ny Nollick	December 3
7 Mee ny Nollick	December 7
5 Mee ny Nollick	December 5
8 Mee ny Nollick	December 8
10 Mee ny Nollick	December 10
6 Mee ny Nollick	December 6
9 Mee ny Nollick	December 9
4 Mee ny Nollick	December 4
1 Toshiaght Arree	February 1
2 Toshiaght Arree	February 2
Cloreed sodjum	Sodium chloride
3 Toshiaght Arree	February 3
Kurów	Kurów
4 Toshiaght Arree	February 4
5 Toshiaght Arree	February 5
6 Toshiaght Arree	February 6
7 Toshiaght Arree	February 7
8 Toshiaght Arree	February 8
9 Toshiaght Arree	February 9
10 Toshiaght Arree	February 10
Kemmig	Chemistry
14 Toshiaght Arree	February 14
13 Toshiaght Arree	February 13
15 Toshiaght Arree	February 15
11 Toshiaght Arree	February 11
12 Toshiaght Arree	February 12
19 Toshiaght Arree	February 19
17 Toshiaght Arree	February 17
16 Toshiaght Arree	February 16
18 Toshiaght Arree	February 18
20 Toshiaght Arree	February 20
21 Toshiaght Arree	February 21
22 Toshiaght Arree	February 22
23 Toshiaght Arree	February 23
24 Toshiaght Arree	February 24
25 Toshiaght Arree	February 25
26 Toshiaght Arree	February 26
27 Toshiaght Arree	February 27
28 Toshiaght Arree	February 28
11 Mee ny Nollick	December 11
29 Toshiaght Arree	February 29
12 Mee ny Nollick	December 12
13 Mee ny Nollick	December 13
14 Mee ny Nollick	December 14
15 Mee ny Nollick	December 15
2 Mayrnt	March 2
3 Mayrnt	March 3
5 Mayrnt	March 5
1 Mayrnt	March 1
7 Mayrnt	March 7
8 Mayrnt	March 8
4 Mayrnt	March 4
10 Mayrnt	March 10
11 Mayrnt	March 11
6 Mayrnt	March 6
13 Mayrnt	March 13
9 Mayrnt	March 9
12 Mayrnt	March 12
15 Mayrnt	March 15
14 Mayrnt	March 14
16 Mee ny Nollick	December 16
17 Mee ny Nollick	December 17
16 Mayrnt	March 16
17 Mayrnt	March 17
18 Mayrnt	March 18
19 Mayrnt	March 19
1989	1989
1988	1988
20 Mayrnt	March 20
1987	1987
1986	1986
1985	1985
1984	1984
21 Mayrnt	March 21
1983	1983
22 Mayrnt	March 22
1982	1982
1981	1981
18 Mee ny Nollick	December 18
1980	1980
23 Mayrnt	March 23
19 Mee ny Nollick	December 19
24 Mayrnt	March 24
25 Mayrnt	March 25
20 Mee ny Nollick	December 20
26 Mayrnt	March 26
27 Mayrnt	March 27
28 Mayrnt	March 28
29 Mayrnt	March 29
30 Mayrnt	March 30
31 Mayrnt	March 31
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
15 Averil	April 15
13 Averil	April 13
12 Averil	April 12
14 Averil	April 14
11 Averil	April 11
10 Averil	April 10
8 Averil	April 8
9 Averil	April 9
7 Averil	April 7
6 Averil	April 6
5 Averil	April 5
4 Averil	April 4
3 Averil	April 3
1 Averil	April 1
2 Averil	April 2
Fodreayrtan Spoar Hubble	Hubble Space Telescope
Helmut Schmidt	Helmut Schmidt
16 Averil	April 16
17 Averil	April 17
18 Averil	April 18
19 Averil	April 19
20 Averil	April 20
21 Averil	April 21
22 Averil	April 22
23 Averil	April 23
24 Averil	April 24
25 Averil	April 25
26 Averil	April 26
27 Averil	April 27
28 Averil	April 28
29 Averil	April 29
30 Averil	April 30
1 Boaldyn	May 1
2 Boaldyn	May 2
3 Boaldyn	May 3
4 Boaldyn	May 4
5 Boaldyn	May 5
6 Boaldyn	May 6
7 Boaldyn	May 7
8 Boaldyn	May 8
9 Boaldyn	May 9
10 Boaldyn	May 10
11 Boaldyn	May 11
12 Boaldyn	May 12
13 Boaldyn	May 13
14 Boaldyn	May 14
15 Boaldyn	May 15
Titan (fo-phlannad)	Titan (moon)
16 Boaldyn	May 16
17 Boaldyn	May 17
18 Boaldyn	May 18
19 Boaldyn	May 19
20 Boaldyn	May 20
21 Boaldyn	May 21
22 Boaldyn	May 22
23 Boaldyn	May 23
24 Boaldyn	May 24
25 Boaldyn	May 25
26 Boaldyn	May 26
27 Boaldyn	May 27
28 Boaldyn	May 28
29 Boaldyn	May 29
30 Boaldyn	May 30
31 Boaldyn	May 31
Paul McCartney	Paul McCartney
21 Mee ny Nollick	December 21
14 Mean Souree	June 14
15 Mean Souree	June 15
13 Mean Souree	June 13
10 Mean Souree	June 10
7 Mean Souree	June 7
11 Mean Souree	June 11
9 Mean Souree	June 9
12 Mean Souree	June 12
6 Mean Souree	June 6
8 Mean Souree	June 8
5 Mean Souree	June 5
3 Mean Souree	June 3
2 Mean Souree	June 2
1 Mean Souree	June 1
4 Mean Souree	June 4
Ringo Starr	Ringo Starr
22 Mee ny Nollick	December 22
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Mean Souree	June 16
30 Mean Souree	June 30
29 Mean Souree	June 29
28 Mean Souree	June 28
26 Mean Souree	June 26
25 Mean Souree	June 25
22 Mean Souree	June 22
27 Mean Souree	June 27
24 Mean Souree	June 24
20 Mean Souree	June 20
23 Mean Souree	June 23
19 Mean Souree	June 19
18 Mean Souree	June 18
21 Mean Souree	June 21
17 Mean Souree	June 17
23 Mee ny Nollick	December 23
Illiam II ny Germaan	Wilhelm II, German Emperor
15 Jerrey Souree	July 15
13 Jerrey Souree	July 13
12 Jerrey Souree	July 12
10 Jerrey Souree	July 10
9 Jerrey Souree	July 9
14 Jerrey Souree	July 14
8 Jerrey Souree	July 8
7 Jerrey Souree	July 7
6 Jerrey Souree	July 6
5 Jerrey Souree	July 5
2 Jerrey Souree	July 2
4 Jerrey Souree	July 4
3 Jerrey Souree	July 3
1 Jerrey Souree	July 1
11 Jerrey Souree	July 11
24 Mee ny Nollick	December 24
31 Jerrey Souree	July 31
30 Jerrey Souree	July 30
29 Jerrey Souree	July 29
28 Jerrey Souree	July 28
27 Jerrey Souree	July 27
25 Jerrey Souree	July 25
24 Jerrey Souree	July 24
23 Jerrey Souree	July 23
26 Jerrey Souree	July 26
22 Jerrey Souree	July 22
19 Jerrey Souree	July 19
21 Jerrey Souree	July 21
20 Jerrey Souree	July 20
17 Jerrey Souree	July 17
18 Jerrey Souree	July 18
16 Jerrey Souree	July 16
Soccer	Association football
25 Mee ny Nollick	December 25
1963	1963
26 Mee ny Nollick	December 26
Yn Deherree	The Holocaust
1962	1962
14 Luanistyn	August 14
15 Luanistyn	August 15
13 Luanistyn	August 13
12 Luanistyn	August 12
11 Luanistyn	August 11
10 Luanistyn	August 10
8 Luanistyn	August 8
7 Luanistyn	August 7
9 Luanistyn	August 9
5 Luanistyn	August 5
4 Luanistyn	August 4
2 Luanistyn	August 2
3 Luanistyn	August 3
6 Luanistyn	August 6
1 Luanistyn	August 1
27 Mee ny Nollick	December 27
Madrid	Madrid
16 Luanistyn	August 16
29 Luanistyn	August 29
28 Luanistyn	August 28
30 Luanistyn	August 30
25 Luanistyn	August 25
26 Luanistyn	August 26
23 Luanistyn	August 23
27 Luanistyn	August 27
21 Luanistyn	August 21
20 Luanistyn	August 20
24 Luanistyn	August 24
18 Luanistyn	August 18
17 Luanistyn	August 17
22 Luanistyn	August 22
19 Luanistyn	August 19
31 Luanistyn	August 31
Michael Jackson	Michael Jackson
