Aphrika	Africa
Plutun (tuna puriq quyllur)	Pluto
Montreal	Montreal
Qhipa pacha	Future
Qullana Mariya	Mary (mother of Jesus)
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Yellowstone National Park
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	World War I
Iskay ñiqin pachantin maqanakuy	World War II
Köln	Cologne
Pacha tupuq	Clock
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Szczecin
Yupay yachay	Mathematics
U2	U2
Latin simi	Latin
Bahrayn	Bahrain
Arminya	Armenia
Sirbya	Serbia
Killa	Moon
Istanbul	Istanbul
Awstralya	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Physics
Arhintina	Argentina
Piruw	Peru
Kawsay yachay	Biology
Chusun Runakapaq Runallaqta Republika	North Korea
Kambuya	Cambodia
Quran	Quran
Dinusawru	Dinosaur
Suwuluhiya	Zoology
Islam	Islam
Pira	Pear
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Botany
Lech Wałęsa	Lech Wałęsa
Qalla	Wheel
Thak	Peace
Lyon	Lyon
Iwrupa Huñu	European Union
Rhône-Alpes	Rhône-Alpes
Warmi	Woman
Sofiya	Sofia
Witkhu	Aqueduct (bridge)
Ñ	Ñ
Don Quijote	Don Quixote
Harawi	Poetry
Qilla	Laziness
Antañiqiq añaw	Computer virus
Asikuy	Smile
Milano	Milan
Yuyay	Memory
Torino	Turin
Aka	Feces
Sip'uti	Anus
Puquy k'allku	Lemon
Émile Zola	Émile Zola
666	666
Tuktu	Flower
Chomolungma	Mount Everest
Kurkumanta yachay	Anatomy
Hatun llaqta	City
Napoléon Bonaparte	Napoleon
Quyllur	Star
Inti	Sun
Hanaq pacha	Sky
Louis Pasteur	Louis Pasteur
Achkiy wata	Light-year
Uchuy llaqta	Village
Victor Hugo	Victor Hugo
Usiyanya	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Athletics (sport)
Inti Llika	Solar System
Baltiku hatun qucha	Baltic Sea
Trieste	Trieste
Kiru	Tooth
Yakuchaq	Hydrogen
Ilyu	Helium
Ukhu pacha	Hell
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Lithium
Berilyu	Beryllium
Ruqyaq	Loudspeaker
Liwru	Book
P'unchaw	Day
Anti Timur	East Timor
Tuta	Night
Wata	Year
Pachakwata	Century
Łódź	Łódź
Rhein	Rhine
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	All Saints' Day
Katowice	Katowice
Luís de Camões	Luís de Camões
Chinaku	Gay
Siris (tuna puriq quyllur)	Ceres (dwarf planet)
Lisboa	Lisbon
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haumea
Makemake (tuna puriq quyllur)	Makemake
Eris (tuna puriq quyllur)	Eris (dwarf planet)
Lionel Messi	Lionel Messi
Padova	Padua
Boru	Boron
Nicolaus Copernicus	Nicolaus Copernicus
K'illimsayaq	Carbon
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Nitrogen
Bergamo	Bergamo
Muksichaq	Oxygen
Inter Milano	Inter Milan
Pachahina	Planet
Kleopatra VII	Cleopatra
Taki kapchiy	Music
Venezia	Venice
Rennes	Rennes
Lille	Lille
Moskwa	Moscow
Flur	Fluorine
Italya simi	Italian language
Niyun	Neon
Chihuahua suyu	Chihuahua (state)
Sankt Peterburg	Saint Petersburg
Chad	Chad
Natriyu	Sodium
Chincha	North
Qunta q'illay	Magnesium
Ch'aqu q'illay	Aluminium
Musuq Silanda	New Zealand
Urin	South
Indya	India
Ullayayaq	Silicon
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Phosphorus
Khillay	Iron
Tunqa	Tonga
Kunti	West
Alessandro Volta	Alessandro Volta
Salina	Sulfur
Samwa	Samoa
Anti	East
Salumun wat'akuna	Solomon Islands
Wanwatu	Vanuatu
Molière	Molière
Kluru	Chlorine
Delft	Delft
Papwa Ñukini	Papua New Guinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	South Holland
Palaw	Palau
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	North Holland
Mikrunisya (mama llaqta)	Federated States of Micronesia
Kalyu	Potassium
Zeeland pruwinsya	Zeeland
Isku q'illay	Calcium
Flevoland pruwinsya	Flevoland
Titi	Lead
Marshall Wat'akuna	Marshall Islands
Kiribati	Kiribati
Mungul suyu	Mongolia
Phiyi	Fiji
Iskandyu	Scandium
Titanyu	Titanium
Winisuyla	Venezuela
Qhapaq chunkana	Chess
Wanadyu	Vanadium
Maine suyu	Maine
Krumu	Chromium
Kawallu	Horse
Amsterdam	Amsterdam
Ayñi	Weapon
Uywa	Animal
Surinam	Suriname
Manganisu	Manganese
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Art
Ikwadur	Ecuador
Renyu	Rhenium
Kulumbya	Colombia
Kubaltu	Cobalt
Wolframyu	Tungsten
Nikil	Nickel
Muntipuquy	Fragaria
Budismu	Buddhism
Groningen	Groningen
Puliwya	Bolivia
Osmiyu	Osmium
Groningen pruwinsya	Groningen (province)
Anta	Copper
Trinidad Tubaguwan	Trinidad and Tobago
Yura	Plant
Tsinku	Zinc
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Saint Kitts and Nevis
K'allampa	Fungus
Shamayka	Jamaica
Grinada	Grenada
Friesland pruwinsya	Friesland
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gelderland
Utrecht pruwinsya	Utrecht (province)
Bahamakuna	The Bahamas
Connecticut suyu	Connecticut
Wallpa	Chicken
Hawaii suyu	Hawaii
Unduras	Honduras
Duminika	Dominica
Duminikana	Dominican Republic
Khuchi	Domestic pig
Artiku mama qucha	Arctic Ocean
Ayti (mama llaqta)	Haiti
Salwadur	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Iraq
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israel
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panama
Yaman	Yemen
Lausanne	Lausanne
Añaw	Virus
Pulaku simi	Polish language
Hurdanya	Jordan
Nikarawa	Nicaragua
Florida suyu	Florida
Kirkisuyu	Kyrgyzstan
Arizona suyu	Arizona
Kuwait	Kuwait
Florida pruwinsya	Florida Province
Law suyu	Laos
Qincha pruwinsya (Beni)	Cercado Province (Beni)
Libanu	Lebanon
Iténez pruwinsya	Iténez Province
Oregon suyu	Oregon
Maldiwakuna	Maldives
José Ballivián pruwinsya	José Ballivián Province
Awya Yala (Mulanpi)	Americas
Utah suyu	Utah
Waaka	Cattle
Mamuriy pruwinsya	Mamoré Province
Malasya	Malaysia
Myanmar	Burma
Nipal	Nepal
Marbán pruwinsya	Marbán Province
Uman	Oman
Pakistan	Pakistan
Qatar	Qatar
Sawud Arabya	Saudi Arabia
Sri Lanka	Sri Lanka
Yosif Stalin	Joseph Stalin
Sirya	Syria
Platon	Plato
Galyu	Gallium
Tayiksuyu	Tajikistan
Chunwa Republika	Taiwan
Germanyu	Germanium
Aristotelis	Aristotle
Thaysuyu	Thailand
Antakuru	Train
Arsiniku	Arsenic
Ankichiy	Radio
Turkminsuyu	Turkmenistan
Silinyu	Selenium
Iridyu	Iridium
Hukllachasqa Arab Imiratukuna	United Arab Emirates
Bromu	Bromine
Qullqiya	Platinum
Witnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsk
Tayhan Republika	South Korea
Jekaterinburg	Yekaterinburg
Kriptun	Krypton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nizhny Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara	Samara, Russia
Rubidyu	Rubidium
Quri	Gold
Omsk	Omsk
Kazan	Kazan
Yachaq	Scientist
Banladish	Bangladesh
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokratis	Socrates
Angula	Angola
Butan	Bhutan
Bruniy	Brunei
Tansanya	Tanzania
Yaku qullqi	Mercury (element)
Roald Amundsen	Roald Amundsen
Philipinakuna	Philippines
Chawpi Aphrika Ripuwlika	Central African Republic
Thalyu	Thallium
Urin qhipa	South Pole
Chinchay qhipa	North Pole
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Strontium
Itriyu	Yttrium
Wismutu	Bismuth
Q'illu	Yellow
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunisia
John Bardeen	John Bardeen
Sambya	Zambia
Simbabwi	Zimbabwe
Pikkin	Beijing
Urin Sudan	South Sudan
Binin	Benin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Comoros
Kungu Ripuwlika	Republic of the Congo
Obi mayu	Ob River
Kungu Runakamaq Ripuwlika	Democratic Republic of the Congo
San Antonio (Texas)	San Antonio
Yiwuti	Djibouti
Polonyu	Polonium
Bayern	Bavaria
Chawpipacha Khiniya	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Iritriya	Eritrea
Musuq Dilhi	New Delhi
Huwan Pawlu II	Pope John Paul II
Fedor Dostoievski	Fyodor Dostoyevsky
Tbilisi	Tbilisi
Pallpa	Infant
Astatu	Astatine
Gabun	Gabon
Mohandas Gandhi	Mahatma Gandhi
Siq'isqa rikchasapa willakuy	Comics
Gambya	The Gambia
Khiniya	Guinea
Khiniya-Wisaw	Guinea-Bissau
Marphil Chala	Ivory Coast
Kamirun	Cameroon
Q'umir Kawu	Cape Verde
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libya
Aachen	Aachen
Madagaskar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Muritanya	Mauritania
Mawrisyu	Mauritius
Maruku	Morocco
Musambik	Mozambique
Namiwya	Namibia
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyu	Zirconium
Santu Tumiy Prinsipipas	São Tomé and Príncipe
Sinigal	Senegal
Sichillakuna	Seychelles
Carl von Linné	Carl Linnaeus
Liyun Urqu	Sierra Leone
Sumalya	Somalia
Niyobyu	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julius Caesar
Sudan	Sudan
Swasisuyu	Swaziland
K'uychi	Rainbow
Molibdenu	Molybdenum
Teknesyu	Technetium
Hamburg	Hamburg
Imayay yamkiy	Metabolism
Unquy hark'ay	Immune system
Ontario qucha	Lake Ontario
Rikch'aqyay	Evolution
Huñusqa Nasyunkuna	United Nations
Hananqucha	Lake Superior
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geography
Sunqu	Heart
Ñutqu	Brain
Qara	Skin
Llimphi	Color
Salerno	Salerno
Sutirimana	Noun
Praha	Prague
Ruthenyu	Ruthenium
Rodyu	Rhodium
Anqas	Blue
Paladyu	Palladium
Qullqi q'illay	Silver
Kadmiyu	Cadmium
Limburg (Urasuyu) pruwinsya	Limburg (Netherlands)
Indyu	Indium
Chayanta	Tin
Uranyu	Uranium
Antimunyu	Antimony
Teluryu	Tellurium
Noord-Brabant pruwinsya	North Brabant
Plutonyu	Plutonium
Yudu	Iodine
Neptunyu	Neptunium
Senun	Xenon
Anime	Anime
Sesyu	Caesium
Protaktinyu	Protactinium
Pinchikilla chaqna	Electric charge
Baryu	Barium
Thoryu	Thorium
Hafniyu	Hafnium
Aktinyu	Actinium
Tantalyu	Tantalum
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon
Lorraine	Lorraine (region)
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne (region)
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Lake Michigan
Bourgogne	Burgundy
Aquitaine	Aquitaine
Burinkin	Puerto Rico
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Lower Saxony
Nordrhein-Westfalen	North Rhine-Westphalia
Hessen	Hesse
Rheinland-Pfalz	Rhineland-Palatinate
Saarland	Saarland
Sachsen	Saxony
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Thuringia
Sachsen-Anhalt	Saxony-Anhalt
North Dakota suyu	North Dakota
Brandenburg	Brandenburg
Bremen suyu	Bremen (state)
Lombardia	Lombardy
South Dakota suyu	South Dakota
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piedmont
Yerushalayim	Jerusalem
Idaho suyu	Idaho
Washington suyu	Washington (state)
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentino-Alto Adige/Südtirol
Indiku mama qucha	Indian Ocean
Luigi Einaudi	Luigi Einaudi
Veneto	Veneto
Kusuwu	Kosovo
Bohriyu	Bohrium
Hasyu	Hassium
Kofi Annan	Kofi Annan
Liguria	Liguria
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmstadtiyu	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Roentgenium
Toscana	Tuscany
Kopernisyu	Copernicium
Katiguriya:Qhapaq katiguriya	Category:Contents
Abruzzo	Abruzzo
Alpikuna	Alps
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrium
Ununkwadyu	Flerovium
Ununpentyu	Ununpentium
Ununheksiyu	Livermorium
Ununseptiyu	Ununseptium
Ununoktiyu	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Winter
Ch'iraw mit'a	Spring (season)
Ruphay mit'a	Summer
Puquy mit'a	Autumn
Saddam Hussein	Saddam Hussein
Kastilla simi	Spanish language
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opera
Philadelphia (Pennsylvania)	Philadelphia
Kolkata	Kolkata
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	West Bengal
Awaq uru	Spider
Pakcha	Arachnid
Sillwichaki	Arthropod
Ruru	Fruit
K'usillu	Monkey
Rantina qullqi	Money
Virginia suyu	Virginia
West Virginia suyu	West Virginia
Wata uchu	Capsicum annuum
Huron qucha	Lake Huron
New York suyu	New York
Seryu	Cerium
Praseodimyu	Praseodymium
Rhode Island suyu	Rhode Island
Neodimyu	Neodymium
Palama	Insect
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Vladimir Lenin
Iwrupyu	Europium
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvania
Petrarca	Petrarch
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Augustus
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Finnish language
Indiana suyu	Indiana
Antawa	Car
Juventus FC	Juventus F.C.
Roger Federer	Roger Federer
Georgia suyu	Georgia (U.S. state)
Zagreb	Zagreb
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Genoa
North Carolina suyu	North Carolina
South Carolina suyu	South Carolina
Sicilia	Sicily
Manila	Manila
Sardegna	Sardinia
Bordeaux	Bordeaux
Corazón Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Mexico City
Tokyo	Tokyo
Chuqiyapu	La Paz
Barcelona	Barcelona
Chirimaway	Pineapple
Mississippi suyu	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi mayu	Mississippi River
Mizoram	Mizoram
Pataqunya	Patagonia
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	New Mexico
Athina	Athens
Minnesota suyu	Minnesota
Bagdad	Baghdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Cicero
AC Milan	A.C. Milan
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Guatemala City
Kansas suyu	Kansas
La Habana	Havana
Hindi simi	Hindi
Marathi simi	Marathi language
Siyaru	Cigarette
Missouri suyu	Missouri
Louisiana suyu	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Urdu
Oklahoma suyu	Oklahoma
Danuwyu mayu	Danube
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Munich
Makiyasiy	Volleyball
Innsbruck	Innsbruck
Wien	Vienna
København	Copenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt am Main	Frankfurt
Wrocław	Wrocław
Lanthanu	Lanthanum
Prometyu	Promethium
Samaryu	Samarium
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinium
Zinedine Zidane	Zinedine Zidane
Terbyu	Terbium
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Luxembourg (city)
Disprosyu	Dysprosium
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bible
Holmyu	Holmium
San Marino (uma llaqta)	City of San Marino
Erbyu	Erbium
Phnom Penh	Phnom Penh
Thulyu	Thulium
Ho Chi Minh llaqta	Ho Chi Minh City
Iterbyu	Ytterbium
Lutesyu	Lutetium
Ha Nui	Hanoi
Chiqap Jesuspa Inlisyan	True Jesus Church
Inlish simi	English language
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
T'aypik	Taipei
Amerisyu	Americium
Kuriyu	Curium
Dong Hoi	Đồng Hới
Concepción (Chile)	Concepción, Chile
Berkelyu	Berkelium
Kalifornyu	Californium
Bologna	Bologna
Einsteinyu	Einsteinium
Fermyu	Fermium
Cagliari	Cagliari
Mendelewyu	Mendelevium
Kiyiw	Kiev
Nobelyu	Nobelium
Catania	Catania
Ontario pruwinsya	Ontario
Lawrensyu	Lawrencium
Caserta	Caserta
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nova Scotia
Yerevan	Yerevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
New Brunswick pruwinsya	New Brunswick
British Columbia pruwinsya	British Columbia
Prince Edward Island pruwinsya	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Carbon dioxide
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Newfoundland and Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	St. John's, Newfoundland and Labrador
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Food
Edmonton	Edmonton
Mach'aqway	Snake
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Arica y Parinacota Region
Tarapaka suyu	Tarapacá Region
Antofagasta suyu	Antofagasta Region
Atakama suyu	Atacama Region
Kukimpu suyu	Coquimbo Region
Regina (Saskatchewan)	Regina, Saskatchewan
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Charlottetown	Charlottetown
Santiago suyu	Santiago Metropolitan Region
Victoria (British Columbia)	Victoria, British Columbia
O'Higgins suyu	O'Higgins Region
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax, Nova Scotia
Quebec llaqta	Quebec City
1 ñiqin qhulla puquy killapi	January 1
2 ñiqin qhulla puquy killapi	January 2
1920	1920
3 ñiqin qhulla puquy killapi	January 3
1919	1919
1921	1921
1922	1922
Mawlli suyu	Maule Region
4 ñiqin qhulla puquy killapi	January 4
1923	1923
Biyubiyu suyu	Bío Bío Region
1924	1924
Arawkaniya suyu	Araucanía Region
Mayukuna suyu	Los Ríos Region
Quchakuna suyu	Los Lagos Region
Aisén suyu	Aysén Region
Georges Pompidou	Georges Pompidou
Magallanes Antartika suyu	Magallanes y la Antártica Chilena Region
Sit'i pachahina	Dwarf planet
5 ñiqin qhulla puquy killapi	January 5
Arika	Arica
6 ñiqin qhulla puquy killapi	January 6
Iliktrun	Electron
7 ñiqin qhulla puquy killapi	January 7
8 ñiqin qhulla puquy killapi	January 8
Velikiy Novgorod	Veliky Novgorod
9 ñiqin qhulla puquy killapi	January 9
10 ñiqin qhulla puquy killapi	January 10
11 ñiqin qhulla puquy killapi	January 11
12 ñiqin qhulla puquy killapi	January 12
13 ñiqin qhulla puquy killapi	January 13
Birmingham	Birmingham
14 ñiqin qhulla puquy killapi	January 14
15 ñiqin qhulla puquy killapi	January 15
16 ñiqin qhulla puquy killapi	January 16
17 ñiqin qhulla puquy killapi	January 17
18 ñiqin qhulla puquy killapi	January 18
19 ñiqin qhulla puquy killapi	January 19
20 ñiqin qhulla puquy killapi	January 20
21 ñiqin qhulla puquy killapi	January 21
22 ñiqin qhulla puquy killapi	January 22
