ஆப்பிரிக்கா	Africa
அலெக்சாந்திரியா	Alexandria
ஆப்பிள்	Apple
பாரிஸ்	Paris
ஆபிரகாம் லிங்கன்	Abraham Lincoln
ஆண்ட்ராய்டு இயங்குதளம்	Android (operating system)
கூகுள்	Google
மெக்சிக்கோ	Mexico
அத்திலாந்திக்குப் பெருங்கடல்	Atlantic Ocean
அமைதிப் பெருங்கடல்	Pacific Ocean
கலிபோர்னியா	California
பாஸ்டன்	Boston
திங்கள் (கிழமை)	Monday
பரவெளி	Space
சனவரி	January
பெப்ரவரி	February
மார்ச்	March
செவ்வாய் (கோள்)	Mars
கென்யா	Kenya
எதியோப்பியா	Ethiopia
அரசன்	Monarch
கானா	Ghana
ஏப்ரல்	April
மே	May
ஜூன்	June
ஜூலை	July
ஆகஸ்டு	August
செப்டம்பர்	September
அக்டோபர்	October
நவம்பர்	November
டிசம்பர்	December
செவ்வாய் (கிழமை)	Tuesday
புதன் (கிழமை)	Wednesday
வியாழன் (கிழமை)	Thursday
ஞாயிறு (கிழமை)	Sunday
அமைச்சர் (சதுரங்கம்)	Bishop (chess)
காலாள் (சதுரங்கம்)	Pawn (chess)
குதிரை (சதுரங்கம்)	Knight (chess)
கோட்டை (சதுரங்கக் காய்)	Rook (chess)
அரசன் (சதுரங்கம்)	King (chess)
அரசி (சதுரங்கம்)	Queen (chess)
சிங்கம்	Lion
பிரான்சு	France
எஸ்பெராண்டோ	Esperanto
நாய்	Dog
ஐக்கிய இராச்சியம்	United Kingdom
பூனை	Cat
சீன மக்கள் குடியரசு	China
பிரான்சிய மொழி	French language
விக்சனரி	Wiktionary
மீன்	Fish
எத்தனால்	Ethanol
மதுபானம்	Alcoholic beverage
பிரேசில்	Brazil
மதுசாரம்	Alcohol
பிரான்சுவா ஆலந்து	François Hollande
உருசியா	Russia
கடற்பாலூட்டி	Cetacea
இழை	Fiber
ஒளியிழை	Optical fiber
சதுரம்	Square
கடல்	Sea
கருங்கடல்	Black Sea
பை (கணித மாறிலி)	Pi
மா	Mango
விக்கி	Wiki
ரொறன்ரோ	Toronto
அலபாமா	Alabama
சாவோ பாவுலோ	São Paulo
சாவோ பாவுலோ (மாநிலம்)	São Paulo (state)
கியூபெக்	Quebec
பீத்சா	Pizza
விக்கிமீடியா நிறுவனம்	Wikimedia Foundation
ஜிம்மி வேல்ஸ்	Jimmy Wales
ஜெர்மனி	Germany
பெலருஸ்	Belarus
லாரி சாங்கர்	Larry Sanger
இடாய்ச்சு மொழி	German language
ஐசுலாந்து	Iceland
கடவுள்	God
எசுத்தோனியா	Estonia
டேவிட் கேமரன்	David Cameron
சனி (கோள்)	Saturn
சாக்கலேட்	Chocolate
விமானம்	Airplane
போர்	War
1 (எண்)	1 (number)
2 (எண்)	2 (number)
3 (எண்)	3 (number)
4 (எண்)	4 (number)
5 (எண்)	5 (number)
0 (எண்)	0 (number)
முடிவிலி	Infinity
இசுட்டீவன் கார்ப்பர்	Stephen Harper
ஜார்ஜ் வாக்கர் புஷ்	George W. Bush
செவ்வகம்	Rectangle
செங்கோணம்	Right angle
லாத்வியா	Latvia
உக்ரைன்	Ukraine
செக் குடியரசு	Czech Republic
சிலோவாக்கியா	Slovakia
சுலோவீனியா	Slovenia
வில்னியஸ்	Vilnius
மல்தோவா	Moldova
உருமேனியா	Romania
பல்காரியா	Bulgaria
உரோம்	Rome
மாக்கடோனியக் குடியரசு	Republic of Macedonia
அல்பேனியா	Albania
கிறீன்லாந்து	Greenland
குரோவாசியா	Croatia
பொசுனியா எர்செகோவினா	Bosnia and Herzegovina
நூக்	Nuuk
அசர்பைஜான்	Azerbaijan
அந்தோரா	Andorra
சைப்பிரசு	Cyprus
சியார்சியா (நாடு)	Georgia (country)
கசக்ஸ்தான்	Kazakhstan
மால்ட்டா	Malta
மொனாக்கோ	Monaco
மொண்டெனேகுரோ	Montenegro
வத்திக்கான் நகர்	Vatican City
சான் மரீனோ	San Marino
பிரசெல்சு	Brussels
கியூபா	Cuba
பெலீசு	Belize
ஈபெல் கோபுரம்	Eiffel Tower
பார்படோசு	Barbados
போல்க்ஸ்வேகன்	Volkswagen
இன்டெல்	Intel
கம்பியற்ற தகவல்தொடர்பு	Wireless
விசைப்பலகை	Computer keyboard
ஜாவா (நிரலாக்க மொழி)	Java (programming language)
இந்தோனேசியா	Indonesia
குவர்ட்டி	QWERTY
வொல்ஃப்கேங்க் அமதியுஸ் மோட்சார்ட்	Wolfgang Amadeus Mozart
லுடுவிக் ஃவான் பேத்தோவன்	Ludwig van Beethoven
துருக்கிய மொழி	Turkish language
தென்னாப்பிரிக்கா	South Africa
லிங்கின் பார்க்	Linkin Park
அல்சீரியா	Algeria
விக்கிமூலம்	Wikisource
உசுபெக்கிசுத்தான்	Uzbekistan
பனிப்பூண்டு	Drosera
போசுனான்	Poznań
தாஷ்கந்து	Tashkent
வார்சாவா	Warsaw
விஸ்கி	Whisky
வைன்	Wine
நீர்	Water
தோல்சரக்கு நுட்பியல்	Leather
மரம் (மூலப்பொருள்)	Wood
தொலைக்காட்சி	Television
பால் (உயிரியல்)	Sex
பாலுணர்வுக் கிளர்ச்சியம்	Pornography
இசுலேன்சுக மொழி	Icelandic language
கிளாடு மோனெ	Claude Monet
டியேகோ வெலாஸ்க்குவெஸ்	Diego Velázquez
சிலி	Chile
இயேசு கிறித்து	Jesus
எல்விஸ் பிரெஸ்லி	Elvis Presley
செபஸ்டியான் பினேரா	Sebastián Piñera
கலீலியோ கலிலி	Galileo Galilei
புதன் (கோள்)	Mercury (planet)
வரலாறு	History
ஆப்பிள் நிறுவனம்	Apple Inc.
வெள்ளி (கோள்)	Venus
மொழி	Language
காதல்	Love
சர்வாதிகாரம்	Dictatorship
விண்மீன் பேரடை	Galaxy
வியாழன் (கோள்)	Jupiter
மிசெல் பாச்செலெட்	Michelle Bachelet
பால் வழி	Milky Way
பெரு வெடிப்புக் கோட்பாடு	Big Bang
யுரேனசு	Uranus
பிரித்தானி	Brittany
ஆங்கில விக்கிப்பீடியா	English Wikipedia
நிக்கொலா சார்கோசி	Nicolas Sarkozy
நெப்டியூன்	Neptune
வானியல்	Astronomy
சிங்கப்பூர்	Singapore
அறிவியல்	Science
அண்டவியல்	Cosmology
புளூட்டோ	Pluto
மொண்ட்ரியால்	Montreal
கட்டற்ற மென்பொருள்	Free software
மரியாள் (இயேசுவின் தாய்)	Mary (mother of Jesus)
லீக்டன்ஸ்டைன்	Liechtenstein
உடல் திறன் விளையாட்டு	Sport
கேம்பிரிட்ச்	Cambridge
யெல்லோஸ்டோன் தேசியப் பூங்கா	Yellowstone National Park
இட்லர்	Adolf Hitler
ஃபேஸ்புக்	Facebook
கூகுள்+	Google+
குவாண்டானமோ விரிகுடா தடுப்பு முகாம்	Guantanamo Bay detention camp
விக்கிலீக்ஸ்	WikiLeaks
ஜூலியன் அசாஞ்சு	Julian Assange
முதல் உலகப் போர்	World War I
இரண்டாம் உலகப் போர்	World War II
மூன்றாம் உலகப் போர்	World War III
கோல்ன்	Cologne
விக்கிநூல்கள்	Wikibooks
விக்கிமேற்கோள்	Wikiquote
விக்கிப்பல்கலைக்கழகம்	Wikiversity
வோட்கா	Vodka
கடிகாரம்	Clock
யங்கா குபாலா	Yanka Kupala
உபுண்டு (இயக்குதளம்)	Ubuntu (operating system)
ஸ்கோப்ஜே	Skopje
லினக்சு	Linux
பாப் டிலான்	Bob Dylan
கணிதம்	Mathematics
யு2	U2
இலத்தீன்	Latin
பகுரைன்	Bahrain
ஆர்மீனியா	Armenia
ஜென்னா ஜேமிசன்	Jenna Jameson
ஆப்பெழுத்து	Cuneiform
ஹிக்ஸ் போசான்	Higgs boson
செர்பியா	Serbia
நிலா	Moon
இசுதான்புல்	Istanbul
லிண்டா லவ்லேஸ்	Linda Lovelace
ஆத்திரேலியா	Australia
பாப் மார்லி	Bob Marley
கார்ல் சேகன்	Carl Sagan
வான் உயிரியல்	Astrobiology
இயற்பியல்	Physics
அர்கெந்தீனா	Argentina
தொலைத்தொடர்பு	Telecommunication
பெரு	Peru
உயிரியல்	Biology
அடையாளம் கண்டுபிடிக்க முடியாத பறக்கும் பொருள்	Unidentified flying object
வடகொரியா	North Korea
கம்போடியா	Cambodia
கைப்பர் பட்டை	Kuiper belt
திருக்குர்ஆன்	Quran
தொன்மா	Dinosaur
விலங்கியல்	Zoology
இசுலாம்	Islam
பேரி	Pear
லியுப்லியானா	Ljubljana
சால்வடோர் அயேந்தே	Salvador Allende
தாவரவியல்	Botany
லேக் வலேசா	Lech Wałęsa
சில்லு	Wheel
பிரெஞ்சு கலைக்களஞ்சியம்	Encyclopédie
மனம்	Mind
அமைதி	Peace
பிரித்தானிக்கா கலைக்களஞ்சியம்	Encyclopædia Britannica
லியோன்	Lyon
ஐரோப்பிய ஒன்றியம்	European Union
இணைய ஆவணகம்	Internet Archive
ஸ்டார் வார்ஸ்	Star Wars
உலகளாவிய வலை	World Wide Web
பெண்	Woman
சோஃவியா	Sofia
தொட்டிப் பாலம்	Aqueduct (bridge)
டான் குய்க்ஸோட்	Don Quixote
கவிதை	Poetry
சோம்பல்	Laziness
கணினி நச்சுநிரல்	Computer virus
செர்னோபில் அணு உலை விபத்து	Chernobyl disaster
இரோசிமாவிலும் நாகசாக்கியிலும் அணுகுண்டு வீச்சு	Atomic bombings of Hiroshima and Nagasaki
பில் மேகர்	Bill Maher
மிலன்	Milan
நட்பு	Friendship
நினைவாற்றல்	Memory
ஆர்தர் ராம்போ	Arthur Rimbaud
துரின்	Turin
மலம்	Feces
மலவாய்	Anus
எலுமிச்சை	Lemon
வாழை	Banana
மலர்	Flower
கூகல்	Googol
மரியானா அகழி	Mariana Trench
விளாடிமிர் விசொட்சுக்கி	Vladimir Vysotsky
எவரெசுட்டு சிகரம்	Mount Everest
உடற்கூற்றியல்	Anatomy
மாநகரம்	City
பிரான்சின் முதலாம் நெப்போலியன்	Napoleon
ஒலிம்பஸ் மொன்ஸ் (மலை)	Olympus Mons
உடலியங்கியல்	Physiology
விண்மீன்	Star
ஞாயிறு (விண்மீன்)	Sun
வானம்	Sky
லூயி பாஸ்ச்சர்	Louis Pasteur
ஒளியாண்டு	Light-year
ஊர்	Village
விக்டர் ஹியூகோ	Victor Hugo
ஓசியானியா	Oceania
கரிபால்டி	Giuseppe Garibaldi
தடகள விளையாட்டு	Athletics (sport)
சூரியக் குடும்பம்	Solar System
பால்டிக் கடல்	Baltic Sea
பல்	Tooth
நீரியம்	Hydrogen
ஈலியம்	Helium
நரகம்	Hell
விக்கிமீடியா பொது	Wikimedia Commons
தூய்மை பெறும் நிலை	Purgatory
அங்கெலா மேர்க்கெல்	Angela Merkel
இலித்தியம்	Lithium
பெரிலியம்	Beryllium
ஒலிபெருக்கி	Loudspeaker
நூல் அமைப்பு	Book
நாள்	Day
கிழக்குத் திமோர்	East Timor
இரவு	Night
ஆண்டு	Year
நூற்றாண்டு	Century
மோண்ட் பிளாங்க்	Mont Blanc
ரைன் ஆறு	Rhine
ஒஸ்லோ	Oslo
பான்	Bonn
புனிதர் அனைவர் பெருவிழா	All Saints' Day
கருந்துளை	Black hole
லூயிஸ் டி கமோஸ்	Luís de Camões
சியரீசு (குறுங்கோள்)	Ceres (dwarf planet)
லிஸ்பன்	Lisbon
அவுமியா	Haumea
ரோன்	Rhône
கத்தேரி தேக்கக்விதா	Kateri Tekakwitha
ஏரிசு (குறுங்கோள்)	Eris (dwarf planet)
துபாய்	Dubai
லியோனல் மெஸ்ஸி	Lionel Messi
போரான்	Boron
நிக்கோலாஸ் கோப்பர்னிக்கஸ்	Nicolaus Copernicus
கரிமம்	Carbon
வோல்கா ஆறு	Volga River
நைட்ரசன்	Nitrogen
ஆக்சிசன்	Oxygen
கோள்	Planet
ஏழாம் கிளியோபாட்ரா	Cleopatra
இசை	Music
வெனிசு	Venice
நருடோ	Naruto
வெப்பமானி	Thermometer
ரேன்	Rennes
லீல்	Lille
மாஸ்கோ	Moscow
புளோரின்	Fluorine
இத்தாலிய மொழி	Italian language
நியான்	Neon
சென் பீட்டர்ஸ்பேர்க்	Saint Petersburg
சாட்	Chad
சோடியம்	Sodium
வடக்கு	North
மக்னீசியம்	Magnesium
அலுமினியம்	Aluminium
நியூசிலாந்து	New Zealand
தெற்கு	South
இந்தியா	India
சிலிக்கான்	Silicon
பிரான்சீயம்	Francium
துவாலு	Tuvalu
பாசுபரசு	Phosphorus
ஆந்த்ரே-மாரி ஆம்பியர்	André-Marie Ampère
உரைநடை	Prose
இரும்பு	Iron
தொங்கா	Tonga
மேற்கு	West
வோல்ட்டா	Alessandro Volta
கந்தகம்	Sulfur
சமோவா	Samoa
கிழக்கு	East
சொலமன் தீவுகள்	Solomon Islands
வனுவாட்டு	Vanuatu
மொலியர்	Molière
குளோரின்	Chlorine
பப்புவா நியூ கினி	Papua New Guinea
வில்லியம் சேக்சுபியர்	William Shakespeare
பலாவு	Palau
ஆர்கான்	Argon
நவூரு	Nauru
பயர் பாக்சு	Firefox
விசித்திரக் கதைகள்	Fairy tale
மைக்குரோனீசியக் கூட்டு நாடுகள்	Federated States of Micronesia
பொட்டாசியம்	Potassium
கல்சியம்	Calcium
ஈயம்	Lead
மார்சல் தீவுகள்	Marshall Islands
கிரிபட்டி	Kiribati
மங்கோலியா	Mongolia
பிஜி	Fiji
இசுக்காண்டியம்	Scandium
தைட்டானியம்	Titanium
வெனிசுவேலா	Venezuela
சதுரங்கம்	Chess
செங்கிஸ் கான்	Genghis Khan
வனேடியம்	Vanadium
மேய்ன்	Maine
குரோமியம்	Chromium
குதிரை	Horse
ஆம்ஸ்டர்டம்	Amsterdam
ஆயுதம்	Weapon
விலங்கு	Animal
சுரிநாம்	Suriname
மாங்கனீசு	Manganese
பரகுவை	Paraguay
கயானா	Guyana
கலை	Art
எக்குவடோர்	Ecuador
இரேனியம்	Rhenium
கொலொம்பியா	Colombia
கோபால்ட்	Cobalt
தங்குதன்	Tungsten
நிக்கல்	Nickel
பௌத்தம்	Buddhism
பொலிவியா	Bolivia
ஓசுமியம்	Osmium
செப்பு	Copper
டிரினிடாட் மற்றும் டொபாகோ	Trinidad and Tobago
தாவரம்	Plant
செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்	Saint Vincent and the Grenadines
துத்தநாகம்	Zinc
நியூ ஹாம்சயர்	New Hampshire
செயிண்ட் லூசியா	Saint Lucia
லியொனார்டோ டா வின்சி	Leonardo da Vinci
செயிண்ட் கிட்சும் நெவிசும்	Saint Kitts and Nevis
பூஞ்சை	Fungus
ஜமேக்கா	Jamaica
கிரெனடா	Grenada
மாசச்சூசெட்ஸ்	Massachusetts
குவாத்தமாலா	Guatemala
கூகிள் குரோம்	Google Chrome
பகாமாசு	The Bahamas
கனெடிகட்	Connecticut
கோழி	Chicken
அன்டிகுவா பர்புடா	Antigua and Barbuda
ஹவாய்	Hawaii
ஹொண்டுராஸ்	Honduras
டொமினிக்கா	Dominica
யேர்சி	Jersey
டொமினிக்கன் குடியரசு	Dominican Republic
வீட்டுப் பன்றி	Domestic pig
ஆர்க்டிக் பெருங்கடல்	Arctic Ocean
எயிட்டி	Haiti
எல் சால்வடோர்	El Salvador
ஈரான்	Iran
ஈராக்	Iraq
அலாஸ்கா	Alaska
கோஸ்ட்டா ரிக்கா	Costa Rica
இசுரேல்	Israel
பனாமா	Panama
யெமன்	Yemen
லோசான்	Lausanne
தீ நுண்மம்	Virus
போலிய மொழி	Polish language
ஜோர்தான்	Jordan
நிக்கராகுவா	Nicaragua
புளோரிடா	Florida
கிர்கிசுத்தான்	Kyrgyzstan
அரிசோனா	Arizona
குவைத்	Kuwait
லாவோஸ்	Laos
லெபனான்	Lebanon
ஓரிகன்	Oregon
மாலைத்தீவுகள்	Maldives
அமெரிக்காக்கள்	Americas
யூட்டா	Utah
மாடு	Cattle
மலேசியா	Malaysia
மியான்மர்	Burma
நேபாளம்	Nepal
ஓமான்	Oman
பாக்கித்தான்	Pakistan
ஜேம்ஸ் பாண்ட்	James Bond
கத்தார்	Qatar
டென்னிசு	Tennis
மைசீக்குவெல்	MySQL
சவூதி அரேபியா	Saudi Arabia
இலங்கை	Sri Lanka
ஜோசப் ஸ்டாலின்	Joseph Stalin
பார்கோடு	Barcode
சிரியா	Syria
பிளேட்டோ	Plato
காலியம்	Gallium
தஜிகிஸ்தான்	Tajikistan
பொகெமொன்	Pokémon
சீனக் குடியரசு	Taiwan
யூடியூப்	YouTube
ஜேர்மானியம்	Germanium
அரிசுட்டாட்டில்	Aristotle
தாய்லாந்து	Thailand
தொடர்வண்டி	Train
ஆர்சனிக்	Arsenic
வானொலி	Radio
மெரில் ஸ்ட்ரீப்	Meryl Streep
துருக்மெனிஸ்தான்	Turkmenistan
செலீனியம்	Selenium
இரிடியம்	Iridium
ஐக்கிய அரபு அமீரகம்	United Arab Emirates
புரோமின்	Bromine
பிளாட்டினம்	Platinum
வியட்நாம்	Vietnam
சார்லி சாப்ளின்	Charlie Chaplin
தென் கொரியா	South Korea
கிரிப்டான்	Krypton
ஆப்கானித்தான்	Afghanistan
கங்னம் ஸ்டைல்	Gangnam Style
ஜே. ஆர். ஆர். டோல்கீன்	J. R. R. Tolkien
எலுமிச்சைச்சாறு	Lemonade
ருபீடியம்	Rubidium
தங்கம்	Gold
சுயஸ் கால்வாய்	Suez Canal
அறிவியலாளர்	Scientist
வங்காளதேசம்	Bangladesh
பிரான்ஸ் காஃப்கா	Franz Kafka
ஹோர்ஹே லூயிஸ் போர்கெஸ்	Jorge Luis Borges
மாலி	Mali
சாக்கிரட்டீசு	Socrates
வோல்கோகிராட்	Volgograd
அங்கோலா	Angola
பூட்டான்	Bhutan
டுவிட்டர்	Twitter
புரூணை	Brunei
தன்சானியா	Tanzania
பாதரசம்	Mercury (element)
ருவால் அமுன்சென்	Roald Amundsen
ஆரி முலிச்	Harry Mulisch
பிலிப்பீன்சு	Philippines
மத்திய ஆப்பிரிக்கக் குடியரசு	Central African Republic
நருடோ உஜுமகி	Naruto Uzumaki
தாலியம்	Thallium
தென் துருவம்	South Pole
வட துருவம்	North Pole
ஐசாக் நியூட்டன்	Isaac Newton
ஆல்பர்ட் ஐன்ஸ்டைன்	Albert Einstein
இசுட்ரோன்சியம்	Strontium
பிரேசிலின் முதலாம் பெட்ரோ	Pedro I of Brazil
இயிற்றியம்	Yttrium
பிசுமத்	Bismuth
மஞ்சள் (நிறம்)	Yellow
குவாண்டம் விசையியல்	Quantum mechanics
டோகோ	Togo
துனீசியா	Tunisia
ஜான் பார்டீன்	John Bardeen
சாம்பியா	Zambia
சிம்பாப்வே	Zimbabwe
பெய்ஜிங்	Beijing
தெற்கு சூடான்	South Sudan
விலாடிவொஸ்டொக்	Vladivostok
பெனின்	Benin
போட்சுவானா	Botswana
விக்கிசெய்தி	Wikinews
புர்க்கினா பாசோ	Burkina Faso
புருண்டி	Burundi
கொமொரோசு	Comoros
கொங்கோ குடியரசு	Republic of the Congo
காங்கோ மக்களாட்சிக் குடியரசு	Democratic Republic of the Congo
சான் அந்தோனியோ	San Antonio
சீபூத்தீ	Djibouti
பொலோனியம்	Polonium
பவேரியா	Bavaria
எக்குவடோரியல் கினி	Equatorial Guinea
பாடன்-வுயர்ட்டம்பெர்கு	Baden-Württemberg
எரித்திரியா	Eritrea
புது தில்லி	New Delhi
திருத்தந்தை இரண்டாம் அருள் சின்னப்பர்	Pope John Paul II
பியோதர் தஸ்தயெவ்ஸ்கி	Fyodor Dostoyevsky
கம்சாத்கா தீபகற்பம்	Kamchatka Peninsula
திபிலீசி	Tbilisi
குழந்தை	Infant
அசுட்டட்டைன்	Astatine
காபோன்	Gabon
மோகன்தாசு கரம்சந்த் காந்தி	Mahatma Gandhi
வரைகதை	Comics
காம்பியா	The Gambia
கினி	Guinea
கினி-பிசாவு	Guinea-Bissau
கோட் டிவார்	Ivory Coast
கமரூன்	Cameroon
கேப் வர்டி	Cape Verde
லெசோத்தோ	Lesotho
லைபீரியா	Liberia
லிபியா	Libya
ஆஃகன்	Aachen
மடகாசுகர்	Madagascar
மலாவி	Malawi
இசுடுட்கார்ட்	Stuttgart
மூரித்தானியா	Mauritania
மொரிசியசு	Mauritius
மொரோக்கோ	Morocco
மொசாம்பிக்	Mozambique
நமீபியா	Namibia
நைஜர்	Niger
நைஜீரியா	Nigeria
சார்லஸ் டார்வின்	Charles Darwin
உகாண்டா	Uganda
ருவாண்டா	Rwanda
சிர்க்கோனியம்	Zirconium
சாவோ டொமே மற்றும் பிரின்சிப்பி	São Tomé and Príncipe
செனிகல்	Senegal
சீசெல்சு	Seychelles
கரோலஸ் லின்னேயஸ்	Carl Linnaeus
சியேரா லியோனி	Sierra Leone
சோமாலியா	Somalia
நையோபியம்	Niobium
ஜவகர்லால் நேரு	Jawaharlal Nehru
யூலியசு சீசர்	Julius Caesar
சூடான்	Sudan
சுவாசிலாந்து	Swaziland
வானவில்	Rainbow
மாலிப்டினம்	Molybdenum
டெக்னீசியம்	Technetium
வளர்சிதைமாற்றம்	Metabolism
நரேந்திர மோதி	Narendra Modi
நோய் எதிர்ப்பாற்றல் முறைமை	Immune system
குசராத்து	Gujarat
ஒண்டாரியோ ஏரி	Lake Ontario
படிவளர்ச்சிக் கொள்கை	Evolution
ஐக்கிய நாடுகள் அவை	United Nations
சுப்பீரியர் ஏரி	Lake Superior
டான்டே அலிகியேரி	Dante Alighieri
நிலவியல்	Geology
அகமதாபாத்	Ahmedabad
புவியியல்	Geography
இதயம்	Heart
மனித மூளை	Brain
தோல்	Skin
நிறம்	Color
பிரேக்கிங் பேட்	Breaking Bad
சலேர்னோ	Salerno
பெயர்ச்சொல்	Noun
பிராகா	Prague
ருத்தேனியம்	Ruthenium
ரோடியம்	Rhodium
நீலம்	Blue
பலேடியம்	Palladium
வெள்ளி (தனிமம்)	Silver
காட்மியம்	Cadmium
இண்டியம்	Indium
வெள்ளீயம்	Tin
யுரேனியம்	Uranium
அந்திமனி	Antimony
தெலூரியம்	Tellurium
புளுட்டோனியம்	Plutonium
அயோடின்	Iodine
நெப்டியூனியம்	Neptunium
செனான்	Xenon
அனிமே	Anime
சீசியம்	Caesium
புரோடாக்டினியம்	Protactinium
மின்மம்	Electric charge
பேரியம்	Barium
தோரியம்	Thorium
ஆஃபினியம்	Hafnium
ஆக்டினியம்	Actinium
டாண்ட்டலம்	Tantalum
பில் கிளின்டன்	Bill Clinton
ரேடியம்	Radium
ரேடான்	Radon
இந்திரா காந்தி	Indira Gandhi
மெர்க்குரி (தொன்மவியல்)	Mercury (mythology)
ஹெக்டர் பேர்லியோஸ்	Hector Berlioz
ஜாம்நகர்	Jamnagar
மும்பை	Mumbai
தடகள விளையாட்டுக் கூட்டமைப்புகளின் பன்னாட்டுச் சங்கம்	International Association of Athletics Federations
ஆந்திரப் பிரதேசம்	Andhra Pradesh
அருணாசலப் பிரதேசம்	Arunachal Pradesh
அசாம்	Assam
பீகார்	Bihar
மிச்சிகன்	Michigan
சத்தீசுகர்	Chhattisgarh
கோவா (மாநிலம்)	Goa
அரியானா	Haryana
இமாச்சலப் பிரதேசம்	Himachal Pradesh
சம்மு காசுமீர்	Jammu and Kashmir
புவேர்ட்டோ ரிக்கோ	Puerto Rico
சார்க்கண்ட்	Jharkhand
கருநாடகம்	Karnataka
கேரளம்	Kerala
மத்தியப் பிரதேசம்	Madhya Pradesh
உசேன் போல்ட்	Usain Bolt
மகாராட்டிரம்	Maharashtra
மணிப்பூர்	Manipur
மேகாலயா	Meghalaya
ஹெஸென்	Hesse
ஜான் லெனன்	John Lennon
இலினொய்	Illinois
வடக்கு டகோட்டா	North Dakota
லோம்பார்டி	Lombardy
தெற்கு டகோட்டா	South Dakota
மொன்ட்டானா	Montana
வயோமிங்	Wyoming
பியத்மாந்து	Piedmont
எருசலேம்	Jerusalem
ஜார்ஜியோ நபோலிடானோ	Giorgio Napolitano
ஐடஹோ	Idaho
வாஷிங்டன்	Washington (state)
இரதர்ஃபோர்டியம்	Rutherfordium
நெவாடா	Nevada
தூப்னியம்	Dubnium
சீபோர்கியம்	Seaborgium
இந்தியப் பெருங்கடல்	Indian Ocean
கொசோவோ	Kosovo
கரிபியக் கடல்	Caribbean Sea
போரியம்	Bohrium
ஆசியம்	Hassium
பான் கி மூன்	Ban Ki-moon
கோபி அன்னான்	Kofi Annan
இலிகுரியா	Liguria
மெய்ட்னீரியம்	Meitnerium
கொலராடோ	Colorado
எமிலியா-ரோமாஞா	Emilia-Romagna
ஊ தாண்ட்	U Thant
கொலராடோ ஆறு	Colorado River
டார்ம்சிட்டாட்டியம்	Darmstadtium
டாக் ஹமாஷெல்ட்	Dag Hammarskjöld
பிரடெரிக் சொப்பின்	Frédéric Chopin
பழப்பாகு	Fruit preserves
திறிகுவே இலீ	Trygve Lie
இரோயன்ட்கெனியம்	Roentgenium
கோப்பர்நீசியம்	Copernicium
ஆல்ப்ஸ்	Alps
கிரனோபிள்	Grenoble
பிலைசு பாஸ்கல்	Blaise Pascal
சிகாகோ	Chicago
பீட்டில்ஸ்	The Beatles
உன்னுன்டிரியம்	Ununtrium
பிளெரோவியம்	Flerovium
உன்னுன்பென்டியம்	Ununpentium
லிவர்மோரியம்	Livermorium
உனுன்செப்டியம்	Ununseptium
அனனாக்டியம்	Ununoctium
மாஸ்ட்ரிக்ட்	Maastricht
குளிர்காலம்	Winter
இளவேனிற்காலம்	Spring (season)
கோடைகாலம்	Summer
இலையுதிர்காலம்	Autumn
சம இரவு நாள்	Equinox
சதாம் உசேன்	Saddam Hussein
உசாமா பின் லாதின்	Osama bin Laden
எசுப்பானியம்	Spanish language
பிரீட்ரிக் கையக்	Friedrich Hayek
