IYunayithedi Steyitsi	United States
Template:Commons Categories	Template:Commons category
Isifo sentsholongwane i-Ebola	Ebola virus disease
Ixoxo	Frog
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	2014 FIFA World Cup
IPhondo yaKwaZulu-Natala	KwaZulu-Natal
Ulwaluko	Circumcision
Ibandla LamaBapist	Baptists
IBhayi	Port Elizabeth
IPhondo yaNtshona-Koloni	Western Cape
Umlenga	Eel
IPhondo laseMpuma-Koloni	Eastern Cape
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Northern Cape
IPhondo yaRhawuti	Gauteng
IPhondo yaLimpopo	Limpopo
UZahara	Zahara (South African musician)
Zenzile Miriam Makeba	Miriam Makeba
Nkosazana Dlamini-Zuma	Nkosazana Dlamini-Zuma
Frederik de Klerk	F. W. de Klerk
Kgalema Motlanthe	Kgalema Motlanthe
IPhondo yaseMntla-Ntshona	North West (South African province)
U-Raymond Mhlaba	Raymond Mhlaba
Iankile	Anchor
2010 FIFuRoni da Futboll	2010 FIFA World Cup
Idessert	Dessert
UBrenda Nokuzola Fassie	Brenda Fassie
Umfazi	Wife
UMarvin Gaye	Marvin Gaye
I-discourse	Discourse
Uluhlu lweendawo eMzantsi Afrika	Provinces of South Africa
Robben island	Robben Island
Iipijama	Pajamas
Banovci (Nijemci)	Banovci, Vukovar-Srijem County
Freshlyground	Freshlyground
Iilwimi zaseAfrika	Languages of Africa
AmaXhosa	Xhosa people
Pieter Willem Botha	P. W. Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
IPhondo yaFreyistata	Orange Free State
Ibhanti	Belt
Umlungu	White people
U-Winnie Madikizela Mandela	Winnie Madikizela-Mandela
Étienne Mourrut	Étienne Mourrut
FIFA	FIFA
U-Helen Zille	Helen Zille
EUNITRA	University of Transkei
UBilly Ocean	Billy Ocean
Marek Grechuta	Marek Grechuta
Benedict Wallet Vilakazi	Benedict Wallet Vilakazi
ULucky Dube	Lucky Dube
Mateyu	Gospel of Matthew
Walter Sisulu	Walter Sisulu
UMargaret Msengana	Margaret Singana
Incwadi ka Mormoni	Book of Mormon
I-Transkei	Transkei
Izifundo zoguqulo	Translation studies
I-Freedom Front Plus	Freedom Front Plus
ULebu Mathosa	Lebo Mathosa
UYvonne Chaka Chaka	Yvonne Chaka Chaka
Mangosuthu Buthelezi	Mangosuthu Buthelezi
ICompany Gardens	Company's Garden
I-Yunivesithi yasePitoli	University of Pretoria
Matatiele	Matatiele
Ingca	Grass
E-UNISA	University of South Africa
Samuel Edward Krune Mqhayi	Samuel Edward Krune Mqhayi
Pigazzano	Pigazzano
Uluhlu lwabantu	Lists of people
Iinkonzo Zeelwimi Zesizwe	National Language Services
Ugqirha	Doctor of Medicine
Ray Phiri	Ray Phiri
E-Tiburon	Tiburon, California
Kayamandi	Kayamandi
Mthatha	Mthatha
IHanoveri (eMzantsi Afrika)	Hanover, Northern Cape
IYunivesithi yaseStellenbosch	Stellenbosch University
Nkosi sikelel iAfrika	Nkosi Sikelel' iAfrika
Umpu	Gun
Saganaki	Saganaki
Category:IJamani	Category:Germany
Category:UMzantsi Afrika	Category:South Africa
Iilwimi zaseMzantsi Afrika	Languages of South Africa
Category:ENetherlands	Category:Netherlands
Category:ISyensya	Category:Science
AbaThembu	Thembu people
Ukucinezeleka kwamanina	Violence against women
Qunu	Qunu
Umnenga	Whale
EMonti	East London
Port St Johns	Port St. Johns
Anaso Jobodwana	Anaso Jobodwana
Category:Stubs	Category:Stubs
Category:Oluhlu	Category:Lists
Mount Frere	Mount Frere
UMarvin Gay Sr	Marvin Gay Sr.
Ezolimo	Agricultural science
Libode	Libode
Milnerton	Milnerton
Imfundo eMzantsi Afrika	Education in South Africa
Template:Tl	Template:Tl
Category:Amazwe	Category:Countries
Wikipedia:Requests for adminship	Wikipedia:Requests for adminship
Category:Hidden categories	Category:Hidden categories
Wikipedia:Vital 100	Wikipedia:Vital articles/Level/2
I-Accounting	Accounting
Template:Bot	Template:Bot
UThandiswa Mazwayi	Thandiswa Mazwai
U-Tiyo Soga (1819-1871)	Tiyo Soga
Template:Flagicon	Template:Flagicon
Template:Documentation	Template:Documentation
Wikipedia:Community Portal	Wikipedia:Community portal
Category:User languages	Category:Wikipedians by language
Sung Jae-gi	Sung Jae-gi
Afrikaanse Hoër Seunskool	Afrikaanse Hoër Seunskool
IZenzo	Good works
AmaMpondo	Amampondo
CTICC	Cape Town International Convention Centre
Template:Softredirect	Template:Soft redirect
Template:Ukucima	Template:Db
The Sims	The Sims
Category:Ulwimi	Category:Languages
Category:Ikhalenda	Category:Calendars
Category:Wikipedia	Category:Wikipedia
Wikipedia:General disclaimer	Wikipedia:General disclaimer
Wikipedia:Statistics	Wikipedia:Statistics
U-Buyelekhaya Dalindyebo	Buyelekhaya Dalindyebo
Cida City Campus	CIDA City Campus
Template:Col-break	Template:Col-break
Template:Col-begin	Template:Col-begin
Template:Col-end	Template:Col-end
Ebhayi	Ibhayi
Wikipedia:Nospam	Wikipedia:Spam blacklist
Wikipedia:Vital articles	Wikipedia:Vital articles
Category:Afrika	Category:Africa
Category:Eyekhala	Category:July
Category:IPhondo yaFreyistata	Category:Free State (province)
Category:IPhondo yaMpuma-Koloni	Category:Eastern Cape
Category:IPhondo yaRhawuti	Category:Gauteng
Category:Amanani	Category:Numbers
Category:Eyesilimela	Category:June
Category:IPhondo yaKwaZulu-Natala	Category:KwaZulu-Natal
Category:IPhondo yaMpumalanga	Category:Mpumalanga
Category:IPhondo yaseMntla-Koloni	Category:Northern Cape
Category:Ubuchwepheshe	Category:Electronics
Category:Ilali	Category:Villages
Category:IBhayibhile	Category:Bible
Category:Amaxwebhu	Category:Documents
Category:IPhondo yaLimpopo	Category:Limpopo
Category:IPhondo yaNtshona-Koloni	Category:Western Cape
Category:IPhondo yaseMntla-Ntshona	Category:North West (South African province)
Category:Iincwadi	Category:Books
Category:Inyanga	Category:Months
Template:Wikisource	Template:Wikisource
Template:Babel	Template:Babel
Template:Provinces of South Africa	Template:Administrative divisions of South Africa
Template:Commons	Template:Commons
Template:Reflist	Template:Reflist
Template:Isilumkiso	Template:Warning
Template:Stub	Template:Stub
Template:User af-1	Template:User af-1
Template:User als-1	Template:User als-1
Template:User ar-1	Template:User ar-1
Template:User ast-1	Template:User ast-1
Template:User az	Template:User az
Template:User bar-1	Template:User bar-1
Template:User eo-1	Template:User eo-1
Template:See also	Template:See also
Template:User da-2	Template:User da-2
Template:User da	Template:User da
Template:User ca-1	Template:User ca-1
Template:User ca-4	Template:User ca-4
Template:User be-2	Template:User be-2
Template:User da-1	Template:User da-1
Template:User cs-1	Template:User cs-1
Template:User bg-1	Template:User bg-1
Template:User eo-3	Template:User eo-3
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User eu-4	Template:User eu-4
Template:User eu	Template:User eu
Template:User et-1	Template:User et-1
Template:User el	Template:User el
Template:User es	Template:User es
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User el-1	Template:User el-1
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User fa-1	Template:User fa-1
Template:User eo-2	Template:User eo-2
Template:User en-4	Template:User en-4
Template:User fi	Template:User fi
Template:User en-0	Template:User en-0
Template:User es-4	Template:User es-4
Template:User en	Template:User en
Template:User de-2	Template:User de-2
Template:User es-1	Template:User es-1
Template:User fa	Template:User fa
Template:User fi-1	Template:User fi-1
Template:User fr-1	Template:User fr-1
Template:User gl-1	Template:User gl-1
Template:User ia-2	Template:User ia-2
Template:User hi-1	Template:User hi-1
Template:User hr	Template:User hr
Template:User he-2	Template:User he-2
Template:User he-1	Template:User he-1
Template:User hu	Template:User hu
Template:User id-3	Template:User id-3
Template:User io-3	Template:User io-3
Template:User it-3	Template:User it-3
Template:User grc-1	Template:User grc-1
Template:User ja-4	Template:User ja-4
Template:User sk	Template:User sk
Template:User tr-2	Template:User tr-2
Template:User fr-2	Template:User fr-2
Template:User tr	Template:User tr
Template:User ja	Template:User ja
Template:User ja-1	Template:User ja-1
Template:User it-1	Template:User it-1
Template:User hr-1	Template:User hr-1
Template:User fr	Template:User fr
Template:User gsw-1	Template:User gsw-1
Category:Uluhlu lweendawo eMzantsi Afrika	Category:Provinces of South Africa
Template:Mod	Template:Mod
Template:Pn	Template:Page needed
Template:SIL	Template:Infobox language/codelist
Template:User es-2	Template:User es-2
Template:USA	Template:USA
Template:Country data Indonesia	Template:Country data Indonesia
Category:User fr-1	Category:User fr-1
Template:Country showdata	Template:Country showdata
Template:Infobox School	Template:Infobox school
Template:Rnd	Template:Rnd
Template:Location map	Template:Location map
Category:User en-4	Category:User en-4
Category:User en	Category:User en
Category:User en-2	Category:User en-2
Template:Infobox	Template:Infobox
Template:Documentation/start box	Template:Documentation/start box
Template:Documentation/end box2	Template:Documentation/end box2
Template:Documentation/start box2	Template:Documentation/start box2
Template:Template other	Template:Template other
Template:Cite web	Template:Cite web
Template:Country data	Template:Country data
Template:Coor URL	Template:Coor URL
Template:Pp-template	Template:Pp-template
Category:User hi	Category:User hi
Template:Infobox settlement	Template:Infobox settlement
Template:Flagicon/core	Template:Flagicon/core
Template:PoSA Commons	Template:Commons category-inline
Category:Country data templates	Category:Country data templates
Template:Fmbox	Template:Fmbox
Template:Both	Template:Both
Template:Tlx	Template:Tlx
Template:Geobox coor	Template:Geobox coor
USteve Kekana	Steve Kekana
Template:Flag/core	Template:Flag/core
Template:User	Template:User
Template:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
Template:Pp-meta	Template:Pp-meta
Template:Coord/link	Template:Coord/link
Category:User ja-N	Category:User ja-N
Template:Br separated entries	Template:Br separated entries
Template:Order of magnitude	Template:Order of magnitude
Template:Flag template documentation	Template:Flag template documentation
Category:User gsw-1	Category:User gsw-1
Template:Infobox person	Template:Infobox person
Template:Coord	Template:Coord
Template:Citation/make link	Template:Citation/make link
Justine Musk	Justine Musk
Category:User az	Category:User az
Category:User be	Category:User be
Category:User hr	Category:User hr
Category:User sk	Category:User sk
Category:User eo	Category:User eo
Category:User et	Category:User et
Category:User fr	Category:User fr
Category:User gl	Category:User gl
Category:User hu-N	Category:User hu-N
Category:User id	Category:User id
Category:User ia	Category:User ia
Category:User ja	Category:User ja
Category:User it-3	Category:User it-3
Category:User cs-1	Category:User cs-1
Category:User da-1	Category:User da-1
Category:User et-1	Category:User et-1
Category:User fi-1	Category:User fi-1
Category:User gl-1	Category:User gl-1
Category:User hi-1	Category:User hi-1
Category:User ar-1	Category:User ar-1
Category:User be-2	Category:User be-2
Category:User da-2	Category:User da-2
Category:User fr-2	Category:User fr-2
Category:User ia-2	Category:User ia-2
Category:User tr-2	Category:User tr-2
Category:User hr-N	Category:User hr-N
Category:User fr-N	Category:User fr-N
Category:User eu-N	Category:User eu-N
Category:User af	Category:User af
Category:User af-1	Category:User af-1
Category:User als	Category:User als
Category:User ar	Category:User ar
Category:User ast	Category:User ast
Category:User ast-1	Category:User ast-1
Category:User az-N	Category:User az-N
Category:User bar	Category:User bar
Category:User bar-1	Category:User bar-1
Category:User bg	Category:User bg
Category:User bg-1	Category:User bg-1
Category:User ca	Category:User ca
Category:User ca-1	Category:User ca-1
Category:User ca-4	Category:User ca-4
Category:User cs	Category:User cs
Category:User da	Category:User da
Category:User sk-N	Category:User sk-N
Category:User de	Category:User de
Category:User de-2	Category:User de-2
Category:User de-3	Category:User de-3
Category:User de-N	Category:User de-N
Category:User el	Category:User el
Category:User el-1	Category:User el-1
Category:User el-N	Category:User el-N
Category:User en-3	Category:User en-3
Category:User en-N	Category:User en-N
Category:User eo-1	Category:User eo-1
Category:User eo-2	Category:User eo-2
Category:User eo-3	Category:User eo-3
Category:User es	Category:User es
Category:User es-1	Category:User es-1
Category:User es-2	Category:User es-2
Category:User es-4	Category:User es-4
Category:User es-N	Category:User es-N
Category:User eu	Category:User eu
Category:User eu-4	Category:User eu-4
Category:User fa	Category:User fa
Category:User fa-1	Category:User fa-1
Category:User fa-N	Category:User fa-N
Category:User fi	Category:User fi
Category:User fi-N	Category:User fi-N
Category:User grc	Category:User grc
Category:User grc-1	Category:User grc-1
Category:User gsw	Category:User gsw
Category:User he	Category:User he
Category:User he-1	Category:User he-1
Category:User he-2	Category:User he-2
Category:User hr-1	Category:User hr-1
Category:User hu	Category:User hu
Category:User id-3	Category:User id-3
Category:User io	Category:User io
Category:User io-3	Category:User io-3
Category:User it	Category:User it
Category:User it-1	Category:User it-1
Category:User ja-1	Category:User ja-1
Template:Infobox settlement/lengthdisp	Template:Infobox settlement/lengthdisp
Category:User tr	Category:User tr
Category:User tr-N	Category:User tr-N
Template:Spaces	Template:Spaces
Template:Country data United States	Template:Country data United States
Ikhalenda yesiXhosa	Xhosa calendar
Template:Refbegin	Template:Refbegin
Template:Citation/core	Template:Citation/core
U-Ngubengcuka	Ngubengcuka
E-Paradise Cay	Paradise Cay, California
Umnqathe	Carrot
Pretoria boys high school	Pretoria Boys High School
Template:Location map Indonesia	Template:Location map Indonesia (provinces)
Category:Province templates	Category:Province templates
Umnini-venkile	Shopkeeper
Sinenjongo High School	Sinenjongo High School
ISt Johns College eMthatha	St. John's College, Johannesburg
Stary Dwór	Stary Dwór, Lubusz Voivodeship
Template:Coord/display/inline	Template:Coord/display/inline
Template:Coord/display/inline,title	Template:Coord/display/inline,title
Template:Coord/input/dec	Template:Coord/input/dec
Template:Coord/input/error2	Template:Coord/input/error2
Template:Coord/input/nolat	Template:Coord/input/nolat
Template:Coord/prec dec	Template:Coord/prec dec
Template:Flag	Template:Flag
Template:Country data Texas	Template:Country data Texas
Trojany	Trojany, Masovian Voivodeship
KuTsolo	Tsolo
Umngqusho	Umngqusho
Umqombothi	Umqombothi
Template:Getalias	Template:Getalias
Category:IDolophu	Category:Cities
Template:Coord/display/title	Template:Coord/display/title
Template:Coord/input/ERROR	Template:Coord/input/ERROR
Category:User en-1	Category:User en-1
Category:User de-1	Category:User de-1
Category:User da-N	Category:User da-N
Template:Coord/negzeropad	Template:Coord/negzeropad
Module:Error	Module:Error
Template:Hid	Template:Hid
Template:Infobox settlement/densdisp	Template:Infobox settlement/densdisp
Template:Location map~	Template:Location map~
Template:Location map+	Template:Location map+
Wikipedia:VisualEditor	Wikipedia:VisualEditor
IHanoveri	Hanover (disambiguation)
Module:Citation/CS1/Whitelist	Module:Citation/CS1/Whitelist
Template:Getalias/core	Template:Getalias/core
Template:Tlg	Template:Tlg
Template:Documentation/link box	Template:Documentation/link box
Template:Documentation/template page	Template:Documentation/template page
Template:Documentation/end box	Template:Documentation/end box
Template:Documentation/docspace	Template:Documentation/docspace
Template:Infobox settlement/areadisp	Template:Infobox settlement/areadisp
Template:Infobox settlement/checkauto	Template:Infobox settlement/checkauto
Template:Infobox settlement/link	Template:Infobox settlement/link
Template:Infobox settlement/impus	Template:Infobox settlement/impus
Template:Infobox settlement/impus/mag	Template:Infobox settlement/impus/mag
Template:Infobox settlement/pref	Template:Infobox settlement/pref
Wikipedia Zero	Wikipedia Zero
Template:Infobox settlement/columns	Template:Infobox settlement/columns
Template:Style/IPA	Template:Style/IPA
Template:Style/yid	Template:Style/yid
Indlu ye satyagraha	Satyagraha House
Template:Tld	Template:Tld
Module:Br separated entries	Module:Br separated entries
Module:Yesno	Module:Yesno
Module:Comma separated entries	Module:Comma separated entries
Module:Category handler	Module:Category handler
Joe Slovo Park	Joe Slovo Park
Module:Arguments	Module:Arguments
Special:RecentChanges	Special:RecentChanges
Module:Citation/CS1	Module:Citation/CS1
Module:Citation/CS1/Configuration	Module:Citation/CS1/Configuration
Category:User ja-4	Category:User ja-4
Module:HtmlBuilder	Module:HtmlBuilder
Module:String	Module:String
Module:Coordinates	Module:Coordinates
Module:Math	Module:Math
Module:InfoboxImage	Module:InfoboxImage
Module:Infobox	Module:Infobox
Module:Namespace detect/data	Module:Namespace detect/data
Module:Namespace detect/config	Module:Namespace detect/config
Module:Category handler/config	Module:Category handler/config
Module:Category handler/data	Module:Category handler/data
Module:Category handler/shared	Module:Category handler/shared
Module:Category handler/blacklist	Module:Category handler/blacklist
Industrial and Mining Water Research Unit	Industrial and Mining Water Research Unit (University of the Witwatersrand)
