ئافرىقا	Africa
بېلورۇسسىيە	Belarus
نېمىس تىلى	German language
ئىسلاندىيە	Iceland
ئېستونىيە	Estonia
ساتۇرن	Saturn
ئايروپىلان	Airplane
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Latvia
ئۇكرائىنا	Ukraine
چېخ جۇمھۇرىيەتى	Czech Republic
سلوۋاكىيە	Slovakia
سلوۋېنىيە	Slovenia
مولدوۋا	Moldova
رۇمىنىيە	Romania
بۇلغارىيە	Bulgaria
Rim	Rome
ماكېدونىيە	Republic of Macedonia
ئالبانىيە	Albania
گرېنلاندىيە	Greenland
كرودىيە	Croatia
بوسنىيە ۋە ھېرسېگوۋىنا	Bosnia and Herzegovina
ئەزەربەيجان	Azerbaijan
ئاندوررا	Andorra
سىپرۇس	Cyprus
گرۇزىيە	Georgia (country)
قازاقىستان	Kazakhstan
مالتا	Malta
موناكو	Monaco
چېرنوگورىيە	Montenegro
ۋاتىكان شەھىرى	Vatican City
سان مارىنو	San Marino
Bryussél	Brussels
كۇبا	Cuba
بېلىز	Belize
باربادوس	Barbados
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Turkish language
جەنۇبىي ئافرىقا	South Africa
ئالجىرىيە	Algeria
ئۆزبېكىستان	Uzbekistan
Poznan	Poznań
Tashkent	Tashkent
Warshawa	Warsaw
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Eurovision Song Contest
تېلېۋىزور	Television
ئىسلاندىيە تىلى	Icelandic language
چىلى	Chile
ئەيسا مەسىھ	Jesus
گالىلېي	Galileo Galilei
مېركۇرىي	Mercury (planet)
تارىخ	History
ئالما شىركىتى	Apple Inc.
ۋېنېرا	Venus
مۇھاببەت	Love
يۇپىتېر	Jupiter
سامان يولى سىستىمېسى	Milky Way
ئۇران (پلانىت)	Uranus
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Neptune
ئاسترونومىيە	Astronomy
سىنگاپور	Singapore
پلۇتون	Pluto
Montréal	Montreal
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	World War I
Kolon	Cologne
سكوپليې	Skopje
Shchétsin	Szczecin
لاتىن تىلى	Latin
بەھرېيىن	Bahrain
ئەرمېنىيە	Armenia
سېربىيە	Serbia
Istanbul	Istanbul
ئاۋستىرالىيە	Australia
فىزىكا	Physics
ئارگېنتىنا	Argentina
پېرۇ	Peru
بىئولوگىيە	Biology
شىمالىي چاۋشيەن	North Korea
كامبوجا	Cambodia
قۇرئان كەرىم	Quran
دىنوزاۋر	Dinosaur
ئىسلام دىنى	Islam
ليۇبليانا	Ljubljana
Lion	Lyon
ياۋروپا ئىتتىپاقى	European Union
سوفىيە	Sofia
شېئىر	Poetry
Milan	Milan
Turin	Turin
سوڭ	Anus
ئېۋېرېست	Mount Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoleon
ۋېزۇۋىي	Mount Vesuvius
قۇياش	Sun
قۇياش سىستېمىسى	Solar System
ھىدروگېن	Hydrogen
گېلىي	Helium
چىش	Human tooth
لىتىي	Lithium
بېرىللىي	Beryllium
شەرقىي تىمور	East Timor
ئوسلو	Oslo
Bonn	Bonn
سېرېرا	Ceres (dwarf planet)
لىسبون	Lisbon
ئېرىدا	Eris (dwarf planet)
دۇبائى	Dubai
بور	Boron
Wérsayl	Versailles (France city)
كاربون	Carbon
ۋولگا دەرياسى	Volga River
ئازوت	Nitrogen
ئوكسىگېن	Oxygen
مۇزىكا	Music
Wénitsiye	Venice
Rénn Shehiri	Rennes
Lil	Lille
Moskwa	Moscow
فىتور	Fluorine
ئىتاليان تىلى	Italian language
نىئون گازى	Neon
Sankt-Pétérburg	Saint Petersburg
چاد	Chad
ناترىي	Sodium
ماگنىي	Magnesium
ئاليۇمىن	Aluminium
يېڭى زېلاندىيە	New Zealand
ھىندىستان	India
سىلىتسىي	Silicon
فرانسىي	Francium
Tuwalu	Tuvalu
فوسفور	Phosphorus
تۆمۈر	Iron
Ton’ga	Tonga
گۈڭگۈرت	Sulfur
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Solomon Islands
ۋانۇئاتۇ	Vanuatu
خلور گازى	Chlorine
پاپۇئا يېڭى گۋىنېيە	Papua New Guinea
پالاۋ	Palau
ئارگون	Argon
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Federated States of Micronesia
كالىي	Potassium
كالتىسىي	Calcium
قوغۇشۇن	Lead
مارشال تاقىم ئاراللىرى	Marshall Islands
كىرىباتى	Kiribati
موڭغۇلىيە	Mongolia
فىجى	Fiji
سكاندىي	Scandium
تىتان	Titanium
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Genghis Khan
ۋانادىي	Vanadium
Méané Shitati	Maine
خروم	Chromium
ئات	Horse
ئامستېردام	Amsterdam
ھايۋانات	Animal
سۇرىنام	Suriname
مانگان	Manganese
پاراگۋاي	Paraguay
گايانا	Guyana
ئېكۋادور	Ecuador
رېنىي	Rhenium
كولومبىيە	Colombia
كوبالت	Cobalt
ۋولفرام	Tungsten
نىكېل	Nickel
بۇددا دىنى	Buddhism
بولىۋىيە	Bolivia
مىس	Copper
ترىنىداد ۋە توباگو	Trinidad and Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	Saint Vincent and the Grenadines
سىنك	Zinc
Yéngi Xampishir Shitati	New Hampshire
سېنت ليۇسىيە	Saint Lucia
داۋېىنچى	Leonardo da Vinci
سېنت كىتس ۋە نېۋىس	Saint Kitts and Nevis
زەمبۇرۇغ	Fungus
يامايكا	Jamaica
گرېنادا	Grenada
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	The Bahamas
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antigua and Barbuda
Haway Shitati	Hawaii
ھوندۇراس	Honduras
دومىنىكا	Dominica
دومىنىكان جۇمھۇرىيەتى	Dominican Republic
ھايتى	Haiti
ئەل سالۋادور	El Salvador
ئىران	Iran
ئىراق	Iraq
Alyaska Shitati	Alaska
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israel
پاناما	Panama
يەمەن	Yemen
پولەك تىلى	Polish language
ئىئوردانىيە	Jordan
نىكاراگۇئا	Nicaragua
Florida Shitati	Florida
قىرغىزىستان	Kyrgyzstan
Arizona Shitati	Arizona
كۇۋەيت	Kuwait
لائوس	Laos
لىۋان	Lebanon
Orégon Shitati	Oregon
مالدىۋ ئاراللىرى	Maldives
ئامېرىكا قىتئەسى	Americas
Yuta Shitati	Utah
مالايسىيا	Malaysia
بىرما	Burma
نېپال	Nepal
ئومان	Oman
پاكىستان	Pakistan
قاتار	Qatar
سەئۇدى ئەرەبىستان	Saudi Arabia
سرىلانكا	Sri Lanka
ستالىن	Joseph Stalin
سۇرىيە	Syria
بىراتۇ	Plato
گاللىي	Gallium
تاجىكىستان	Tajikistan
تەيۋەن	Taiwan
گېرمانىي	Germanium
تايلاند	Thailand
ئارسېن	Arsenic
تۈركمەنىستان	Turkmenistan
سېلېن	Selenium
ئەرەب بىرلەشمە خەلىپىلىكى	United Arab Emirates
بروم	Bromine
Platina	Platinum
ۋيېتنام	Vietnam
Nowosibirski	Novosibirsk
جەنۇبىي چاۋشيەن	South Korea
كرىپتون	Krypton
ئافغانىستان	Afghanistan
رۇبىدىي	Rubidium
ئالتۇن	Gold
قازان	Kazan
بانگلادېش	Bangladesh
مالى	Mali
ئانگولا	Angola
بۇتان	Bhutan
برۇنېي	Brunei
تانزانىيە	Tanzania
فىلىپپىن	Philippines
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	Central African Republic
جەنۇبى قۇتۇپ	South Pole
شىمالى قۇتۇپ	North Pole
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Strontium
ئىتترىي	Yttrium
ۋىسمۇت	Bismuth
سېرىق رەڭ	Yellow
توگو	Togo
تۇنىس	Tunisia
زامبىيە	Zambia
زىمبابۋې	Zimbabwe
بېيجىڭ شەھىرى	Beijing
تۇۋا	Tuva
بېنىن	Benin
بوتسۋانا	Botswana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Comoros
كونگو جۇمھۇرىيىتى	Republic of the Congo
كونگو دېموكراتىك جۇمھۇرىيىتى	Democratic Republic of the Congo
San Antonio	San Antonio
جىبۇتى	Djibouti
پولونىي	Polonium
ئېكۋاتور گۋىنېيىسى	Equatorial Guinea
ئېرىترېيە	Eritrea
Yéngi Déhli	New Delhi
تبىلىسى	Tbilisi
ئاستاتىن	Astatine
گابون	Gabon
گامبىيە	The Gambia
ۋىنېيە	Guinea
گۋىنېيە بىسسائۇ	Guinea-Bissau
پىل چىشى قىرغىغى	Ivory Coast
كامېرۇن	Cameroon
يېشىل تۇمشۇق ئاراللىرى	Cape Verde
لېسوتو	Lesotho
لىبېرىيە	Liberia
لىۋىيە	Libya
ماداگاسكار	Madagascar
مالاۋى	Malawi
Shtutgart	Stuttgart
ماۋرىتانىيە	Mauritania
ماۋرىتىئۇس	Mauritius
ماراكەش	Morocco
موزامبىك	Mozambique
نامىبىيە	Namibia
نىگېر	Niger
نىگېرىيە	Nigeria
دارۋىن	Charles Darwin
ئۇگاندا	Uganda
رۋاندا	Rwanda
سىركونىي	Zirconium
San Tomé we Prinsipé	São Tomé and Príncipe
سېنېگال	Senegal
سېيشېل ئاراللىرى	Seychelles
سيېررا لېئونې	Sierra Leone
سومالى	Somalia
نىئوبىي	Niobium
جولیس سیزر	Julius Caesar
سۇدان	Sudan
سۋازىلېند	Swaziland
مولبېدىن	Molybdenum
تېخېتىسىي	Technetium
Hamburg	Hamburg
گۇجارات	Gujarat
بىرلەشكەن دۆلەتلەر تەشكىلاتى	United Nations
گېئولوگىيە	Geology
Exmetabad	Ahmedabad
يۈرەك	Heart
تېرە	Skin
پراگا	Prague
كۆك رەڭ	Blue
كۈمۈش	Silver
قەلەي	Tin
ئۇران	Uranium
سۈرمە	Antimony
پلوتونىي	Plutonium
نېپتونىي	Neptunium
كسېنون	Xenon
سېزىي	Caesium
پروتاكتىنىي	Protactinium
بارىي	Barium
تورىي	Thorium
گافنىي	Hafnium
ئاكتىنىي	Actinium
تانتال	Tantalum
بىل كلىنتون	Bill Clinton
رادىي	Radium
رادون	Radon
Bombay	Mumbai
Michigan Shitati	Michigan
پوئېرتو رىكو	Puerto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	North Dakota
لومبارد	Lombardy
Jenubiy Dakota Shitati	South Dakota
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jerusalem
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington (state)
رۇزېرفوردىي	Rutherfordium
Néwada shitati	Nevada
دۇبنىي	Dubnium
سىبورگىي	Seaborgium
بوھرىي	Bohrium
ھاسسىي	Hassium
مېيتنېرىي	Meitnerium
Kolorado Shitati	Colorado
دارمستادتىي	Darmstadtium
رۆنتگېنىي	Roentgenium
كوپېرنىي	Copernicium
تۈر:تۈرلەر يولباشچىسى	Category:Contents
ئاپېنىن تاغ تىزمىسى	Apennine Mountains
ئالپ تاغلىرى	Alps
پاسكال	Blaise Pascal
Gant	Ghent
Chikago	Chicago
ئۇنۇنترىي	Ununtrium
فلېروۋىي	Flerovium
ئۇنۇنپېنتىي	Ununpentium
لىۋىرمورىي	Livermorium
ئۇنۇنسېپتىي	Ununseptium
ئۇنۇنئوكتىي	Ununoctium
Arném	Arnhem
ئىسپان تىلى	Spanish language
مونتېۋىدېئو	Montevideo
Filadélfiye	Philadelphia
Kalkutta	Kolkata
Déhli	Delhi
داكا	Dhaka
Ban'galor	Bangalore
Ömüchük	Spider
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Fruit
مايمۇن	Monkey
Wirginiye Shitati	Virginia
غەربىي ۋىرگىنىيە شىتاتى	West Virginia
Nyuyork Shitati	New York
سېرىي	Cerium
پرازېئودىمىي	Praseodymium
Rodé Arili Shitati	Rhode Island
نېئودىي	Neodymium
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europium
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pennsylvania
Yéngi Jérséy Shtati	New Jersey
فىنلاندىيە تىلى	Finnish language
Indiyanna Shitati	Indiana
ئاپتوموبىل	Car
Giorgiye Shitati	Georgia (U.S. state)
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	South Carolina
سىتسىلىيە	Sicily
مانىلا	Manila
ساردىنىيە ئارىلى	Sardinia
Bordo	Bordeaux
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	Mexico City
توكيو	Tokyo
Barsélona	Barcelona
Missisipi Shitati	Mississippi
Ténnéssi Shitati	Tennessee
Astana	Astana
Yéngi Méksika Shitati	New Mexico
ئافېنا	Athens
Minnésota Shitati	Minnesota
باغداد	Baghdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	A.C. Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Guatemala City
Kanzas Shitati	Kansas
ھىندى تىلى	Hindi
ماراتىچە	Marathi language
Missori Shitati	Missouri
Loyizanna Shitati	Louisiana
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hanover
Myunxén	Munich
Drézdén	Dresden
ۋالىبول	Volleyball
Wyéna	Vienna
Kopénhagén	Copenhagen
Stokgolm	Stockholm
Xélsinki	Helsinki
دۇبلىن	Dublin
رېيكياۋىك	Reykjavík
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapest
Danzig	Gdańsk
Frankfort	Frankfurt
Wroklaw	Wrocław
لانتان	Lanthanum
جۈي	Promethium
چالغا	Samarium
گادولنىي	Gadolinium
تېربىي	Terbium
Katolik dini	Catholicism
ليۇكسېمبۇرگ شەھىرى	Luxembourg (city)
دىسپروزىي	Dysprosium
ۋادۇز	Vaduz
ئىنجىل	Bible
گولمىي	Holmium
ئېربىي	Erbium
فنوم پېن	Phnom Penh
تۇلىي	Thulium
سايگون	Ho Chi Minh City
ئىتتېربىي	Ytterbium
لۇتېتسىي	Lutetium
خانوي	Hanoi
ھەقىقى ئەيسا چېركاۋى	True Jesus Church
ئىنگىلىز تىلى	English language
Bangkok	Bangkok
ئاندوررا كەنتى	Andorra la Vella
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipei
ئامېرىتسىي	Americium
كىيۇرىي	Curium
Concepción, Chile	Concepción, Chile
بېركېلىي	Berkelium
كالىفورنىي	Californium
ئېينشتېينىي	Einsteinium
فېرمىي	Fermium
مېندېلېيېۋىي	Mendelevium
كىيېۋ	Kiev
نوبېلىي	Nobelium
لاۋرېنسىي	Lawrencium
كارېلىيە	Republic of Karelia
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nova Scotia
يېرېۋان	Yerevan
دارېسسالام	Dar es Salaam
خارتۇم	Khartoum
Yéngi Brunswik Ölkisi	New Brunswick
Britani Kolumbiye	British Columbia
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Newfoundland and Labrador
Gherbiy Shimal Rayoni	Northwest Territories
Yukon Rayoni	Yukon
Florénsa	Florence
Ésén	Essen
كومى	Komi Republic
Léypzig	Leipzig
Nyurnbérg	Nuremberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria, British Columbia
Winnipég	Winnipeg
Halifaks	Halifax, Nova Scotia
Kwébék Shehiri	Quebec City
ئېلېكترون	Electron
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Proton
Kurow	Kurów
Naplés	Naples
Braunshwéyg	Braunschweig
Madrid	Madrid
سۇ ئاستى كېمىسى	Submarine
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogotá
لىما	Lima
Santiyago	Santiago
كىتو	Quito
سۇكرې	Sucre
ئاسۇنسىئون	Asunción
Öçke	Goat
Héydélbérg	Heidelberg
كاتماندۇ	Kathmandu
سان خوسې (كوستارىكا)	San José, Costa Rica
سان سالۋادور	San Salvador
Kanbérra	Canberra
Sidnéy	Sydney
يېشىل رەڭ	Green
Mélburn	Melbourne
قىزىل رەڭ	Red
ماناگۇئا	Managua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Comet
ئالجىر	Algiers
تۇنىس شەھىرى	Tunis
ترىپولى	Tripoli
تېھران	Tehran
جاكارتا	Jakarta
Enqere	Ankara
رىياد	Riyadh
بېلگراد	Belgrade
ئادىگېيە	Adygea
پرايا	Praia
دەمەشىق	Damascus
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	French Guiana
لومې	Lomé
ئاممان	Amman
بېيرۇت	Beirut
مۇسكات	Muscat, Oman
نىكوسىيە	Nicosia
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Solar eclipse
كامپالا	Kampala
Mektep	School
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astrakhan
Tiktak top	Table tennis
Wikipedia:Sandbox	Wikipedia:Sandbox
قالماقىستان	Kalmykia
Osasko	Osasco
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Forest
بوغاز كۆۋرۈكى	Bosphorus Bridge
كۇڭزى	Confucius
كوربين بيلو	Corbin Bleu
Surat	Surat
ياۋرۇ	Euro
ئامېرىكا دولىرى	United States dollar
يەر ئوتتۇرا دېڭىزى	Mediterranean Sea
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Christianity
قېلىپ:ئاسىيا	Template:Countries of Asia
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adelaide
داغىستان	Dagestan
Monzón	Monzón
گۇجارات تىل	Gujarati language
پورتۇگال تىلى	Portuguese language
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Chechnya
كۋېچۇئا تىلى	Quechuan languages
ئىنگۇشېتىيە	Ingushetia
شىمالىي ئوسېتىيە	North Ossetia–Alania
كاباردىنو-بالقارىستان	Kabardino-Balkaria
ئالماس	Diamond
ياپون تىلى	Japanese language
Énsklopédiye	Encyclopedia
ئۇيغۇرچە ۋىكىپىدىيە	Main Page
Latex	LaTeX
كوندېنساتور	Capacitor
قاراچاي-چېركېسىيە	Karachay-Cherkessia
موردوۋىيە	Mordovia
ۋاسكېتبول	Basketball
چاڭجياڭ دەرياسى	Yangtze
ئۇدمۇرتىيە	Udmurtia
مارى	Mari El
ھىمالايا تاغ تىزمىسى	Himalayas
ئاند تاغلىرى	Andes
قىيىلىق تاغلار	Rocky Mountains
Kapétown	Cape Town
چۇۋاشىيە	Chuvashia
تەڭرىتاغ	Tian Shan
كاۋكاز تاغ تىزمىسى	Caucasus Mountains
تاتارىستان	Tatarstan
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Bashkortostan
Semerqend	Samarkand
Buxara	Bukhara
بېتلېخېم	Bethlehem
Andalusiye	Andalusia
كايمان تاقىم ئاراللىرى	Cayman Islands
Kordowa	Córdoba, Andalusia
شىئەن شەھىرى	Xi'an
كابۇل	Kabul
لاسا شەھىرى	Lhasa
غىلاپ	Vagina
تامىل تىلى	Tamil language
پەلسەپە	Philosophy
ئالەم ئايرۇپىلانى	Spaceflight
ئالتاي تاغ تىزمىسى	Altai Mountains
تۈر:Candidates for speedy deletion	Category:Candidates for speedy deletion
ئالتاي	Altai Republic
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland, Oregon
ئانارخىزم	Anarchism
لىبېرالىزىم	Liberalism
فاشىسىت	Fascism
مىللەتچىلىك	Nationalism
غەربىي ساھارا	Western Sahara
ھىلاري كلىنتون	Hillary Rodham Clinton
خاكاسىيە	Khakassia
Strasburg	Strasbourg
ياكۇتىيە	Sakha Republic
كرودىيە تىلى	Croatian language
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Buryatia
جامىس جويىس	James Joyce
كاتالان تىلى	Catalan language
Burχa	Buddhahood
دىنسىزلىق	Atheism
لى بەي	Li Bai
دۇنيا بانكىسى	World Bank
كونسېرۋاتىپ	Conservatism
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	NATO
نوبېل مۇكاپاتى	Nobel Prize
چىن شىخۇاڭ	Qin Shi Huang
خەن سۇلالىسى	Han dynasty
فېمىنىزم	Feminism
ئىدېئولوگىيە	Ideology
پەي توپ	Badminton
يۈەن سۇلالىسى	Yuan dynasty
كولۇمبو	Christopher Columbus
يەھۇدىلار	Jews
سېرىق دەريا	Yellow River
قۇلاق	Ear
بۇرۇن	Nose
كۆز	Eye
مۇسكۇل	Muscle
Töge	Camel
پىل	Elephant
چۈمۈلە	Ant
سۈي سۇلالىسى	Sui dynasty
گوللاندىيە تىلى	Dutch language
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Emperor Wen of Sui
دېئوكسىرىبونۇكلېئىك كىسلاتا	DNA
سۇڭ سۇلالىسى	Song dynasty
Çeyze	Eggplant
رۇس تىلى	Russian language
ساخالىن	Sakhalin
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	OPEC
خەلقئارا پۇل فوندى تەشكىلاتى	International Monetary Fund
دۇنيا سودا تەشكىلاتى	World Trade Organization
سۋاھىلىچە	Swahili language
توكيو ئۇنىۋېرستېتى	University of Tokyo
خەنزۇ تىلى	Chinese language
ئۆپكە	Lung
نەپەسلىنىش سىستېمى	Respiratory system
رۇمىنىيە تىلى	Romanian language
بۇلغارىيە تىلى	Bulgarian language
يەر تەۋرەش	Earthquake
ماگادان	Magadan
تەبىئىي پەن	Natural science
فرانكلىن روزۋېلت	Franklin D. Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicenna
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King Jr.
Yanardag	Volcano
ئىسسىق بەلباغ سىكلونى	Tropical cyclone
تېلۇگۇ تىلى	Telugu language
گرۇزىن تىلى	Georgian language
ئىقتىسادشۇناسلىق	Economics
يېن	Japanese yen
قىزىل تۈلكە	Red fox
ئىسكىرىپكا	Violin
چوڭ ئىسكىروپكا	Cello
ئىسكەندەر زۇلقەرنەيىن	Alexander the Great
ئۆمەر ئىبنى خەتتاب	Umar
ئامۇ دەرياسى	Amu Darya
سۈت	Milk
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hong Kong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Rio de Janeiro
سوغۇق ئۇرۇش	Cold War
شاڭخەي شەھىرى	Shanghai
Bilbaw	Bilbao
Séwéliye	Seville
چىڭ سۇلالىسى	Qing dynasty
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Albanian language
باسكى تىلى	Basque language
ئاراگون تىلى	Aragonese language
ئەرمەن تىلى	Armenian language
ئۇكرائىن تىلى	Ukrainian language
Walénsiye	Valencia
Malaga	Málaga
شۋېتسىيە تىلى	Swedish language
دانىش تىلى	Danish language
نورۋېگىيە تىلى	Norwegian language
ليۇكسېمبۇرگ تىلى	Luxembourgish language
چېخ تىلى	Czech language
سلوۋاك تىلى	Slovak language
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Slovene language
ماجار تىلى	Hungarian language
ۋولتىر	Voltaire
ئېستون تىلى	Estonian language
لاتۋىيە تىلى	Latvian language
لىتۋا تىلى	Lithuanian language
ھىندى دىنى	Hinduism
بېلورۇس تىل	Belarusian language
يېلىن	Breast
ئاتوم	Atom
گرېك تىلى	Greek language
ئرېلاندىيە تىلى	Irish language
مالتا تىلى	Maltese language
پارس تىلى	Persian language
ئىسلام	Religion
كورىيەچە	Korean language
Injilning birinchi tomi	Book of Genesis
كانتونچە	Cantonese
ئېكسودۇس	Book of Exodus
ۋيېتنام تىلى	Vietnamese language
كخمېر تىلى	Khmer language
لائوس تىلى	Lao language
تايلاندچە	Thai language
بىرما تىلى	Burmese language
مالاي تىلى	Malay language
ھىندونېزىيە تىلى	Indonesian language
موڭغۇل تىلى	Mongolian language
Baku	Baku
قازاق تىلى	Kazakh language
قىرغىز تىلى	Kyrgyz language
تاجىك تىلى	Tajik language
ئۆزبېك تىلى	Uzbek language
تۈركمەن تىلى	Turkmen language
يەھۇدى دىنى	Judaism
تىمپۇ	Thimphu
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Hebrew language
ئەزەربەيجان تىلى	Azerbaijani language
ماكېدون تىلى	Macedonian language
سېرب تىلى	Serbian language
سېربو-كرودىيىلىكلەر تىلى	Serbo-Croatian
بوسنىيە تىلى	Bosnian language
گالىسىيەچە	Galician language
ۋېلش تىلى	Welsh language
دىلى	Dili
شوتلاندىيە گائېل تىلى	Scottish Gaelic
Wyéntyan	Vientiane
مالې	Malé
Bishkek	Bishkek
Düshenbe	Dushanbe
جىگەر	Liver
تلا	Spleen
بۆرەك	Kidney
دوۋساق	Urinary bladder
نېرۋا سىستىمېسى	Nervous system
ئوكيانىيە	Ocean
مۇھەممەد ئەلەيھىسسالام	Muhammad
ئىمام ئەلغازالىي	Al-Ghazali
