Afrik	Africa
Vilnis	Vilnius
Moldavi	Moldova
Woumani	Romania
Bilgari	Bulgaria
Ròm	Rome
Repiblik d Masedoni	Republic of Macedonia
Albani	Albania
Kroasi	Croatia
Bosni ak Erzegovin	Bosnia and Herzegovina
Azerbaydjan	Azerbaijan
Andora	Andorra
Chip	Cyprus
Jeoji	Georgia (country)
Kazakstan	Kazakhstan
Malt	Malta
Monako (kapital)	Monaco
Montenegwo	Montenegro
Vatikan	Vatican City
Sen Maren (peyi)	San Marino
Briksèl	Brussels
Kiba	Cuba
Beliz	Belize
Lababad	Barbados
Java	Java (programming language)
Endonezi	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	South Africa
Aljeri	Algeria
Ouzbekistan	Uzbekistan
Tachkènt	Tashkent
Vasovi	Warsaw
Diven	Wine
Dlo	Water
Kwi	Leather
Bwa	Wood
Chili	Chile
Jezi	Jesus
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Mercury (planet)
Istwa	History
Apple	Apple Inc.
Venis (planèt)	Venus
Lang (pawòl)	Language
Galaksi	Galaxy
Jipitè (planèt)	Jupiter
Teyori big-bang	Big Bang
Iranis	Uranus
Neptin (planèt)	Neptune
Astwonomi	Astronomy
Sengapou (peyi)	Singapore
Syans	Science
Pliton	Pluto
Monreyal (komin)	Montreal
Avni	Future
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu (operating system)
Skopje	Skopje
Linux	Linux
Matematik	Mathematics
Barayn	Bahrain
Ameni	Armenia
Sèbi	Serbia
Lalin	Moon
Istanboul	Istanbul
Ostrali	Australia
Bob Marley	Bob Marley
Fizik	Physics
Ajantin	Argentina
Telekominikasyon	Telecommunication
Pewou	Peru
Biyoloji	Biology
Kore dinò	North Korea
Kanbòdj	Cambodia
Dinozò	Dinosaur
Islamis	Islam
Kurów (komin)	Gmina Kurów
Lyoubyana	Ljubljana
Etid plant	Botany
Rou	Wheel
Lapè	Peace
Lyon (vil)	Lyon
Inyon Ewopeyèn	European Union
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Fanm	Woman
Sofia	Sofia
Zanmi	Friendship
Anis (anatomi)	Anus
Sitron	Lemon
Bannann	Banana
666 (almanak jilyen)	666
Flè	Flower
Vil	City
Napoléon Bonaparte	Napoleon
Etwal	Star
Solèy	Sun
Syèl	Sky
Ane-limyè	Light-year
Victor Hugo	Victor Hugo
Oseyani	Oceania
Atletis	Athletics (sport)
Sistèm solè	Solar System
Idwojèn	Hydrogen
Elyòm	Helium
Dan	Human tooth
Lityòm	Lithium
Berilyòm	Beryllium
Liv (pou li)	Book
Jou (Tan)	Day
Timò oryantal	East Timor
Nwit	Night
Lane	Year
Syèk	Century
Oslo	Oslo
Twou nwa	Black hole
Lisbòn	Lisbon
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Carbon
Azòt	Nitrogen
Oksijèn	Oxygen
Planèt	Planet
Mizik	Music
Tèmomèt	Thermometer
Moskou	Moscow
Fliyò	Fluorine
Neyon	Neon
Saint-Pétersbourg	Saint Petersburg
Tchad	Chad
Sodyòm	Sodium
Nò	North
Manyezyòm	Magnesium
Aliminyòm	Aluminium
Nouvèl Zelann	New Zealand
Sid	South
End	India
Silisyòm	Silicon
Fransyòm	Francium
Touvalou	Tuvalu
Fosfò	Phosphorus
André-Marie Ampère	André-Marie Ampère
Fè	Iron
Tonga	Tonga
Lwès	West
Alessandro Volta	Alessandro Volta
Souf	Sulfur
Samoa	Samoa
Lès	East
Salomon	Solomon Islands
Vanwatou	Vanuatu
Molière	Molière
Klò	Chlorine
Papwazi-Nouvèl-Gine	Papua New Guinea
William Shakespeare	William Shakespeare
Palao	Palau
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Federated States of Micronesia
Potasyòm	Potassium
Kalsyòm	Calcium
Plon	Lead
Machal	Marshall Islands
Kiribès	Kiribati
Mongoli	Mongolia
Fidji	Fiji
Skandyòm	Scandium
Titàn	Titanium
Venezwela	Venezuela
Echèk	Chess
Vanadyòm	Vanadium
Mèn	Maine
Kwòm	Chromium
Cheval	Horse
Amstèdam	Amsterdam
Zam	Weapon
Zannimo	Animal
Sirinam	Suriname
Manganèz	Manganese
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Art
Ekwatè (peyi)	Ecuador
Kolonbi	Colombia
Nikèl	Nickel
Frèz	Fragaria
Boudis	Buddhism
Bolivi	Bolivia
Kwiv	Copper
Trinidad ak Tobago	Trinidad and Tobago
Plant	Plant
Sen Vensan ak Grenadin	Saint Vincent and the Grenadines
Zenk	Zinc
Nou Anpchi	New Hampshire
Sent Lisi	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Saint Kitts and Nevis
Chanpiyon	Fungus
Jamayik	Jamaica
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	The Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua and Barbuda
Awayi	Hawaii
Ondiras	Honduras
Dominik	Dominica
Dominikani	Dominican Republic
Kochon	Domestic pig
Aktik	Arctic Ocean
Ayiti	Haiti
Salvadò	El Salvador
Iran	Iran
Irak	Iraq
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israel
Panama (peyi)	Panama
Yemèn	Yemen
Viris	Virus
Jòdani	Jordan
Nikaragwa	Nicaragua
Florid	Florida
Kirgistan	Kyrgyzstan
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Lebanon
Oregon	Oregon
Maldiv	Maldives
Amerik	Americas
Youta	Utah
Malezi	Malaysia
Bimani	Burma
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Qatar
Tenis	Tennis
Arabi Sawoudit	Saudi Arabia
Srilanka	Sri Lanka
Siri	Syria
Platon	Plato
Galyòm	Gallium
Tadjikistan	Tajikistan
Jèmanyòm	Germanium
Aristotle	Aristotle
Tayilann	Thailand
Asenik	Arsenic
Tirkmenistan	Turkmenistan
Selenyòm	Selenium
Iridyòm	Iridium
Emira Arab Ini	United Arab Emirates
Bwòm	Bromine
Platin	Platinum
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	South Korea
Les Simpson	The Simpsons
Kripton	Krypton
Afganistan	Afghanistan
Lò	Gold
Bangladèch	Bangladesh
Mali	Mali
Angola	Angola
Boutan	Bhutan
Brouney	Brunei
Tanzani	Tanzania
Mèki (eleman chimik)	Mercury (element)
Filipin	Philippines
Repiblik santafrik	Central African Republic
Talyòm	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Strontium
Nakotik	Narcotic
Bismit	Bismuth
Jòn	Yellow
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunisia
John Bardeen	John Bardeen
Zanbi	Zambia
Zimbabwe	Zimbabwe
Peken	Beijing
Lis tout lis yo	List of lists of lists
Benen	Benin
Botswana	Botswana
Boukinafaso	Burkina Faso
Bouroundi	Burundi
Komò	Comoros
Kongo (Brazavil)	Republic of the Congo
Kongo (Kinchasa)	Democratic Republic of the Congo
San Antonio (Teksas)	San Antonio
Djibouti (peyi)	Djibouti
Polonyòm	Polonium
Gine ekwateryal	Equatorial Guinea
Eritre	Eritrea
Niou Deli	New Delhi
Tbilisi	Tbilisi
Andrei Dmitrievich Sakharov	Andrei Sakharov
Gabon	Gabon
Mohandas Karamchand Gandhi	Mahatma Gandhi
Ganbi	The Gambia
Gine	Guinea
Gine-Bisao	Guinea-Bissau
Kòt divwa	Ivory Coast
Kamewoun	Cameroon
Kap Vè	Cape Verde
Lezoto	Lesotho
Liberya	Liberia
Libi	Libya
Madagaskar	Madagascar
Malawi	Malawi
Moritani	Mauritania
Moris	Mauritius
Mawòk	Morocco
Mozanbik	Mozambique
Namibi	Namibia
Nijè	Niger
Nijerya	Nigeria
Ouganda	Uganda
Rwanda	Rwanda
Zikonyòm	Zirconium
Sen Tome ak Pwènsip	São Tomé and Príncipe
Senegal	Senegal
Sechèl	Seychelles
Syera Leòn	Sierra Leone
Somali	Somalia
Nyobyòm	Niobium
Julius Caesar	Julius Caesar
Soudan	Sudan
Swazilann	Swaziland
Lakansyèl	Rainbow
Tèknesyòm	Technetium
Metabolis	Metabolism
Evolisyon	Evolution
Aleksand Manzoni	Alessandro Manzoni
ONI	United Nations
Jewoloji	Geology
Jewografi	Geography
Kè	Heart
Sèvo	Brain
Po	Skin
Koulè	Color
Prag	Prague
Rodyòm	Rhodium
Ble (koulè)	Blue
Paladyòm	Palladium
Ajan (metal)	Silver
Kadmyòm	Cadmium
Endyòm	Indium
Eten	Tin
Iranyòm	Uranium
Antimwàn	Antimony
Plitonyòm	Plutonium
Yòd	Iodine
Neptinyòm	Neptunium
Sezyòm	Caesium
Baryòm	Barium
Toryòm	Thorium
Aktiniòm	Actinium
Tantal	Tantalum
Radyòm	Radium
Radon	Radon
Alzas	Alsace
Michigàn	Michigan
Pòtoriko	Puerto Rico
Usain Bolt	Usain Bolt
Ilinwa	Illinois
Dakota dinò	North Dakota
Dakota disid	South Dakota
Montana	Montana
Wayoming	Wyoming
Aydawo	Idaho
Wachintòn (eta)	Washington (state)
Nevada	Nevada
Endyen	Indian Ocean
Bòryòm	Bohrium
Asyòm	Hassium
Kolorado	Colorado
Jam	Fruit preserves
Kategori:Rasin	Category:Contents
Blaise Pascal	Blaise Pascal
Chikago	Chicago
The Beatles	The Beatles
Livè	Winter
Prentan	Spring (season)
Lete	Summer
Lotòn	Autumn
Ekinòks otòn	Equinox
Panyòl	Spanish language
Montevideo	Montevideo
Pittsburgh, Pennsilvani	Pittsburgh
Philadelphia, Pennsilvani	Philadelphia
Daka	Dhaka
Areye	Spider
Atwopòd	Arthropod
Islamabad	Islamabad
Fwi	Fruit
Makak	Monkey
Lajan	Money
Vijini	Virginia
Vijini de Lwès	West Virginia
Nou Yòk (eta)	New York
Seryòm	Cerium
Rod Aylann	Rhode Island
Neyodim	Neodymium
Ensèk	Insect
Merilann	Maryland
Delawè	Delaware
Lenine	Vladimir Lenin
Ewòpyòm	Europium
Owayo (eta)	Ohio
Pènsilvani	Pennsylvania
Uetersen	Uetersen
Nou Jèze	New Jersey
Indiana	Indiana
Machin	Car
Djòdji	Georgia (U.S. state)
Zagreb	Zagreb
Teksas	Texas
Karolin dinò	North Carolina
Karolin disid	South Carolina
Manyl	Manila
Bwènozè	Buenos Aires
Meksiko	Mexico City
Tokyo	Tokyo
La Paz	La Paz
Zannanna	Pineapple
Misisipi (eta)	Mississippi
Misisipi (rivyè)	Mississippi River
Tenèsi	Tennessee
Abou Dabi	Abu Dhabi
Astana	Astana
Nou Meksiko	New Mexico
Atèn	Athens
Minesota	Minnesota
Bagdad	Baghdad
Karakas	Caracas
Wiskonnsenn	Wisconsin
Ayowa	Iowa
Nebraska	Nebraska
Siwdad	Guatemala City
Kènsas	Kansas
La Avàn	Havana
Misouri (eta)	Missouri
Georg Ohm	Georg Ohm
Lwiziana	Louisiana
Luigi Galvani	Luigi Galvani
Kèntòki	Kentucky
Akennsas (eta)	Arkansas
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahoma
Volebòl	Volleyball
Vyèn	Vienna
Kopènag	Copenhagen
Stokolm	Stockholm
Èlzinki	Helsinki
Diblin	Dublin
Rèkyavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Boudapès	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt
Lantàn	Lanthanum
Samaryòm	Samarium
Gadolinyòm	Gadolinium
Liksanbou (kapital)	Luxembourg (city)
Vadouz	Vaduz
Bib	Bible
Sen Maren (kapital)	City of San Marino
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Vil	Ho Chi Minh City
Litesyòm	Lutetium
Anòy	Hanoi
Legliz de Vre Jezi	True Jesus Church
Angle	English language
Bangkok	Bangkok
Andò-la-Vyèy	Andorra la Vella
Kouala Loumpou	Kuala Lumpur
Taypè	Taipei
Amerisyòm	Americium
Dong Hoi	Đồng Hới
Concepción, Chili	Concepción, Chile
Bèkelyòm	Berkelium
Kalifònyòm	Californium
Achtaynyòm	Einsteinium
Fèmyòm	Fermium
Kyèv	Kiev
Nobèlyòm	Nobelium
Otawa	Ottawa
Erevàn	Yerevan
Końskowola	Końskowola
Kartoum	Khartoum
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Carbon dioxide
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Carbon monoxide
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Snake
1e janvye	January 1
2 janvye	January 2
1920 (almanak gregoryen)	1920
3 janvye	January 3
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	January 4
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	January 5
Arica	Arica
6 janvye	January 6
Elektwon	Electron
7 janvye	January 7
8 janvye	January 8
9 janvye	January 9
10 janvye	January 10
11 janvye	January 11
12 janvye	January 12
13 janvye	January 13
14 janvye	January 14
15 janvye	January 15
16 janvye	January 16
17 janvye	January 17
18 janvye	January 18
19 janvye	January 19
20 janvye	January 20
21 janvye	January 21
22 janvye	January 22
23 janvye	January 23
24 janvye	January 24
25 janvye	January 25
Minsk	Minsk
26 janvye	January 26
Microsoft	Microsoft
27 janvye	January 27
28 janvye	January 28
29 janvye	January 29
30 janvye	January 30
31 janvye	January 31
Pwoton	Proton
2 desanm	December 2
1e desanm	December 1
3 desanm	December 3
7 desanm	December 7
5 desanm	December 5
8 desanm	December 8
10 desanm	December 10
6 desanm	December 6
9 desanm	December 9
4 desanm	December 4
1e fevriye	February 1
2 fevriye	February 2
3 fevriye	February 3
Kurów (vil)	Kurów
4 fevriye	February 4
5 fevriye	February 5
6 fevriye	February 6
7 fevriye	February 7
8 fevriye	February 8
9 fevriye	February 9
10 fevriye	February 10
Chimi	Chemistry
14 fevriye	February 14
13 fevriye	February 13
15 fevriye	February 15
11 fevriye	February 11
12 fevriye	February 12
19 fevriye	February 19
17 fevriye	February 17
16 fevriye	February 16
18 fevriye	February 18
20 fevriye	February 20
Netwon	Neutron
21 fevriye	February 21
22 fevriye	February 22
23 fevriye	February 23
24 fevriye	February 24
25 fevriye	February 25
26 fevriye	February 26
27 (almanak jilyen)	27
27 fevriye	February 27
28 fevriye	February 28
11 desanm	December 11
29 fevriye	February 29
12 desanm	December 12
13 desanm	December 13
14 desanm	December 14
15 desanm	December 15
2 mas	March 2
3 mas	March 3
5 mas	March 5
1e mas	March 1
7 mas	March 7
8 mas	March 8
4 mas	March 4
10 mas	March 10
11 mas	March 11
6 mas	March 6
13 mas	March 13
9 mas	March 9
12 mas	March 12
15 mas	March 15
14 mas	March 14
16 desanm	December 16
17 desanm	December 17
16 mas	March 16
17 mas	March 17
18 mas	March 18
19 mas	March 19
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	March 20
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	March 21
1983 (almanak gregoryen)	1983
22 mas	March 22
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	December 18
1980 (almanak gregoryen)	1980
23 mas	March 23
Moukdicho	Mogadishu
19 desanm	December 19
24 mas	March 24
25 mas	March 25
20 desanm	December 20
26 mas	March 26
27 mas	March 27
28 mas	March 28
29 mas	March 29
30 mas	March 30
31 mas	March 31
Naso	Nassau, Bahamas
Sanaa	Sana'a
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Pope Benedict XVI
15 avril	April 15
13 avril	April 13
12 avril	April 12
14 avril	April 14
11 avril	April 11
10 avril	April 10
8 avril	April 8
9 avril	April 9
7 avril	April 7
6 avril	April 6
5 avril	April 5
4 avril	April 4
3 avril	April 3
1e avril	April 1
2 avril	April 2
16 avril	April 16
17 avril	April 17
18 avril	April 18
19 avril	April 19
20 avril	April 20
21 avril	April 21
22 avril	April 22
23 avril	April 23
24 avril	April 24
25 avril	April 25
26 avril	April 26
27 avril	April 27
28 avril	April 28
29 avril	April 29
30 avril	April 30
Satelit	Natural satellite
1e me	May 1
2 me	May 2
3 me	May 3
4 me	May 4
5 me	May 5
6 me	May 6
7 me	May 7
8 me	May 8
9 me	May 9
10 me	May 10
11 me	May 11
12 me	May 12
13 me	May 13
14 me	May 14
15 me	May 15
16 me	May 16
17 me	May 17
18 me	May 18
19 me	May 19
20 me	May 20
21 me	May 21
22 me	May 22
23 me	May 23
24 me	May 24
25 me	May 25
26 me	May 26
27 me	May 27
28 me	May 28
29 me	May 29
30 me	May 30
31 me	May 31
21 desanm	December 21
14 jen	June 14
15 jen	June 15
13 jen	June 13
10 jen	June 10
7 jen	June 7
11 jen	June 11
9 jen	June 9
12 jen	June 12
6 jen	June 6
8 jen	June 8
5 jen	June 5
3 jen	June 3
2 jen	June 2
1e jen	June 1
4 jen	June 4
22 desanm	December 22
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	June 16
30 jen	June 30
29 jen	June 29
28 jen	June 28
26 jen	June 26
25 jen	June 25
22 jen	June 22
27 jen	June 27
24 jen	June 24
20 jen	June 20
23 jen	June 23
19 jen	June 19
18 jen	June 18
21 jen	June 21
17 jen	June 17
23 desanm	December 23
15 jiyè	July 15
13 jiyè	July 13
12 jiyè	July 12
10 jiyè	July 10
9 jiyè	July 9
14 jiyè	July 14
8 jiyè	July 8
7 jiyè	July 7
6 jiyè	July 6
5 jiyè	July 5
2 jiyè	July 2
4 jiyè	July 4
3 jiyè	July 3
1e jiyè	July 1
11 jiyè	July 11
24 desanm	December 24
31 jiyè	July 31
30 jiyè	July 30
29 jiyè	July 29
28 jiyè	July 28
27 jiyè	July 27
25 jiyè	July 25
24 jiyè	July 24
23 jiyè	July 23
26 jiyè	July 26
22 jiyè	July 22
19 jiyè	July 19
21 jiyè	July 21
20 jiyè	July 20
17 jiyè	July 17
18 jiyè	July 18
16 jiyè	July 16
Foutbòl	Association football
25 desanm	December 25
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	December 26
1962 (almanak gregoryen)	1962
14 out	August 14
15 out	August 15
13 out	August 13
12 out	August 12
11 out	August 11
10 out	August 10
8 out	August 8
7 out	August 7
9 out	August 9
5 out	August 5
4 out	August 4
2 out	August 2
3 out	August 3
6 out	August 6
1e out	August 1
27 desanm	December 27
Madrid	Madrid
16 out	August 16
29 out	August 29
28 out	August 28
30 out	August 30
25 out	August 25
26 out	August 26
23 out	August 23
27 out	August 27
21 out	August 21
20 out	August 20
24 out	August 24
18 out	August 18
17 out	August 17
22 out	August 22
19 out	August 19
31 out	August 31
Michael Jackson	Michael Jackson
28 desanm	December 28
Bogota	Bogotá
Brazilia	Brasília
15 septanm	September 15
14 septanm	September 14
13 septanm	September 13
12 septanm	September 12
8 septanm	September 8
11 septanm	September 11
7 septanm	September 7
10 septanm	September 10
5 septanm	September 5
4 septanm	September 4
9 septanm	September 9
2 septanm	September 2
6 septanm	September 6
1e septanm	September 1
3 septanm	September 3
29 desanm	December 29
Lima	Lima
30 septanm	September 30
29 septanm	September 29
28 septanm	September 28
27 septanm	September 27
26 septanm	September 26
25 septanm	September 25
Santyago	Santiago
23 septanm	September 23
22 septanm	September 22
24 septanm	September 24
21 septanm	September 21
20 septanm	September 20
18 septanm	September 18
17 septanm	September 17
19 septanm	September 19
16 septanm	September 16
Kito	Quito
30 desanm	December 30
Sik	Sucre
31 desanm	December 31
1e oktòb	October 1
15 oktòb	October 15
12 oktòb	October 12
10 oktòb	October 10
14 oktòb	October 14
9 oktòb	October 9
8 oktòb	October 8
13 oktòb	October 13
7 oktòb	October 7
11 oktòb	October 11
6 oktòb	October 6
4 oktòb	October 4
5 oktòb	October 5
3 oktòb	October 3
2 oktòb	October 2
Asounsyòn	Asunción
Kabrit	Goat
Tibèf	Calf
31 oktòb	October 31
30 oktòb	October 30
29 oktòb	October 29
28 oktòb	October 28
26 oktòb	October 26
25 oktòb	October 25
24 oktòb	October 24
27 oktòb	October 27
22 oktòb	October 22
23 oktòb	October 23
20 oktòb	October 20
21 oktòb	October 21
19 oktòb	October 19
17 oktòb	October 17
16 oktòb	October 16
18 oktòb	October 18
15 novanm	November 15
14 novanm	November 14
13 novanm	November 13
12 novanm	November 12
11 novanm	November 11
10 novanm	November 10
7 novanm	November 7
8 novanm	November 8
9 novanm	November 9
6 novanm	November 6
5 novanm	November 5
4 novanm	November 4
3 novanm	November 3
2 novanm	November 2
1e novanm	November 1
Paramaribo	Paramaribo
Gason	Boy
30 novanm	November 30
29 novanm	November 29
28 novanm	November 28
27 novanm	November 27
26 novanm	November 26
25 novanm	November 25
23 novanm	November 23
24 novanm	November 24
21 novanm	November 21
20 novanm	November 20
22 novanm	November 22
19 novanm	November 19
18 novanm	November 18
17 novanm	November 17
16 novanm	November 16
Tifi	Girl
Katmandou	Kathmandu
Bèlmopan	Belmopan
San Jozé	San José, Costa Rica
San Salvadò	San Salvador
Kanbera	Canberra
Vèt	Green
Rouj	Red
Dife	Fire
Foton	Photon
Pozitwon	Positron
Tegousigoualpa	Tegucigalpa
Managoua	Managua
Panama (kapital)	Panama City
Titanya	Titania (moon)
Oberon	Oberon (moon)
Enbryèl	Umbriel (moon)
Aryèl	Ariel (moon)
Miranda	Miranda (moon)
Triton	Triton (moon)
Raba	Rabat
Komèt	Comet
Alje	Algiers
Tinis	Tunis
Tripoli	Tripoli
Djibouti (kapital)	Djibouti (city)
Angol	Angol
Antofagasta	Antofagasta
Teheran	Tehran
Adis-Abeba	Addis Ababa
Jakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
N'Djamèna	N'Djamena
Niamè	Niamey
Nouakchot	Nouakchott
Riyad	Riyadh
1961 (almanak gregoryen)	1961
Bamako	Bamako
Bèlgrad	Belgrade
Dakar	Dakar
Banjoul	Banjul
Konakri	Conakry
Biso	Bissau
Castro, Chili	Castro, Chile
Monrovia	Monrovia
1960 (almanak gregoryen)	1960
Akra	Accra
Chiguayante	Chiguayante
Damas	Damascus
Yamousoukro	Yamoussoukro
Giyàn franse	French Guiana
Chillán	Chillán
Ouagadougou	Ouagadougou
Fritonn	Freetown
Abouja	Abuja
Lome	Lomé
Pòto-Novo	Porto-Novo
Amàn	Amman
Yaounde	Yaoundé
Coyhaique	Coyhaique
Malabo	Malabo
Bewout	Beirut
Libvil	Libreville
Mascat	Muscat, Oman
Bangiy	Bangui
Kinchasa	Kinshasa
Brazavil	Brazzaville
Boujoumboura	Bujumbura
Nikozi	Nicosia
Kigali	Kigali
Doha	Doha
Astewoyid	Asteroid
Dodoma	Dodoma
Copiapó	Copiapó
Nayrobi	Nairobi
Coquimbo	Coquimbo
Coronel (Chili)	Coronel, Chile
Lilongwe	Lilongwe
Louzaka	Lusaka
Manama	Manama
Eklips solèy	Solar eclipse
Mapouto	Maputo
Kanpala	Kampala
Louanda	Luanda
Moroni	Moroni, Comoros
Mbabàn	Mbabane
Galisiya	Galicia (Spain)
Maserou	Maseru
Sistèm binè	Binary number
Lekòl	School
Antananarivo	Antananarivo
