非洲	Africa
1924年	1924
1月5號	January 5
1月6號	January 6
1月7號	January 7
1月8號	January 8
1月9號	January 9
1月10號	January 10
1月11號	January 11
1月12號	January 12
1月13號	January 13
1月14號	January 14
1月15號	January 15
1月16號	January 16
1月17號	January 17
1月18號	January 18
1月19號	January 19
1月20號	January 20
工業革命	Industrial Revolution
1月21號	January 21
1月22號	January 22
1月23號	January 23
羅馬帝國	Roman Empire
1月24號	January 24
1月25號	January 25
1月26號	January 26
微軟	Microsoft
1月27號	January 27
1月28號	January 28
1月29號	January 29
1月30號	January 30
1月31號	January 31
12月2號	December 2
12月1號	December 1
12月3號	December 3
12月7號	December 7
12月5號	December 5
12月8號	December 8
12月10號	December 10
12月6號	December 6
12月9號	December 9
12月4號	December 4
2月1號	February 1
2月2號	February 2
2月3號	February 3
庫魯夫市	Kurów
2月4號	February 4
2月5號	February 5
2月6號	February 6
2月7號	February 7
2月8號	February 8
2月9號	February 9
2月10號	February 10
化學	Chemistry
2月14號	February 14
2月13號	February 13
2月15號	February 15
2月11號	February 11
2月12號	February 12
2月19號	February 19
2月17號	February 17
2月16號	February 16
2月18號	February 18
2月20號	February 20
2月21號	February 21
2月22號	February 22
2月23號	February 23
2月24號	February 24
2月25號	February 25
2月26號	February 26
27年	27
2月27號	February 27
2月28號	February 28
12月11號	December 11
2月29號	February 29
12月12號	December 12
12月13號	December 13
12月14號	December 14
12月15號	December 15
3月2號	March 2
3月3號	March 3
3月5號	March 5
3月1號	March 1
3月7號	March 7
3月8號	March 8
3月4號	March 4
3月10號	March 10
3月11號	March 11
3月6號	March 6
3月13號	March 13
3月9號	March 9
3月12號	March 12
3月15號	March 15
3月14號	March 14
C++	C++
12月16號	December 16
12月17號	December 17
3月16號	March 16
3月17號	March 17
3月18號	March 18
3月19號	March 19
1989年	1989
1988年	1988
3月20號	March 20
1987年	1987
1986年	1986
1985年	1985
1984年	1984
3月21號	March 21
1983年	1983
3月22號	March 22
1982年	1982
1981年	1981
12月18號	December 18
1980年	1980
3月23號	March 23
12月19號	December 19
3月24號	March 24
3月25號	March 25
12月20號	December 20
3月26號	March 26
3月27號	March 27
3月28號	March 28
3月29號	March 29
3月30號	March 30
3月31號	March 31
1970年	1970
1971年	1971
1972年	1972
1973年	1973
1974年	1974
1975年	1975
1976年	1976
1977年	1977
1978年	1978
1979年	1979
1969年	1969
4月15號	April 15
4月13號	April 13
4月12號	April 12
4月14號	April 14
4月11號	April 11
4月10號	April 10
4月8號	April 8
4月9號	April 9
4月7號	April 7
4月6號	April 6
4月5號	April 5
4月4號	April 4
4月3號	April 3
4月1號	April 1
4月2號	April 2
夏寶太空望遠鏡	Hubble Space Telescope
4月16號	April 16
4月17號	April 17
4月18號	April 18
4月19號	April 19
4月20號	April 20
4月21號	April 21
4月22號	April 22
4月23號	April 23
4月24號	April 24
4月25號	April 25
4月26號	April 26
4月27號	April 27
4月28號	April 28
4月29號	April 29
4月30號	April 30
天然衛星	Natural satellite
5月1號	May 1
5月2號	May 2
5月3號	May 3
5月4號	May 4
5月5號	May 5
5月6號	May 6
5月7號	May 7
5月8號	May 8
5月9號	May 9
5月10號	May 10
5月11號	May 11
5月12號	May 12
5月13號	May 13
5月14號	May 14
5月15號	May 15
5月16號	May 16
5月17號	May 17
5月18號	May 18
5月19號	May 19
5月20號	May 20
5月21號	May 21
5月22號	May 22
5月23號	May 23
5月24號	May 24
5月25號	May 25
5月26號	May 26
5月27號	May 27
5月28號	May 28
5月29號	May 29
5月30號	May 30
5月31號	May 31
12月21號	December 21
6月14號	June 14
6月15號	June 15
6月13號	June 13
6月10號	June 10
6月7號	June 7
6月11號	June 11
6月9號	June 9
6月12號	June 12
6月6號	June 6
6月8號	June 8
6月5號	June 5
6月3號	June 3
6月2號	June 2
6月1號	June 1
6月4號	June 4
12月22號	December 22
1968年	1968
1967年	1967
1966年	1966
1965年	1965
1964年	1964
6月16號	June 16
6月30號	June 30
6月29號	June 29
6月28號	June 28
6月26號	June 26
6月25號	June 25
6月22號	June 22
6月27號	June 27
6月24號	June 24
6月20號	June 20
6月23號	June 23
6月19號	June 19
6月18號	June 18
6月21號	June 21
6月17號	June 17
12月23號	December 23
7月15號	July 15
7月13號	July 13
7月12號	July 12
7月10號	July 10
7月9號	July 9
7月14號	July 14
7月8號	July 8
7月7號	July 7
7月6號	July 6
7月5號	July 5
7月2號	July 2
7月4號	July 4
7月3號	July 3
7月1號	July 1
7月11號	July 11
12月24號	December 24
7月31號	July 31
7月30號	July 30
7月29號	July 29
7月28號	July 28
7月27號	July 27
7月25號	July 25
7月24號	July 24
7月23號	July 23
7月26號	July 26
7月22號	July 22
7月19號	July 19
7月21號	July 21
7月20號	July 20
7月17號	July 17
7月18號	July 18
7月16號	July 16
腳球	Association football
音樂劇	Musical theatre
12月25號	December 25
1963年	1963
12月26號	December 26
1962年	1962
8月14號	August 14
8月15號	August 15
8月13號	August 13
8月12號	August 12
8月11號	August 11
8月10號	August 10
8月8號	August 8
8月7號	August 7
8月9號	August 9
8月5號	August 5
8月4號	August 4
8月2號	August 2
8月3號	August 3
8月6號	August 6
8月1號	August 1
12月27號	December 27
潛水艇	Submarine
8月16號	August 16
8月29號	August 29
8月28號	August 28
8月30號	August 30
8月25號	August 25
8月26號	August 26
8月23號	August 23
8月27號	August 27
8月21號	August 21
8月20號	August 20
8月24號	August 24
8月18號	August 18
8月17號	August 17
8月22號	August 22
8月19號	August 19
8月31號	August 31
麥可·傑克遜	Michael Jackson
12月28號	December 28
9月15號	September 15
9月14號	September 14
9月13號	September 13
9月12號	September 12
9月8號	September 8
9月11號	September 11
9月7號	September 7
9月10號	September 10
9月5號	September 5
9月4號	September 4
9月9號	September 9
9月2號	September 2
9月6號	September 6
9月1號	September 1
9月3號	September 3
12月29號	December 29
9月30號	September 30
9月29號	September 29
9月28號	September 28
9月27號	September 27
9月26號	September 26
9月25號	September 25
9月23號	September 23
9月22號	September 22
9月24號	September 24
9月21號	September 21
9月20號	September 20
9月18號	September 18
9月17號	September 17
9月19號	September 19
9月16號	September 16
12月30號	December 30
12月31號	December 31
10月1號	October 1
10月15號	October 15
10月12號	October 12
10月10號	October 10
10月14號	October 14
10月9號	October 9
10月8號	October 8
10月13號	October 13
10月7號	October 7
10月11號	October 11
10月6號	October 6
10月4號	October 4
10月5號	October 5
10月3號	October 3
10月2號	October 2
10月31號	October 31
10月30號	October 30
10月29號	October 29
10月28號	October 28
10月26號	October 26
10月25號	October 25
10月24號	October 24
10月27號	October 27
10月22號	October 22
10月23號	October 23
10月20號	October 20
10月21號	October 21
10月19號	October 19
10月17號	October 17
10月16號	October 16
10月18號	October 18
11月15號	November 15
11月14號	November 14
11月13號	November 13
11月12號	November 12
11月11號	November 11
11月10號	November 10
11月7號	November 7
11月8號	November 8
11月9號	November 9
11月6號	November 6
11月5號	November 5
11月4號	November 4
11月3號	November 3
11月2號	November 2
11月1號	November 1
男仔子	Boy
11月30號	November 30
11月29號	November 29
11月28號	November 28
11月27號	November 27
11月26號	November 26
11月25號	November 25
11月23號	November 23
11月24號	November 24
11月21號	November 21
11月20號	November 20
11月22號	November 22
11月19號	November 19
11月18號	November 18
11月17號	November 17
11月16號	November 16
女仔子	Girl
沙利門大帝	Charlemagne
紅色	Red
火	Fire
尼羅河	Nile
1961年	1961
1960年	1960
亞馬孫河	Amazon River
天狗喫日頭	Solar eclipse
大學	University
Wikipedia:沙盤	Wikipedia:Sandbox
屋	House
代數	Algebra
地圖	Map
江	River
俄舍斯科	Osasco
同海機場	Dong Hoi Airport
太空	Outer space
望遠鏡	Telescope
森林	Forest
分類:1888年	Category:1888
濟酋余化盧	Zichyújfalu
分類:1481年過世	Category:1481 deaths
分類:1421年出世	Category:1421 births
分類:1421年	Category:1421
分類:1481年	Category:1481
孔子	Confucius
科賓·布魯	Corbin Bleu
分類:數學	Category:Mathematics
分類:1888年出世	Category:1888 births
1488年	1488
歐元	Euro
美金	United States dollar
地中海	Mediterranean Sea
基督教	Christianity
1004年	1004
西雅圖	Seattle
禾	Rice
大洲	Continent
葡萄牙語	Portuguese language
慕斯他化·克麥·阿塔突	Mustafa Kemal Atatürk
1948年	1948
1949年	1949
黄现璠	Huang Xianfan
1956年	1956
1200年	1200
1201年	1201
1202年	1202
1203年	1203
1204年	1204
1205年	1205
1206年	1206
1941年	1941
1207年	1207
1208年	1208
1945年	1945
1209年	1209
1210年	1210
1211年	1211
1958年	1958
1212年	1212
1926年	1926
1213年	1213
1947年	1947
1944年	1944
1952年	1952
日语	Japanese language
百科全書	Encyclopedia
封面	Main Page
1959年	1959
1957年	1957
電容	Capacitor
晶體管	Transistor
1214年	1214
1215年	1215
1216年	1216
1217年	1217
1218年	1218
1219年	1219
1220年	1220
1221年	1221
1222年	1222
1223年	1223
1224年	1224
1225年	1225
1226年	1226
1227年	1227
1228年	1228
1229年	1229
1230年	1230
長江	Yangtze
1231年	1231
1232年	1232
1233年	1233
1234年	1234
1235年	1235
1236年	1236
1237年	1237
1238年	1238
1239年	1239
1240年	1240
1241年	1241
1242年	1242
1243年	1243
1244年	1244
1245年	1245
1246年	1246
喜馬拉雅山脈	Himalayas
安底斯山脈	Andes
1247年	1247
1248年	1248
裡海	Caspian Sea
1249年	1249
1250年	1250
1251年	1251
1252年	1252
1254年	1254
1255年	1255
1256年	1256
1257年	1257
1258年	1258
1259年	1259
1260年	1260
1261年	1261
1262年	1262
1263年	1263
1264年	1264
1265年	1265
1266年	1266
1267年	1267
1268年	1268
1269年	1269
1270年	1270
1271年	1271
1272年	1272
1273年	1273
1274年	1274
1275年	1275
1276年	1276
1277年	1277
1278年	1278
1279年	1279
1280年	1280
1281年	1281
1282年	1282
1283年	1283
1284年	1284
1285年	1285
1286年	1286
1287年	1287
1288年	1288
1289年	1289
1290年	1290
1291年	1291
1292年	1292
1293年	1293
1294年	1294
1295年	1295
1296年	1296
1297年	1297
1298年	1298
1299年	1299
答利	Salvador Dalí
梵高	Vincent van Gogh
葛飾北齋	Hokusai
米開朗琪羅	Michelangelo
畢加索	Pablo Picasso
藍郎特	Rembrandt
1300年	1300
1301年	1301
1302年	1302
1303年	1303
1304年	1304
1305年	1305
安徒生	Hans Christian Andersen
拜倫	Lord Byron
塞萬提斯	Miguel de Cervantes
1306年	1306
1307年	1307
1308年	1308
1309年	1309
1310年	1310
1311年	1311
1312年	1312
1313年	1313
1314年	1314
1315年	1315
1316年	1316
1317年	1317
1318年	1318
1319年	1319
1320年	1320
1321年	1321
1322年	1322
1323年	1323
1324年	1324
1325年	1325
1326年	1326
1327年	1327
1328年	1328
麥加	Mecca
毛澤東	Mao Zedong
西安	Xi'an
被服	Blanket
歌德	Johann Wolfgang von Goethe
屄	Vagina
V·禍·魂得他	V for Vendetta (film)
哲學	Philosophy
1329年	1329
分類:快速刪吥	Category:Candidates for speedy deletion
1330年	1330
1331年	1331
1332年	1332
1333年	1333
1334年	1334
1335年	1335
1336年	1336
1337年	1337
1338年	1338
1339年	1339
1340年	1340
1341年	1341
1342年	1342
1343年	1343
1344年	1344
1345年	1345
1346年	1346
1347年	1347
1348年	1348
1349年	1349
1350年	1350
茶	Tea
馬可·波羅	Marco Polo
1351年	1351
波特蘭 (奧勒岡州)	Portland, Oregon
1400年	1400
1401年	1401
1352年	1352
1402年	1402
1353年	1353
1403年	1403
1354年	1354
1404年	1404
1355年	1355
1405年	1405
1500年	1500
1406年	1406
1356年	1356
1501年	1501
1407年	1407
1357年	1357
1502年	1502
1408年	1408
1358年	1358
1503年	1503
1359年	1359
1409年	1409
1504年	1504
1360年	1360
1410年	1410
1505年	1505
1506年	1506
1411年	1411
1361年	1361
1507年	1507
1412年	1412
1362年	1362
1413年	1413
1508年	1508
1363年	1363
1509年	1509
1414年	1414
1510年	1510
1415年	1415
1364年	1364
共產主義	Communism
1511年	1511
1416年	1416
1365年	1365
1512年	1512
1417年	1417
1366年	1366
1513年	1513
1418年	1418
1367年	1367
1514年	1514
1419年	1419
資本主義	Capitalism
1368年	1368
1515年	1515
1420年	1420
1369年	1369
1516年	1516
1421年	1421
1370年	1370
1371年	1371
國家	Country
1372年	1372
1373年	1373
1422年	1422
1517年	1517
1423年	1423
1518年	1518
1374年	1374
1424年	1424
1375年	1375
1519年	1519
1376年	1376
1425年	1425
1520年	1520
1521年	1521
1377年	1377
1426年	1426
1522年	1522
1523年	1523
1427年	1427
1378年	1378
1524年	1524
1525年	1525
1428年	1428
1379年	1379
1526年	1526
1429年	1429
1380年	1380
1381年	1381
1382年	1382
1383年	1383
1430年	1430
1431年	1431
印第安納波利斯	Indianapolis
1384年	1384
1432年	1432
1385年	1385
1386年	1386
1433年	1433
1387年	1387
1434年	1434
1435年	1435
1388年	1388
1436年	1436
1389年	1389
1437年	1437
1390年	1390
1438年	1438
1391年	1391
1439年	1439
1392年	1392
1440年	1440
1393年	1393
1394年	1394
1395年	1395
1441年	1441
1396年	1396
1397年	1397
1442年	1442
1527年	1527
1528年	1528
1398年	1398
1443年	1443
1444年	1444
1529年	1529
1399年	1399
1445年	1445
1530年	1530
1446年	1446
1531年	1531
1447年	1447
1532年	1532
1448年	1448
蒙彼利埃	Montpellier
1533年	1533
1449年	1449
1534年	1534
1450年	1450
1535年	1535
1451年	1451
1536年	1536
1452年	1452
1537年	1537
1453年	1453
1538年	1538
1454年	1454
1539年	1539
1455年	1455
1540年	1540
睗著嗰惠尼根	Finnegans Wake
分類:天文	Category:Astronomy
尤利西斯	Ulysses (novel)
1541年	1541
1456年	1456
1457年	1457
1542年	1542
1458年	1458
1543年	1543
1459年	1459
1544年	1544
1460年	1460
1545年	1545
1461年	1461
1546年	1546
1462年	1462
1547年	1547
1463年	1463
1548年	1548
1464年	1464
1549年	1549
1465年	1465
1550年	1550
1466年	1466
1551年	1551
1467年	1467
1468年	1468
1552年	1552
1469年	1469
1553年	1553
1470年	1470
1554年	1554
1471年	1471
1555年	1555
撒哈拉沙漠	Sahara
1472年	1472
1556年	1556
1473年	1473
1557年	1557
1474年	1474
1558年	1558
1475年	1475
1559年	1559
1476年	1476
1560年	1560
1477年	1477
1478年	1478
1561年	1561
1479年	1479
1562年	1562
1480年	1480
1563年	1563
1481年	1481
1564年	1564
1482年	1482
1565年	1565
1483年	1483
1566年	1566
1484年	1484
1567年	1567
1485年	1485
1486年	1486
1568年	1568
1487年	1487
1569年	1569
1570年	1570
1489年	1489
1571年	1571
1490年	1490
1572年	1572
1491年	1491
1573年	1573
1492年	1492
1574年	1574
1493年	1493
1575年	1575
荷馬	Homer
1494年	1494
1495年	1495
1496年	1496
1576年	1576
1497年	1497
1577年	1577
1498年	1498
1578年	1578
1499年	1499
1579年	1579
1580年	1580
1581年	1581
1582年	1582
1600年	1600
高斯	Carl Friedrich Gauss
1601年	1601
1583年	1583
1602年	1602
1584年	1584
1603年	1603
1585年	1585
1604年	1604
1586年	1586
1605年	1605
1587年	1587
1606年	1606
1607年	1607
1588年	1588
1608年	1608
1589年	1589
1609年	1609
1590年	1590
1610年	1610
1591年	1591
1611年	1611
1592年	1592
1612年	1612
1593年	1593
1613年	1613
1594年	1594
1614年	1614
1595年	1595
1615年	1615
1596年	1596
1616年	1616
1597年	1597
1617年	1617
1598年	1598
1618年	1618
1599年	1599
1619年	1619
1620年	1620
1621年	1621
1700年	1700
1701年	1701
1622年	1622
1623年	1623
1702年	1702
1624年	1624
1703年	1703
1704年	1704
1625年	1625
1705年	1705
1626年	1626
1627年	1627
1706年	1706
1628年	1628
1707年	1707
1708年	1708
1629年	1629
1630年	1630
1709年	1709
1631年	1631
1710年	1710
1632年	1632
1711年	1711
1633年	1633
1712年	1712
1634年	1634
1713年	1713
1800年	1800
1801年	1801
1714年	1714
1635年	1635
詹姆斯·喬伊斯	James Joyce
1802年	1802
1715年	1715
1636年	1636
1803年	1803
1637年	1637
1716年	1716
1638年	1638
1804年	1804
1717年	1717
1639年	1639
1805年	1805
1718年	1718
1640年	1640
1719年	1719
1806年	1806
1641年	1641
1720年	1720
1807年	1807
1642年	1642
1721年	1721
1808年	1808
1643年	1643
1722年	1722
1809年	1809
1644年	1644
1723年	1723
1810年	1810
1645年	1645
1724年	1724
20世紀	20th century
1811年	1811
1646年	1646
1725年	1725
1812年	1812
1647年	1647
1726年	1726
1813年	1813
21世紀	21st century
1648年	1648
1727年	1727
1814年	1814
1649年	1649
1728年	1728
1815年	1815
1650年	1650
1729年	1729
1816年	1816
19世紀	19th century
1651年	1651
1730年	1730
1817年	1817
1652年	1652
1731年	1731
1818年	1818
1653年	1653
1732年	1732
1819年	1819
1654年	1654
1733年	1733
1820年	1820
1655年	1655
1821年	1821
1734年	1734
1656年	1656
1822年	1822
1735年	1735
1657年	1657
1823年	1823
1736年	1736
1658年	1658
1737年	1737
1824年	1824
1659年	1659
1738年	1738
1825年	1825
1660年	1660
1739年	1739
1826年	1826
1661年	1661
1740年	1740
1827年	1827
18世紀	18th century
17世紀	17th century
16世紀	16th century
15世紀	15th century
14世紀	14th century
13世紀	13th century
12世紀	12th century
11世紀	11th century
享樂主義	Hedonism
李白	Li Bai
圖書館	Library
唯物主義	Materialism
玻爾	Niels Bohr
意識	Consciousness
生物技術	Biotechnology
秦	Qin dynasty
北大西洋公約組織	NATO
居里夫人	Marie Curie
諾貝爾獎	Nobel Prize
秦始皇	Qin Shi Huang
中東	Middle East
伊麗莎白一世	Elizabeth I of England
漢	Han dynasty
劉徹	Emperor Wu of Han
聖女貞德	Joan of Arc
所霍利茲	Sophocles
托爾斯泰	Leo Tolstoy
圖靈	Alan Turing
馬克思主義	Marxism
凍嘴	Kiss
元	Yuan dynasty
伊戈·式査溫斯基	Igor Stravinsky
朱澤魄·渥帝	Giuseppe Verdi
拿可·卡帖	Jacques Cartier
哥倫布	Christopher Columbus
庫克船長	James Cook
伊本·巴杜他	Ibn Battuta
鄭和	Zheng He
大堡礁	Great Barrier Reef
巴拿馬運河	Panama Canal
晉	Jin dynasty (265–420)
南冰洋	Southern Ocean
司馬熾	Emperor Huai of Jin
耳刀	Ear
鼻公	Nose
眼睛	Eye
羊	Sheep
象	Elephant
隋	Sui dynasty
李純祐 (西夏)	Emperor Huanzong of Western Xia
宋	Song dynasty
忽必烈	Kublai Khan
娘	Mother
雪	Snow
爺	Father
細伢子	Child
1828年	1828
1829年	1829
1741年	1741
1662年	1662
1742年	1742
1830年	1830
1663年	1663
1831年	1831
1743年	1743
1664年	1664
1665年	1665
1744年	1744
1832年	1832
1666年	1666
1745年	1745
1833年	1833
1667年	1667
1746年	1746
運輸	Transport
1834年	1834
1668年	1668
1747年	1747
1835年	1835
1748年	1748
1836年	1836
1669年	1669
歐拉	Leonhard Euler
1670年	1670
1749年	1749
1837年	1837
1671年	1671
1750年	1750
1838年	1838
1672年	1672
1751年	1751
1839年	1839
1673年	1673
1752年	1752
1840年	1840
1674年	1674
1753年	1753
1841年	1841
1754年	1754
1675年	1675
1842年	1842
1755年	1755
1676年	1676
1843年	1843
1677年	1677
1756年	1756
1844年	1844
1678年	1678
1757年	1757
1845年	1845
1679年	1679
1758年	1758
1846年	1846
1680年	1680
1759年	1759
1847年	1847
1681年	1681
1760年	1760
1848年	1848
1682年	1682
1761年	1761
1849年	1849
1683年	1683
1762年	1762
1850年	1850
1684年	1684
1763年	1763
1851年	1851
1764年	1764
1685年	1685
1852年	1852
1686年	1686
1765年	1765
1853年	1853
1687年	1687
1766年	1766
1854年	1854
1688年	1688
1767年	1767
1855年	1855
1689年	1689
1768年	1768
1856年	1856
1690年	1690
1769年	1769
1857年	1857
1691年	1691
1770年	1770
1858年	1858
1692年	1692
1771年	1771
1859年	1859
1693年	1693
1772年	1772
1860年	1860
1773年	1773
1861年	1861
1694年	1694
1695年	1695
1774年	1774
1862年	1862
1696年	1696
1775年	1775
1863年	1863
1697年	1697
1776年	1776
1864年	1864
1698年	1698
1865年	1865
1777年	1777
1699年	1699
1866年	1866
1778年	1778
1779年	1779
1867年	1867
1780年	1780
1868年	1868
1781年	1781
1869年	1869
紐約地鐵	New York City Subway
俄語	Russian language
1782年	1782
1870年	1870
屋裡	Home
1783年	1783
1871年	1871
弗拉基米尔·弗拉基米罗维奇·普京	Vladimir Putin
1784年	1784
1872年	1872
數學分析	Mathematical analysis
1785年	1785
1873年	1873
1786年	1786
1874年	1874
1787年	1787
1875年	1875
1788年	1788
1876年	1876
1789年	1789
1877年	1877
1790年	1790
1878年	1878
1879年	1879
1791年	1791
歐洲嗰歷史	History of Europe
麵包	Bread
1792年	1792
1880年	1880
1793年	1793
1881年	1881
1794年	1794
1882年	1882
1795年	1795
1883年	1883
1796年	1796
1884年	1884
1797年	1797
1885年	1885
1886年	1886
1798年	1798
1887年	1887
1799年	1799
1888年	1888
1889年	1889
1890年	1890
1891年	1891
1892年	1892
1893年	1893
1894年	1894
1895年	1895
1896年	1896
1897年	1897
1898年	1898
漢語	Chinese language
1899年	1899
白開水	Drinking water
雨	Rain
地震	Earthquake
真理	Truth
伊本·西那	Avicenna
邱吉爾	Winston Churchill
馬丁·路德·金	Martin Luther King Jr.
10世紀	10th century
水澇	Flood
海嘯	Tsunami
火山	Volcano
邏輯學	Logic
9世紀	9th century
三角學	Trigonometry
