Afrika	Africa
Beliże	Belize
Torri Eiffel	Eiffel Tower
Barbados	Barbados
Volkswagen	Volkswagen
Indoneżja	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrika t'Isfel	South Africa
Alġerija	Algeria
Wikisors	Wikisource
Varsavja	Warsaw
Festival tal-Eurovision	Eurovision Song Contest
Injam	Wood
Pornografija	Pornography
Ċili	Chile
Ġesù	Jesus
Galileo Galilei	Galileo Galilei
Merkurju (pjaneta)	Mercury (planet)
Storja	History
Venere (pjaneta)	Venus
Imħabba	Love
Ġove (pjaneta)	Jupiter
Triq ta' Sant'Anna	Milky Way
Uranu (pjaneta)	Uranus
Nettunu (pjaneta)	Neptune
Astronomija	Astronomy
Singapor	Singapore
Xjenza	Science
Liechtenstein	Liechtenstein
Sport	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
L-Ewwel Gwerra Dinjija	World War I
It-Tieni Gwerra Dinjija	World War II
Wikotba	Wikibooks
Wikikwota	Wikiquote
Wikiversità	Wikiversity
Skopje	Skopje
Szczecin	Szczecin
Matematika	Mathematics
Lingwa Latina	Latin
Baħrejn	Bahrain
Armenja	Armenia
Serbja	Serbia
Qamar	Moon
Awstralja	Australia
Arġentina	Argentina
Perù	Peru
Bijoloġija	Biology
Kambodja	Cambodia
Faxxa ta' Kuiper	Kuiper belt
Koran	Quran
Dinosawru	Dinosaur
Iżlam	Islam
Ljubljana	Ljubljana
Unjoni Ewropea	European Union
Plovdiv	Plovdiv
Mara	Woman
Poeżija	Poetry
Lumija	Lemon
Émile Zola	Émile Zola
Napuljun I ta' Franza	Napoleon
Vesuvju	Mount Vesuvius
Xemx	Sun
Sena dawl	Light-year
Oċeanja	Oceania
Sistema Solari	Solar System
Idroġenu	Hydrogen
Wikimedia Commons	Wikimedia Commons
Lejl	Night
Oslo	Oslo
Katowice	Katowice
Toqba sewda	Black hole
Lionel Messi	Lionel Messi
Karbonju	Carbon
Ażotu	Nitrogen
Ossiġenu	Oxygen
Inter Milan	Inter Milan
Pjaneta	Planet
Kleopatra VII	Cleopatra
Mużika	Music
Moska	Moscow
Lingwa Taljana	Italian language
Ċad	Chad
New Zealand	New Zealand
Indja	India
Tuvalu	Tuvalu
Ħadid	Iron
Tonga	Tonga
Samoa	Samoa
Gżejjer Solomon	Solomon Islands
Vanwatu	Vanuatu
Molière	Molière
Papwa Gwinea l-Ġdida	Papua New Guinea
William Shakespeare	William Shakespeare
Nawru	Nauru
Kiribati	Kiribati
Fiġi	Fiji
Veneżwela	Venezuela
Genghis Khan	Genghis Khan
Żiemel	Horse
Annimal	Animal
Surinam	Suriname
Paragwaj	Paraguay
Gujana	Guyana
Arti	Art
Ekwador	Ecuador
Kolombja	Colombia
Buddiżmu	Buddhism
Bolivja	Bolivia
Trinidad u Tobago	Trinidad and Tobago
Saint Vincent u l-Grenadini	Saint Vincent and the Grenadines
Santa Luċija	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts u Nevis	Saint Kitts and Nevis
Ġamajka	Jamaica
Grenada	Grenada
Gwatemala	Guatemala
Baħamas	The Bahamas
Antigwa u Barbuda	Antigua and Barbuda
Ħonduras	Honduras
Dominika	Dominica
Repubblika Dominikana	Dominican Republic
Ħaiti	Haiti
El Salvador	El Salvador
Iran	Iran
Iraq	Iraq
Kosta Rika	Costa Rica
Iżrael	Israel
Panama	Panama
Jemen	Yemen
Lingwa pollakka	Polish language
Ġordan	Jordan
Nikaragwa	Nicaragua
Libanu	Lebanon
Maldive	Maldives
Malażja	Malaysia
Burma	Burma
Pakistan	Pakistan
Qatar	Qatar
Arabja Sawdija	Saudi Arabia
Sri Lanka	Sri Lanka
Josif Stalin	Joseph Stalin
YouTube	YouTube
Aristotli	Aristotle
Emirati Għarab Magħquda	United Arab Emirates
Vjetnam	Vietnam
Korea t'Isfel	South Korea
Afganistan	Afghanistan
Bangladexx	Bangladesh
Mali	Mali
Angola	Angola
Butan	Bhutan
Brunej	Brunei
Tanżanija	Tanzania
Repubblika Ċentru-Afrikana	Central African Republic
Isaac Newton	Isaac Newton
Isfar	Yellow
Mekkanika kwantistika	Quantum mechanics
Togo	Togo
Tuneżija	Tunisia
Żambja	Zambia
Żimbabwe	Zimbabwe
Sudan t'Isfel	South Sudan
Benin	Benin
Botswana	Botswana
Wikiħbarijiet	Wikinews
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoros	Comoros
Repubblika tal-Kongo	Republic of the Congo
Repubblika Demokratika tal-Kongo	Democratic Republic of the Congo
Ġibuti	Djibouti
Bavarja	Bavaria
Ginea Ekwatorjali	Equatorial Guinea
Eritrea	Eritrea
Papa Ġwanni Pawlu II	Pope John Paul II
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Gambja	The Gambia
Ginea	Guinea
Ginea Bissaw	Guinea-Bissau
Kosta tal-Avorju	Ivory Coast
Kamerun	Cameroon
Kap Verde	Cape Verde
Lesoto	Lesotho
Liberja	Liberia
Libja	Libya
Madagaskar	Madagascar
Malawi	Malawi
Mawritanja	Mauritania
Mawrizju	Mauritius
Marokk	Morocco
Możambik	Mozambique
Namibja	Namibia
Niġer	Niger
Niġerja	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
São Tomé u Príncipe	São Tomé and Príncipe
Senegal	Senegal
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Somalja	Somalia
Sudan	Sudan
Sważiland	Swaziland
Amburgu	Hamburg
Evoluzzjoni	Evolution
Ġnus Magħquda	United Nations
Dante Alighieri	Dante Alighieri
Ġeografija	Geography
Qalb	Heart
Praga	Prague
Ikħal	Blue
Limburgu (Belġju)	Limburg (Belgium)
Fjandri tal-Punent	West Flanders
Fjandri tal-Lvant	East Flanders
Antwerp (provinċja)	Antwerp (province)
Brabant Fjamming	Flemish Brabant
Merkurju (mitoloġija)	Mercury (mythology)
Hector Berlioz	Hector Berlioz
Giorgio Napolitano	Giorgio Napolitano
Francesco Cossiga	Francesco Cossiga
Oċean Indjan	Indian Ocean
Kosovo	Kosovo
Frédéric Chopin	Frédéric Chopin
Kategorija:Prinċipali	Category:Contents
Dortmund	Dortmund
The Beatles	The Beatles
Osama Bin Laden	Osama bin Laden
Lingwa Spanjola	Spanish language
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Brimba	Spider
Virġilju	Virgil
Uetersen	Uetersen
Karozza	Car
Żagreb	Zagreb
Sqallija	Sicily
Maurits Cornelis Escher	M. C. Escher
Buenos Aires	Buenos Aires
Belt tal-Messiku	Mexico City
Tokjo	Tokyo
Barċellona	Barcelona
Ateni	Athens
AC Milan	A.C. Milan
Ħavana	Havana
Édith Piaf	Édith Piaf
Kopenħagen	Copenhagen
Stokkolma	Stockholm
Ħelsinki	Helsinki
Dublin	Dublin
Rejkjavik	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Gdańsk	Gdańsk
Lussemburgu (belt)	Luxembourg (city)
Bibbja	Bible
Ho Chi Minh (belt)	Ho Chi Minh City
Knisja Vera ta' Ġesù	True Jesus Church
Dong Hoi	Đồng Hới
Concepción (Ċili)	Concepción, Chile
Atalanta BC	Atalanta B.C.
Bolonja	Bologna
Bologna FC 1909	Bologna F.C. 1909
Cagliari	Cagliari
Kiev	Kiev
Cagliari Calcio	Cagliari Calcio
Karim Benzema	Karim Benzema
Patrice Evra	Patrice Evra
Końskowola	Końskowola
2014	2014
2015	2015
2007	2007
ACF Fiorentina	ACF Fiorentina
Serp	Snake
1 ta' Jannar	January 1
2 ta' Jannar	January 2
Rivoluzzjoni Industrijali	Industrial Revolution
Imperu Ruman	Roman Empire
Minsk	Minsk
Microsoft	Microsoft
8 ta' Diċembru	December 8
Kurów	Kurów
Kimika	Chemistry
19 ta' Marzu	March 19
Papa Benedittu XVI	Pope Benedict XVI
Papa Piju XII	Pope Pius XII
Watford FC	Watford F.C.
Futbol	Association football
L-Olokawst	The Holocaust
Madrid	Madrid
Michael Jackson	Michael Jackson
5 ta' Settembru	September 5
4 ta' Settembru	September 4
Santiago (Ċili)	Santiago
25 ta' Ottubru	October 15
5 ta' Novembru	November 5
22 ta' Novembru	November 22
Aħdar	Green
Aħmar	Red
Lourdes	Lourdes
Rabat (Marokk)	Rabat
Kometa	Comet
Belgrad	Belgrade
Kategorija:Mudelli	Category:Wikipedia templates
George Sand	George Sand
Nikosija	Nicosia
Asterojde	Asteroid
Manama	Manama
Eklissi solari	Solar eclipse
Wikipedija:Paġna tal-provi	Wikipedia:Sandbox
Nettunu (mitoloġija)	Neptune (mythology)
Alġebra	Algebra
Ajruport Dong Hoi	Dong Hoi Airport
Miley Cyrus	Miley Cyrus
Curitiba	Curitiba
Pangea	Pangaea
Kategorija:1888	Category:1888
Pika Alpina	Alpine pika
Konfuċju	Confucius
Corbin Bleu	Corbin Bleu
Kategorija:Matematika	Category:Mathematics
Gżejjer Faroe	Faroe Islands
Mudell:Dati pajjiż Iran	Template:Country data Iran
Ġove (mitoloġija)	Jupiter (mythology)
Sherlock Holmes	Sherlock Holmes
Rinaxximent	The Renaissance
Kategorija:Twieldu fl-1888	Category:1888 births
Ewro	Euro
Baħar Mediterran	Mediterranean Sea
Kristjaneżmu	Christianity
Mudell:Favur	Template:Agree
Għasfur	Bird
Belt kapitali	Capital city
Monzón	Monzón
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Mudell:Portal	Template:Portal
Huang Xianfan	Huang Xianfan
Bill Gates	Bill Gates
Struttura .NET	.NET Framework
Enċiklopedija	Encyclopedia
Il-Paġna prinċipali	Main Page
Baskitbol	Basketball
Francisco Goya	Francisco Goya
Albrecht Dürer	Albrecht Dürer
Frida Kahlo	Frida Kahlo
Mikelanġlu	Michelangelo
Miguel de Cervantes	Miguel de Cervantes
Charles Dickens	Charles Dickens
Mekka	Mecca
Che Guevara	Che Guevara
Mao Zedong	Mao Zedong
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Filosofija	Philosophy
Jimi Hendrix	Jimi Hendrix
Kategorija:Proposti għat-tħassir minnufih	Category:Candidates for speedy deletion
Hebe Camargo	Hebe Camargo
Komuniżmu	Communism
Saħara tal-Punent	Western Sahara
Pajjiż	Country
Kartaġni	Carthage
Kategorija:Astronomija	Category:Astronomy
UTC−3:30	UTC−03:30
Søren Kierkegaard	Søren Kierkegaard
Bolzano	Bolzano
Rivoluzzjoni Franċiża	French Revolution
Saħara	Sahara
Strażburgu	Strasbourg
Lingwa Kroata	Croatian language
UTC+1	UTC+01:00
Omeru	Homer
UTC+2	UTC+02:00
UTC+3	UTC+03:00
Lena Meyer-Landrut	Lena Meyer-Landrut
Seklu XVII	17th century
Ateiżmu	Atheism
Ekoloġija	Ecology
FC Barcelona	FC Barcelona
Marie Curie	Marie Curie
Premju Nobel	Nobel Prize
Alan Turing	Alan Turing
Ideoloġija	Ideology
Ada Lovelace	Ada Lovelace
Franz Schubert	Franz Schubert
Igor' Stravinskij	Igor Stravinsky
Pëtr Il'ič Čajkovskij	Pyotr Ilyich Tchaikovsky
Giuseppe Verdi	Giuseppe Verdi
Kristofru Kolombu	Christopher Columbus
Nagħġa	Sheep
Mammiferu	Mammal
Naħla	Bee
Speċi	Species
Tifel	Child
Napuljun III	Napoleon III
Vladimir Putin	Vladimir Putin
Analisi matematika	Mathematical analysis
Commonwealth tan-Nazzjonijiet	Commonwealth of Nations
Organizzazzjoni Dinjija tas-Saħħa	World Health Organization
Demm	Blood
Pulmun	Lung
Casablanca	Casablanca
Xjenza Naturali	Natural science
Santu Wistin	Augustine of Hippo
Nelson Mandela	Nelson Mandela
Martin Luther King Jr.	Martin Luther King Jr.
Ġeometrija	Geometry
Atmosfera	Atmosphere
Kategorija:Bulgarija	Category:Bulgaria
Kategorija:Franza	Category:France
Kategorija:Mużika	Category:Music
Elf Lejla u Lejla	One Thousand and One Nights
Kategorija:Letteratura	Category:Literature
Ilijade	Iliad
Alessandru Manju	Alexander the Great
Edukazzjoni	Education
Hugo Chávez	Hugo Chávez
Raġel	Man
Otto von Bismarck	Otto von Bismarck
Abort	Abortion
Skjavitù	Slavery
Logħob Olimpiku tas-sajf 2008	2008 Summer Olympics
US Sassuolo Calcio	U.S. Sassuolo Calcio
Logħob Olimpiku tas-sajf 2016	2016 Summer Olympics
Gwerra Ċivili Amerikana	American Civil War
Imperu Brittaniku	British Empire
Real Madrid CF	Real Madrid C.F.
Sivilja	Seville
Rivoluzzjoni Russa	Russian Revolution
Arkimede	Archimedes
Thomas Edison	Thomas Edison
Ewklide	Euclid
Bit	Bit
Parlament Ewropew	European Parliament
Kostellazzjoni	Constellation
Karl Marx	Karl Marx
Voltaire	Voltaire
Ħinduiżmu	Hinduism
Erwin Schrödinger	Erwin Schrödinger
Lingwa Maltija	Maltese language
Reliġjon	Religion
René Descartes	René Descartes
Pawlu minn Tarsu	Paul the Apostle
Immanuel Kant	Immanuel Kant
Guy de Maupassant	Guy de Maupassant
Friedrich Nietzsche	Friedrich Nietzsche
Fwied	Liver
Kilwa	Kidney
Fenek	Rabbit
Psikoloġija	Psychology
Gautama Buddha	Gautama Buddha
Premier League	Premier League
Muħammed	Muhammad
Probabbiltà	Probability
Martin Luteru	Martin Luther
Xigħa	Shia Islam
Knisja Kattolika	Catholic Church
Chelsea FC	Chelsea F.C.
Arsenal FC	Arsenal F.C.
Sistema diġestiva	Human gastrointestinal tract
Logħob Olimpiku tax-xitwa 2010	2010 Winter Olympics
Reġina Eliżabetta II	Elizabeth II
Alfabett	Alphabet
Ronald Reagan	Ronald Reagan
Francisco Varallo	Francisco Varallo
Festival tal-Eurovision 2005	Eurovision Song Contest 2005
Festival tal-Eurovision 2006	Eurovision Song Contest 2006
Festival tal-Eurovision 2007	Eurovision Song Contest 2007
Festival tal-Eurovision 2008	Eurovision Song Contest 2008
Festival tal-Eurovision 2009	Eurovision Song Contest 2009
Festival tal-Eurovision 2010	Eurovision Song Contest 2010
Festival tal-Eurovision 2011	Eurovision Song Contest 2011
Festival tal-Eurovision 2012	Eurovision Song Contest 2012
Festival tal-Eurovision 2013	Eurovision Song Contest 2013
Main-Spessart	Main-Spessart
Catherine Middleton	Catherine, Duchess of Cambridge
David Beckham	David Beckham
Ryan Giggs	Ryan Giggs
Frankonja t'Isfel	Lower Franconia
Tom Cleverley	Tom Cleverley
Ben Foster	Ben Foster (footballer)
Ashley Young	Ashley Young
Kim Jong-il	Kim Jong-il
Kategorija:Veneżwela	Category:Venezuela
Belfast	Belfast
Tavla perjodika	Periodic table
Tórshavn	Tórshavn
Manuel Almunia	Manuel Almunia
Attakki tal-11 ta' Settembru	September 11 attacks
Chordata	Chordate
Kultura	Culture
Trattat ta' Maastricht	Maastricht Treaty
Mediċina	Medicine
Sarajevo	Sarajevo
Ekwazzjoni differenzjali	Differential equation
Kategorija:Brażil	Category:Brazil
Kategorija:Rumanija	Category:Romania
Element kimiku	Chemical element
Funzjonijiet (matematika)	Function (mathematics)
Kimika organika	Organic chemistry
Mekkanika klassika	Classical mechanics
Klassifikazzjoni bijoloġika	Biological classification
Arti marzjali	Martial arts
Rota	Bicycle
Relatività ristretta	Special relativity
Ħġieġ	Glass
Karta	Paper
Kilogramm	Kilogram
Cristiano Ronaldo	Cristiano Ronaldo
Metru	Metre
Pittura	Painting
Skultura	Sculpture
Żfin	Dance
Pajjiżi tad-dinja	List of sovereign states
Preistorja	Prehistory
Silvio Berlusconi	Silvio Berlusconi
Eric Saade	Eric Saade
4′33″	4′33″
Kolera	Cholera
Skerma	Fencing
Sfera ċelesti	Celestial sphere
Malarja	Malaria
AIDS	HIV/AIDS
Tuberkulożi	Tuberculosis
Inna	Inna
Mona Lisa	Mona Lisa
Teorija tan-numri	Number theory
Kileb	Corbel
Biżantini	Byzantine Empire
Kruċjata	Crusades
Imperu Ottoman	Ottoman Empire
Malgrat de Mar	Malgrat de Mar
Stephan El Shaarawy	Stephan El Shaarawy
Mirtilla	Blueberry
Lampuna	Raspberry
Tuta tal-għollieq	Blackberry
Kurgan (belt)	Kurgan, Kurgan Oblast
Trapani	Trapani
Wikispeċi	Wikispecies
Lingwa Għarbija	Arabic language
Jum ir-Ringrazzjament	Thanksgiving
Lingwa Oċċitanija	Occitan language
Lingwa tas-Sinjali Amerikana	American Sign Language
Kategorija:Provinċji tal-Italja	Provinces of Italy
Alkoħoliżmu	Alcoholism
FC Bayern Munich	FC Bayern Munich
Serie A	Serie A
Queen	Queen (band)
Provinċja ta' Agrigento	Province of Agrigento
Provinċja ta' Bergamo	Province of Bergamo
Provinċja ta' Kaltanissetta	Province of Caltanissetta
Provinċja ta' Lodi	Province of Lodi
Wikipedija:Vetrina	Wikipedia:Featured articles
Dinja	World
Wikipedija:Pjazza	Wikipedia:Village pump
Takson	Taxon
Papa Pawlu VI	Pope Paul VI
Etna	Mount Etna
Clube de Regatas do Flamengo	Clube de Regatas do Flamengo
Gerard Piqué	Gerard Piqué
San Lawrenz	Lawrence of Rome
Martin Schulz	Martin Schulz
KAA Gent	K.A.A. Gent
Mudell Standard	Standard Model
Teorija ta' kollox	Theory of everything
Tamworth FC	Tamworth F.C.
Mafja	Mafia
Manchester United FC	Manchester United F.C.
Aston Villa FC	Aston Villa F.C.
West Ham United FC	West Ham United F.C.
UEFA Champions League	UEFA Champions League
UEFA Europa League	UEFA Europa League
Fenek tal-istrixxi ta' Sumatra	Sumatran striped rabbit
Tazza tad-Dinja tal-Futbol	FIFA World Cup
Daniel Parejo Muñoz	Daniel Parejo
Blackburn Rovers FC	Blackburn Rovers F.C.
Wolverhampton Wanderers FC	Wolverhampton Wanderers F.C.
Rafael Correa	Rafael Correa
R. Charleroi SC	R. Charleroi S.C.
FC Twente	FC Twente
Motorhead	Motörhead
Milied	Christmas
Lingwi Romaniċi	Romance languages
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Indoewropew	Indo-European languages
Muammar al-Gaddafi	Muammar Gaddafi
Francesco Totti	Francesco Totti
Chișinău	Chișinău
Soċjoloġija	Sociology
Şalom	Şalom
Didelphidae	Opossum
Caenolestidae	Shrew opossum
Trojja	Troy
The Pirate Bay	The Pirate Bay
Kampjonati Ewropej tal-Futbol 2012	UEFA Euro 2012
Dasyuridae	Dasyuridae
Audi	Audi
Abkażja	Abkhazia
Antropoloġija	Anthropology
Baħar l-Aħmar	Red Sea
Octave Mirbeau	Octave Mirbeau
Abjad	White
Iswed	Black
Lordi	Lordi
Lingwa uffiċjali	Official language
Provinċja ta' Quảng Bình	Quảng Bình Province
Entrena	Entrena
Mérida (Veneżwela)	Mérida, Mérida
Benito Mussolini	Benito Mussolini
LOST (Serje televiżiva)	Lost (TV series)
Ġebla tal-ġir	Limestone
Valletta	Valletta
Papa Ġwanni XXIII	Pope John XXIII
Benetice (Světlá nad Sázavou)	Benetice (Světlá nad Sázavou)
Prixtina	Pristina
Curaçao	Curaçao
Coccinellidae	Coccinellidae
Metatheria	Marsupial
Pangolin	Pangolin
Lagomorpha	Lagomorpha
Baqra tal-baħar	Sirenia
Eutheria	Placentalia
Fenek Ewropew	European rabbit
Leporidae	Leporidae
Imperu Kushan	Kushan Empire
Qlugħ	Sail
Klaas-Jan Huntelaar	Klaas-Jan Huntelaar
Proboscidea	Proboscidea
Università Niccolò Cusano	Università degli Studi Niccolò Cusano
FK Radnik Bijeljina	FK Radnik Bijeljina
Fażijiet lunari	Lunar phase
Fariżej	Pharisees
M'Baye Niang	M'Baye Niang
Liebru Ewropew	European hare
Lepisma saccharina	Silverfish
Membru tal-Parlament Ewropew	Member of the European Parliament
Laurasiatheria	Laurasiatheria
Afrotheria	Afrotheria
Ewropa t'Isfel	Southern Europe
Ewropa Ċentrali	Central Europe
Lingwa tas-Sinjali Adamorobe	Adamorobe Sign Language
Kristadelfjani	Christadelphians
Tim nazzjonali tal-futbol tal-Eġittu	Egypt national football team
Maja	Maya civilization
Chow Chow	Chow Chow
FC Kuban Krasnodar	FC Kuban Krasnodar
Derivata	Derivative
Kwalifikazzjoni għall-Kampjonati Ewropej tal-Futbol 2008	UEFA Euro 2008 qualifying
Chris Smalling	Chris Smalling
Jonny Evans	Jonny Evans
Lingwa tas-Sinjali Awstraljana	Auslan
Michael Carrick	Michael Carrick
Multilingwiżmu	Multilingualism
Lingwa Sileżjana	Silesian language
Avril Lavigne	Avril Lavigne
Mikhail Gorbachev	Mikhail Gorbachev
Slogan	Slogan
Madre Tereża ta' Kalkutta	Mother Teresa
UEFA Champions League 2013–14	2013–14 UEFA Champions League
Rudolf Clausius	Rudolf Clausius
Auguste Rodin	Auguste Rodin
Blogg	Blog
Oscar Wilde	Oscar Wilde
Krakovja	Kraków
Thylacinidae	Thylacinidae
Malala Yousafzai	Malala Yousafzai
Carlos Alonso González	Santillana (footballer)
Marsa FC	Marsa F.C.
Valery Leontiev	Valery Leontiev
Lingwa tas-Sinjali Finlandiża	Finnish Sign Language
Lingwa tas-Sinjali Franċiża	French Sign Language
Mużew	Museum
Du Fu	Du Fu
Popolazzjoni	Population
Arċipelagu	Archipelago
Lingwa Sqallija	Sicilian language
Valparaíso	Valparaíso
Nju	Niue
Tim nazzjonali tal-futbol tal-Iskozja	Scotland national football team
Lingwa Leoniża	Leonese dialect
Żews	Zeus
Lingwa tas-Sinjali	Sign language
Astroloġija	Astrology
Mošovce	Mošovce
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Boris Yeltsin	Boris Yeltsin
Hirohito	Hirohito
Baħar Eġew	Aegean Sea
J.K. Rowling	J. K. Rowling
Hiroshima	Hiroshima
Mitoloġija Griega	Greek mythology
Ġeneru (tassonomija)	Genus
Xjenzi soċjali	Social science
Lista ta' kodiċi telefoniċi	List of country calling codes
Lista ta' bliet kapitali	List of national capitals in alphabetical order
Noemi (kantanta)	Noemi (singer)
Sit elettroniku	Website
Odissea	Odyssey
Lingwa Ido	Ido (language)
Etimoloġija	Etymology
Nikita Krushchev	Nikita Khrushchev
Kia Motors	Kia Motors
Familja (bijoloġija)	Family (biology)
UEFA	UEFA
Arthur Conan Doyle	Arthur Conan Doyle
Sport Club Corinthians Paulista	Sport Club Corinthians Paulista
Lingwa Kopta	Coptic language
Folklor	Folklore
Siligo	Siligo
Mark Zuckerberg	Mark Zuckerberg
Lingwa tas-Sinjali Newzealander	New Zealand Sign Language
Neolitiku	Neolithic
Katerina II tar-Russja	Catherine the Great
Guglielmo Marconi	Guglielmo Marconi
Ordni (bijoloġija)	Order (biology)
Cork	Cork (city)
Renju (bijoloġija)	Kingdom (biology)
Novial	Novial
Aung San Suu Kyi	Aung San Suu Kyi
Kompożitur	Composer
Influwenza tal-majjali	Swine influenza
Serbja u Montenegro	Serbia and Montenegro
Romantiċiżmu	Romanticism
It-Trinita' Mqaddsa	Trinity
Faragħun	Pharaoh
Mariupol	Mariupol
Tazza tad-Dinja tal-Futbol 2006	2006 FIFA World Cup
Klaus Ebner	Klaus Ebner
Klassi (bijoloġija)	Class (biology)
Campora San Giovanni	Campora San Giovanni
Bălţi	Bălți
Auckland Grammar School	Auckland Grammar School
Bolla postali	Postage stamp
Era (mitoloġija)	Hera
Premju Nobel għall-Fiżika	Nobel Prize in Physics
Enya	Enya
Phylum	Phylum
Enriku VIII tal-Ingilterra	Henry VIII of England
São Paulo FC	São Paulo FC
Kelb tal-Fenek	Pharaoh Hound
Baħar Tirren	Tyrrhenian Sea
Leeds	Leeds
NK Čelik Zenica	NK Čelik Zenica
Surrealiżmu	Surrealism
San Ġwann (Malta)	San Ġwann
Ħaż-Żabbar	Żabbar
Mosta	Mosta
Tas-Sliema	Sliema
Ħal Qormi	Qormi
Birkirkara	Birkirkara
Radio Studio 54 Network	Radio Studio 54 Network
Lamantin tal-Karibew	West Indian manatee
Atti ta' l-Appostli	Acts of the Apostles
Żodjaku	Zodiac
Paulínia	Paulínia
Il-100 ktieb tas-seklu skont Le Monde	Le Monde's 100 Books of the Century
Fonoloġija	Phonology
Kim Il-sung	Kim Il-sung
Jan Vermeer	Johannes Vermeer
Borussia Dortmund	Borussia Dortmund
Għenba tax-xewk	Gooseberry
Michel de Montaigne	Michel de Montaigne
Golf ta' Biskaja	Bay of Biscay
Sorċid	Shrew
Feniċi	Phoenicia
Akille	Achilles
Gramma	Gram
.mt	.mt
Michelangelo Merisi da Caravaggio	Caravaggio
Tim nazzjonali tal-futbol ta' Spanja	Spain national football team
Martin Weinek	Martin Weinek
Björk	Björk
H. G. Wells	H. G. Wells
Tumas More	Thomas More
Fernando Torres	Fernando Torres
Lamantin	Manatee
Baħar Liguri	Ligurian Sea
Dima Bilan	Dima Bilan
Lega Anżejatika	Hanseatic League
Fażi eliminatorja tal-Kampjonati Ewropej tal-Futbol 2008	UEFA Euro 2008 knockout phase
Kubiżmu	Cubism
Qawwiet tal-Assi tat-Tieni Gwerra Dinjija	Axis powers
Wikipedija:Mistoqsijiet rikorrenti	Wikipedia:FAQ
Għar ta' Thien Duong	Thiên Đường Cave
Arg-é Bam	Arg-é Bam
Tim nazzjonali tal-futbol tal-Ġermanja	Germany national football team
Gustave Flaubert	Gustave Flaubert
San Mattew	Matthew the Apostle
Sant'Ambroġju	Ambrose
Ġwanni Kriżostmu	John Chrysostom
Papa Piju X	Pope Pius X
Papa Ljun XIII	Pope Leo XIII
Rasputin	Grigori Rasputin
San Girgor Nażjanżenu	Gregory of Nazianzus
