អាហ្វ្រិក	Africa
ធ្វិតថឺរ	Twitter
ប៊្រុយណេ	Brunei
ហ្វីលីពីន	Philippines
អ៊ីសាក់ ញូតុន	Isaac Newton
OpenStreetMap	OpenStreetMap
អាល់បឺត អែងស្តែង	Albert Einstein
ប្រទេសហ្សំប៊ី	Zambia
ប៉េកាំង	Beijing
មហាត្មះគន្ធី	Mahatma Gandhi
ឆាលែស ដាវីន	Charles Darwin
ជូលីស៍ សេសារ	Julius Caesar
ឥន្ទធនូ	Rainbow
អង្គការសហប្រជាជាតិ	United Nations
ភូមិវិទ្យា	Geography
ទីក្រុងប្រាក	Prague
បន្ទុកអគ្គីសនី	Electric charge
ខេត្តជើងភ្នំ (ប្រទេសអ៊ីតាលី)	Piedmont
មហាសមុទ្រឥណ្ឌា	Indian Ocean
អូសាម៉ា ប៊ីន ឡាឌែន	Osama bin Laden
ភាសាអេស្ប៉ាញ	Spanish language
ភីឡាដេលផ្យា	Philadelphia
ញូវយ៉ក	New York
វ្លាឌីមៀរ អ៊ីលីច លេនីន	Vladimir Lenin
អូហ្គុសទុស	Augustus
លោកកៃយុសសេសារ	Caligula
ត្រាហ្សាន	Trajan
Kde	KDE
កូរ៉ាស៊ូន អាគីណូ	Corazon Aquino
ទីក្រុងតូខ្យូ	Tokyo
ហ្វឺឌីណាន់ដ៏ ម៉ាហ្សេឡង់	Ferdinand Magellan
ស៊ីសេរ៉ូ	Cicero
ភ្នំពេញ	Phnom Penh
ទីក្រុងព្រៃនគរ	Ho Chi Minh City
ទីក្រុងហានូយ	Hanoi
គ្រិស្តសាសនា	True Jesus Church
ភាសាអង់គ្លេស	English language
គូឡាឡាំពួ	Kuala Lumpur
២០០១	2001
JavaScript	JavaScript
HTML5	HTML5
ល្បឿនពន្លឺ	Speed of light
JPEG	JPEG
អេឡិចត្រុង	Electron
ចក្រភព រ៉ូម	Roman Empire
Microsoft	Microsoft
គីមីវិទ្យា	Chemistry
ស៊ីទ្រុងជ្រូក	C Sharp (programming language)
បេណេឌីកទី១៦	Pope Benedict XVI
៧ កក្កដា	July 7
បាល់ទាត់	Association football
ទីក្រុងបូកូតា	Bogotá
ថ្ងៃទី៣១ខែធ្នូ	December 31
រិសថា	4 Vesta
ស៊ីដនីយ៏	Sydney
ភ្លើង	Fire
ខ្យល់	Atmosphere of Earth
កោះស៊ូម៉ាត្រា	Sumatra
ចាការតា	Jakarta
ចំណាត់ថ្នាក់ក្រុម:Wikipedia templates	Category:Wikipedia templates
កោះជ្វា	Java
ចំណាត់ថ្នាក់ក្រុម:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូវិគីភីឌា	Category:Wikipedia template categories
កាលីម៉ាន់តាន់	Kalimantan
ខេត្តបន្ទាយមានជ័យ	Banteay Meanchey Province
វិគីភីឌា:ប្រអប់ខ្សាច់	Wikipedia:Sandbox
អាកាសយានដ្ឋាន ដុង ហ៊យ	Dong Hoi Airport
អាន់ ហ្វ្រែង	Anne Frank
ខុង ជឺ	Confucius
ម៉ារីលីន ម៉ុនរ៉ូ	Marilyn Monroe
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទ្យា	Category:Mathematics
ទំព័រគំរូ:ទិន្នន័យប្រទេស អ៊ីរ៉ង់	Template:Country data Iran
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្ត្រខ្មែរ	Category:History of Cambodia
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្រ្តសិង្ហបុរី	Category:History of Singapore
សមុទ្រ មេឌីទែរ៉ានេ	Mediterranean Sea
វីនដូអេច	Windows 8
ទំព័រគំរូ:ប្រទេសនៅទ្វីបអាស៊ី	Template:Countries of Asia
ទំព័រគំរូ:Agree	Template:Agree
ទន្លេហ្គារ៉ូន	Garonne
ស៊ីតថល	Seattle
ជញ្ជាំង ប៊ែរឡាំង	Berlin Wall
ស្រូវ	Rice
ទំព័រគំរូ:Lang-tr	Template:Lang-tr
ទំព័រគំរូ:ផតថល	Template:Portal
ទំព័រគំរូ:តំបន់នៃពិភពលោក	Template:Regions of the world
ប៊ីល ហ្គេត	Bill Gates
ភាសាជប៉ុន	Japanese language
ប្រជុំវីជ្ជា	Encyclopedia
ឌីវីឌី	DVD
ទំព័រដើម	Main Page
Central processing unit	Central processing unit
រេស៊ីស្ទ័រ	Resistor
កីឡាអូឡាំពិក	Olympic Games
សមុទ្រ កាសព្យែន	Caspian Sea
ឈី ហ្គីវ៉ារ៉ា	Che Guevara
ទីក្រុងកាបូល	Kabul
ហ្គ្រាប្រីអ៊ែល ហ្រ្គារ៉ាស្សៀ ម៉ារ៉ាហ្គេស	Gabriel García Márquez
ទស្សនវិជ្ជា	Philosophy
ចំណាត់ថ្នាក់ក្រុម:លុប	Category:Candidates for speedy deletion
លិទ្ធិកុម្មុយនិស្ត	Communism
ហ៊ីលឡារី រូដហេម គ្លីនតុន	Hillary Rodham Clinton
Boeing 737	Boeing 737
អាហារនៅប្រទេសបារំាង និង របៀបធ្វើ	French cuisine
មណ្ឌលម៉ាញេតូ	Magnetosphere
UTC+7	UTC+07:00
ភាសាកាតាឡាន	Catalan language
បណ្ណាល័យ	Library
នីល ហេនរីក ដេវីដ ប៊័រ	Niels Bohr
និវេសនវិទ្យា	Ecology
ក្លឹបបាល់ទាត់បារសេឡូណា	FC Barcelona
នយោបាយ	Politics
ធនាគារពិភពលោក	World Bank
ប្រជាធិបតេយ្យ	Democracy
អង្គការសន្ធិសញ្ញាអាត្លង់ទិកខាងជើង	NATO
ម៉ារី ស្កូដូស្កា គុយរី	Marie Curie
រង្វាន់ណូបែល	Nobel Prize
មជ្ឈិមបូព៌ា	Middle East
រាជវង្សហាន	Han dynasty
ប្រទេស	State (polity)
គ្រឹស្តុបផើ កូឡំបូស (Christopher Columbus)	Christopher Columbus
ព្រែកជីកប៉ាណាម៉ា	Panama Canal
មហាសមុទ្រខាងត្បូង	Southern Ocean
ត្រីផ្សោតនៅកម្ពុជា	Dolphin
ក្មេង	Child
លេអុនហាដ អយល័រ	Leonhard Euler
ណាប៉ូលេអុងទី៣	Napoleon III
ភាសារុស្ស៊ី	Russian language
ល្វី ដ៏អស្ចារ្យ	Louis XIV of France
សមាគមប្រជាជាតិអាស៊ីអាគ្នេយ៍	Association of Southeast Asian Nations
ប្រវត្តិសាស្ត្របារាំង	History of France
តុលាការយុត្តិធម៌អន្តរជាតិ	International Court of Justice
យូណេស្កូ	UNESCO
អង្គការសុខភាពពិភពលោក	World Health Organization
អង្គការពាណិជ្ជកម្មពិភពលោក	World Trade Organization
ភាសាចិន	Chinese language
ធម្មជាតិ	Nature
ឈាម	Blood
រញ្ជួយផែនដី	Earthquake
សមុទ្រឡាប់តែវ	Laptev Sea
ភ្លើងចរាចរ	Traffic light
ម៉ាទីន ឡូតធឺរ ឃីង	Martin Luther King Jr.
ត្រីកោណមាត្រ	Trigonometry
ធរណីមាត្រ	Geometry
វេយ្យាករណ៍	Grammar
សេដ្ឋកិច្ច	Economics
អក្សរក្រិច	Greek alphabet
អក្សរឡាតាំង	Latin script
រឿងមហាភារតយុទ្ធ	Mahabharata
ការិយាល័យសហព័ន្ធស៊ើបអង្កេត	Federal Bureau of Investigation
វីយោឡុង	Violin
ឃឹម	Cimbalom
អេឡិចសាន់ដឺ ដឹ ហ្គារ៉ែត	Alexander the Great
សង្គម	Society
ការអប់រំ	Education
មនុស្សប្រុស	Man
វិគីភីឌាភាសាអេស៉្បាញ	Spanish Wikipedia
សិទ្ធិមនុស្ស	Human rights
ទាសភាព	Slavery
សង្គ្រាមស៊ីវិល	Civil war
ភ្នំ	Mountain
ហុងកុង	Hong Kong
សង្គ្រាមត្រជាក់	Cold War
សេអ៊ូល	Seoul
សង្គ្រាមវៀតណាម	Vietnam War
ម៉ៃឃើល ហ្វារ៉ាដេយ	Michael Faraday
អង់រីកូ ហ្វែរមី	Enrico Fermi
ភាសាអ៊ុយក្រែន	Ukrainian language
HTML	HTML
ច្យូហានេស គូទេនបឺគ	Johannes Gutenberg
ភាសាដាណឺម៉ាក	Danish language
ភាសាអេស្តូនី	Estonian language
ហិណ្ឌូសាសនា	Hinduism
ភាសាពែក	Persian language
សាសនា	Religion
ភាសាកូរ៉េ	Korean language
ភាសាខ្មែរ	Khmer language
ហ្រ្គេតស៊ីងមួន	Sigmund Freud
ភាសាថៃ	Thai language
ភាសាម៉ាឡេ	Malay language
ភាសាឥណ្ឌូនេស៊ី	Indonesian language
ភាសាហេប្រ៊ូ	Hebrew language
ចន ឡុក	John Locke
ថ្លើម	Liver
ចិត្តវិទ្យា	Psychology
មហាសមុទ្រ	Ocean
ពុទ្ធប្រវត្តិសង្ខេប	Gautama Buddha
ចរិយាមារយាទ	Ethics
សារជីវកម្មផ្សព្វផ្សាយព័ត៌មានរបស់ចក្រភពអង់គ្លេស(BBC)	BBC
ក្លិបបាល់ទាត់ឆេលស៊ី	Chelsea F.C.
គ្រោងឆ្អឹងមនុស្ស	Human skeleton
ក (អវយវៈ)	Neck
រាជវង្សថាង	Tang dynasty
John F. Kennedy	John F. Kennedy
LibreOffice	LibreOffice
ផ្លូវរូងដីក្រោមសមុទ្រ	Channel Tunnel
តារាងខួបនៃធាតុគីមី	Periodic table
ប្រូម៉ាស	Cheese
ទំពាំងបាយជូរ	Grape
បន្លែ	Vegetable
បច្ចេកវិទ្យា	Technology
វិស្វកម្ម	Engineering
ទំនាក់ទំនង	Communication
វិជ្ជាជីវៈខាងសារព័ត៌មាន	Journalism
កាសែត	Newspaper
ទូរស័ព្ទ	Telephone
វប្បធម៌	Culture
សំស្ក្រឹត	Sanskrit
ប្រដាប់របត់ឈាម	Circulatory system
The Guardian	The Guardian
សមីការឌីផេរ៉ង់ស្យែល	Differential equation
មៃក្រូសូហ្វអ៊ិសេល	Microsoft Excel
មុំ	Angle
សំទុះ	Acceleration
ព្រះសិវៈ	Shiva
ព្រះវិស្ណុ	Vishnu
Local Area Network	Local area network
Wide Area Network	Wide area network
ព្រះព្រហ្ម	Brahma
កម្លាំង	Force
អេឡិចត្រូម៉ាញ៉េទិច	Electromagnetism
កសិកម្ម	Agriculture
សំលៀកបំពាក់	Clothing
ល្បឿន	Velocity
ក្រដាស	Paper
សុញ្ញកាស	Vacuum
ស៊ីនេម៉ាទិច	Kinematics
ក្រលាផ្ទៃ	Area
ទ្រឹស្តីបទពីតាករ	Pythagorean theorem
ចំនួនកុំផ្លិច	Complex number
Cristiano Ronaldo	Cristiano Ronaldo
អ្នកថតរូប	Photography
ល្ខោន	Theatre
គ្រឿងអេឡិចត្រូនិច	Electronic component
ព័ត៌មានវិទ្យា	Information technology
អាស៊ីអាគ្នេយ៍	Southeast Asia
ក្រុងសៀមរាប	Siem Reap
បញ្ជីរាយនាម ប្រទេស	List of sovereign states
វិគីភីឌាភាសាព័រទុយហ្គាល់	Portuguese Wikipedia
ប្រដាប់រំលាយអាហារ	Digestion
កីឡាចាក់សាប	Fencing
រោគផ្ដាសាយធម្មតា	Common cold
រោគសរសៃប្រសាទ	Mental disorder
ប្រតិទិន ក្រេកូរី	Gregorian calendar
សុខភាព	Health
ជម្ងឺរលាកទងសួត	Pneumonia
ជំងឺអេដស៍	HIV/AIDS
កូដ QR	QR code
ជំងឺទឹកនោមផ្អែម	Diabetes mellitus
ទំព័រគំរូ:Location map Belgium	Module talk:Location map/data/Belgium/attribution
ទំព័រគំរូ:Location map Croatia	Module talk:Location map/data/Croatia/attribution
ទំព័រគំរូ:Location map Ukraine	Template:Location map Ukraine
ទំព័រគំរូ:Location map Burma	Template:Location map Burma
ទំព័រគំរូ:Location map Philippines	Template:Location map Philippines
ទំព័រគំរូ:Location map Vietnam	Template:Location map Vietnam
ទំព័រគំរូ:Location map Cambodia	Template:Location map Cambodia
ទំព័រគំរូ:Location map Thailand	Template:Location map Thailand
ទំព័រគំរូ:Location map Indonesia	Template:Location map Indonesia
ទំព័រគំរូ:Location map Australia	Template:Location map Australia
ញូតុន	Newton (unit)
ចក្រភព អូតូម៉ង់	Ottoman Empire
ម៉ាស៊ីនចំហេះក្នុង	Internal combustion engine
ក្បាច់គិតលេខ	Abacus
វឺតប្រែស	WordPress
Joomla!	Joomla
ដើមដូង	Coconut
ភាសាណាវ៉ាថ្ល៍	Nahuatl
ភាសាម៉ាយ៉ាយូកាតិក	Yucatec Maya language
អែនជេលីណា ចូលី	Angelina Jolie
អ៊ីលដឺហ្រ្វែន	Île-de-France
ភាសាអារ៉ាប់	Arabic language
Thanksgiving	Thanksgiving
តំបន់ឃ្ជឺស្សឺ	Kyushu
តំបន់ស៊ីកុគឹ	Shikoku
នាយករដ្ឋមន្ត្រី	Prime minister
ទង់ជាតិ	Flag
ខ្មៅដៃ	Pencil
សហភាពសូវៀត	Soviet Union
ចំណុចរលាយ	Melting point
កាមេរ៉ា	Still camera
កម្មវិធីទូរទស្សន៍	Television program
ខេត្តខាហ្គុស៊ីម៉ា	Kagoshima Prefecture
ភាសាស៊ី	C (programming language)
ម៉ង់តេរីយើ	Montesquieu
វិគីភីឌា:អត្ថបទពិសេស	Wikipedia:Featured articles
ពិភពលោក	World
ឈូក	Nelumbo nucifera
ឡងប៊ិច (កាលីផ្វនញ៉ា)	Long Beach, California
រង្វង់	Circle
ប្លង់	Plane (geometry)
វិគីភីឌាភាសាកូរ៉េ	Korean Wikipedia
ទៀបកោះម៉ាឡេ	Malay Peninsula
អេប៉ុងហ្ស៍ (ពពុះទឹក)	Sponge
មធ្យមនព្វន្ធ	Arithmetic mean
World Cup	FIFA World Cup
សម្ដេចប៉ាប	Pope
IATA	International Air Transport Association
បុណ្យណូអែល	Christmas
ត្រីកោណ	Triangle
លោកអេលីសេ រីខ្លាស	Élisée Reclus
អ្នកប្រើប្រាស់:អេង ឡុង/សង្គមវិទ្យាមូលដ្ឋាន	Sociology
សញ្ញាសំលេងអន្តរជាតិ	International Phonetic Alphabet
Friedrich Schiller	Friedrich Schiller
ជំនឿបាហៃ	Bahá'í Faith
១	1
អាប្រាហាម ម៉ាស្លូ	Abraham Maslow
ខ្ទឹមស	Garlic
អ៊ូលេនបាធរ	Ulan Bator
កោះ	Island
ភាសាផ្លូវការ	Official language
ខ្សែអេក្វាទ័រ	Equator
ទិស	Cardinal direction
លេខអាតូម	Atomic number
អាល់ហ្វ្រិដ ណូបែល	Alfred Nobel
សម្ដេចប៉ាប យូហាន ទី២៣	Pope John XXIII
រមណីយដ្ឋានទឹកធ្លាក់ក្បាលឆាយ	Kbal Chhay Waterfall
កិរិយាសព្ទ	Verb
ទីតានិច	RMS Titanic
សត្វឆ្អឹងកង	Vertebrate
បាគូ	Hoopoe
អំពែរ	Ampere
ISO 3166-1	ISO 3166-1
១ មុនគ.ស	1 BC
ម៉ែត្រការ៉េ	Square metre
ជំនួយ:Interlanguage links	Plankton
សហស្សវត្សរ៍ទី២	2nd millennium
ខេត្តកំពង់គោ	Long An Province
ទ្រឹស្តីបទទ្វេធា	Binomial theorem
សមុទ្រជប៉ុន	Sea of Japan
អាស៊ីខាងកើត	East Asia
អាមេរិក កណ្ដាល	Central America
គ្រីស្ទអឌែលហ្វៀន	Christadelphians
បរិមាត្រ	Perimeter
ចក្រភព អូទ្រីស-ហុងគ្រី	Austria-Hungary
បណ្ណាល័យជាតិ	Public library
ផាយថុន	Python (programming language)
អានន្ទ	Ananda
អាស៊ីហ្គេមឆ្នាំ១៩៥១	1951 Asian Games
បាកាន	Bagan
សំទុះទំនាញដី	Gravitational acceleration
ច្បាប់ធម្មតា	Common law
អ្នកម្តាយ តេរេសា​ (Mother Teresa)	Mother Teresa
ប្លូក	Blog
រោគគ្រុនចាញ់	Dengue fever
ដុល្លារហុងកុង	Hong Kong dollar
Xian JH-7	Xian JH-7
ខ្សែបណ្ដោយ	Meridian (geography)
ខេត្តឃ្លាំង	Sóc Trăng Province
ខេត្តទឹកខ្មៅ	Cà Mau Province
សមុទ្រខារ៉ា	Kara Sea
ផ្លេតបន្ទោរ	Lightning
កំរងកោះ	Archipelago
តួប្រុស	Actor
អំបូរភាសាយូតូអាហ្សតិក	Uto-Aztecan languages
ចាស្ទីន ពីពេ្រ	Justin Bieber
ក្រុម​ភាសា​ថៃកៈដៃ	Tai–Kadai languages
ចក្រភព រុស្ស៊ី	Russian Empire
មឞវជ	Mošovce
បេណាហ្សៀរ ប៊ូតូ	Benazir Bhutto
ស៊ីឌី	Compact disc
ឧទ្ធម្ភាគចក្រ	Helicopter
គុណនាម	Adjective
វីតាមីន	Vitamin
វែបសាយ	Website
តំបន់ហុកកៃដូ	Hokkaido
រូបមន្តសមមូលម៉ាស់-ថាមពល	Mass–energy equivalence
សមុទ្រ អារ៉ាល់	Aral Sea
ហូ ជីមិញ	Ho Chi Minh
ម៉ាក ហ្សុកឃឺបឺក	Mark Zuckerberg
ប្រតិកម្មគីមី	Chemical reaction
ខេត្តក្រមួនស	Kiên Giang Province
ខេត្តមាត់ជ្រូក	An Giang Province
ខេត្តរោងដំរី	Tây Ninh Province
ខេត្តព្រះត្រពាំង	Trà Vinh Province
Binomial nomenclature	Binomial nomenclature
ខេត្តពលលាវ	Bạc Liêu Province
ខេត្តផ្សារដែក	Đồng Tháp Province
វ៉ែសបែង	West Bank
ភាសាបាលី	Pali
គេហទំព័រ	Web page
ចតុកោណ	Quadrilateral
ឈិន ឡុង	Jackie Chan
ទិវាកុមារអន្តរជាតិ	Children's Day
Yahoo!	Yahoo!
បន្ទាត់	Line (geometry)
ហ្មរិឩពឡ	Mariupol
G8	G8
អង្កត់ផ្ចិត	Diameter
គ្រូបង្រៀន	Teacher
ស្នាដៃនៃបុព្វបុរសខ្មែរ	Writing
ស្ដេចប៉ាប យ៉ូហាន ប៉ូលទី១	Pope John Paul I
ណៃពិដោ	Naypyidaw
ISO 4217	ISO 4217
ព្យែរ គុយរី	Pierre Curie
ក្រុមប្រឹក្សាសន្តិសុខ អង្គការសហប្រជាជាតិ	United Nations Security Council
ពហុកោណ	Polygon
ទិវានៃក្ដីស្រលាញ់	Valentine's Day
ហ្គូហ្គល	Market (economics)
សមុទ្រចិនខាងត្បូង	South China Sea
និវេសនប្រព័ន្ធ	Ecosystem
សមុទ្រលឿង	Yellow Sea
យ៉ាំងហ្គូន	Yangon
សូរព្យញ្ជនៈ	Consonant
ច្បាប់ចលនារបស់ញូតុន	Newton's laws of motion
ឈូងសមុទ្របេងហ្គាល់	Bay of Bengal
ទិវានារីអន្តរជាតិ	International Women's Day
.jp	.jp
ភ្នំហ្វឹជី	Mount Fuji
ប៉ុលពត	Pol Pot
Xian H-6	Xian H-6
Chengdu J-7	Chengdu J-7
Shenyang J-8	Shenyang J-8
ភ្នំភ្លើង អ៊ីស៊ាឡឺក	Eyjafjallajökull
ម៉ាក្រូសេដ្ឋកិច្ច	Macroeconomics
Harbin SH-5	Harbin SH-5
ដីជ្រោយហ្គាស្សា	Gaza Strip
​វិទ្យុ​ស្ទូឌីយោ 54 បណ្តាញ	Radio Studio 54 Network
អេលីប	Ellipse
វិទ្យុអាស៊ីសេរី	Radio Free Asia
សមាគមន៍សារព័ត៌មាន	Associated Press
អធិដ្ឋាន	Prayer
គណៈកម្មាធិការអូឡាំពិកអន្តរជាតិ	International Olympic Committee
Skype	Skype
.kh	.kh
ចតុកោណស្មើ	Rhombus
ទន្លេមេគង្គ	Mekong
មេកានិច	Mechanics
វិចិត្រសាលវលញ្ឆករប្រទេស	Gallery of country coats of arms
ហែងរីហ ហឺត	Heinrich Hertz
អង់រី បិកកឺរ៉ែល	Henri Becquerel
ទស្សនាវដ្ដី	Magazine
សមីការដឺក្រេទី២	Quadratic equation
រូពីឥណ្ឌូនេស៊ី	Indonesian rupiah
សមុទ្រអុកហុតស្គ៍	Sea of Okhotsk
ចិត្តវិភាគ	Psychoanalysis
ខ្មែរម៉ាស្ទើ	Webmaster
.kr	.kr
URL	Uniform resource locator
ក្រុមបាល់ទាត់ជម្រើសជាតិ អេស្ប៉ាញ	Spain national football team
Google Earth	Google Earth
ប៊ែនហាដ រីម៉ាន	Bernhard Riemann
កោន	Cone
អាតុល	Atoll
ទិន្នន័យ	Data
ខ្លែង	Kite
ស្ថាបត្យករ	Architect
មហាអំណាច អាប់ស៊ីស	Axis powers
វិគីភីឌា:FAQ	Wikipedia:FAQ
.th	.th
ចក្រភព អាល្លឺម៉ង់	German Empire
ក្រុមបាល់ទាត់ជម្រើសជាតិ អាល្លឺម៉ង់	Germany national football team
ហេរី ផោតធ័រ និង សិលាទេព	Harry Potter and the Philosopher's Stone
អង្គការ Creative Commons	Creative Commons
ឥណ្ឌូចិន	Mainland Southeast Asia
ប្រាសាទអង្គរវត្ត	Angkor Wat
ទ្រឹស្ដីរ៉ឺឡាទីវីតេ	Theory of relativity
ប្រុស	Male
Toulon	Toulon
ប៉ាស្កាល់	Pascal (unit)
ទ្រឹស្ដីល្បែង	Game theory
នីតិរដ្ឋ	Rule of law
សមុទ្រចិនខាងកើត	East China Sea
ខ្នុរ	Jackfruit
ប្រលេឡូក្រាម	Parallelogram
ប្រាសាទព្រះវិហារ	Preah Vihear Temple
ចតុកោណព្នាយ	Trapezoid
ស៊ូស៊ី	Sushi
រូប៊ិក ខ្យូប	Rubik's Cube
កាល	Plautus
ចង្រិត	Cricket (insect)
ទិវាពលកម្មអន្ដរជាតិ	International Workers' Day
ស្ទឹង	Stream
សមុទ្រអង់ដាម៉ង់	Andaman Sea
ប៉ិបស៊ី	Pepsi
