ਅਫ਼ਰੀਕਾ	Africa
ਰਾਜਾ	Monarch
ਘਾਨਾ	Ghana
ਅਪ੍ਰੈਲ	April
ਮਈ	May
ਜੂਨ	June
ਜੁਲਾਈ	July
ਅਗਸਤ	August
ਸਤੰਬਰ	September
ਅਕਤੂਬਰ	October
ਨਵੰਬਰ	November
ਦਸੰਬਰ	December
ਮੰਗਲਵਾਰ	Tuesday
ਬੁੱਧਵਾਰ	Wednesday
ਵੀਰਵਾਰ	Thursday
ਸ਼ੁੱਕਰਵਾਰ	Friday
ਸ਼ਨਿੱਚਰਵਾਰ	Saturday
ਐਤਵਾਰ	Sunday
ਫ਼ਰਾਂਸ	France
ਏਸਪੇਰਾਂਤੋ	Esperanto
ਕੁੱਤਾ	Dog
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	United Kingdom
ਬਿੱਲੀ	Cat
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	China
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	French language
ਵਿਕਸ਼ਨਰੀ	Wiktionary
ਮੱਛੀ	Fish
ਈਥੇਨੋਲ	Ethanol
ਬ੍ਰਾਜ਼ੀਲ	Brazil
ਅਲਕੋਹਲ	Alcohol
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	François Hollande
ਰੂਸ	Russia
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	Optical fiber
ਸਮੁੰਦਰ	Sea
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	Black Sea
ਪਾਈ	Pi
ਪਾਈ (ਅੱਖਰ)	Pi (letter)
ਅੰਬ	Mango
ਟੋਰਾਂਟੋ	Toronto
ਅਲਾਬਾਮਾ	Alabama
ਸਾਓ ਪਾਉਲੋ	São Paulo
ਕੇਬੈਕ	Quebec
ਪੀਜ਼ਾ	Pizza
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	Wikimedia Foundation
ਜਿੰਮੀ ਵੇਲਸ	Jimmy Wales
ਜਰਮਨੀ	Germany
ਬੇਲਾਰੂਸ	Belarus
ਜਰਮਨ ਭਾਸ਼ਾ	German language
ਆਈਸਲੈਂਡ	Iceland
ਪਰਮਾਤਮਾ	God
ਇਸਤੋਨੀਆ	Estonia
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	Saturn
ਹਵਾਈ ਜਹਾਜ਼	Airplane
ਜੰਗ	War
੧ (ਅੰਕ)	1 (number)
੨ (ਅੰਕ)	2 (number)
੩ (ਅੰਕ)	3 (number)
੪ (ਅੰਕ)	4 (number)
੫ (ਅੰਕ)	5 (number)
ਸਿਫ਼ਰ (ਅੰਕ)	0 (number)
ਸਟੀਵਨ ਹਾਰਪਰ	Stephen Harper
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	George W. Bush
ਲਾਤਵੀਆ	Latvia
ਯੂਕਰੇਨ	Ukraine
ਚੈੱਕ ਗਣਰਾਜ	Czech Republic
ਸਲੋਵਾਕੀਆ	Slovakia
ਸਲੋਵੇਨੀਆ	Slovenia
ਵਿਲਨਸ	Vilnius
ਮੋਲਦੋਵਾ	Moldova
ਰੋਮਾਨੀਆ	Romania
ਬੁਲਗਾਰੀਆ	Bulgaria
ਰੋਮ	Rome
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Republic of Macedonia
ਅਲਬਾਨੀਆ	Albania
ਗਰੀਨਲੈਂਡ	Greenland
ਕ੍ਰੋਏਸ਼ੀਆ	Croatia
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnia and Herzegovina
ਨੂਕ	Nuuk
ਅਜ਼ਰਬਾਈਜਾਨ	Azerbaijan
ਅੰਡੋਰਾ	Andorra
ਸਾਇਪ੍ਰਸ	Cyprus
ਜਾਰਜੀਆ (ਦੇਸ਼)	Georgia (country)
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kazakhstan
ਮਾਲਟਾ	Malta
ਮੋਨਾਕੋ	Monaco
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vatican City
ਸਾਨ ਮਰੀਨੋ	San Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Brussels
ਕਿਊਬਾ	Cuba
ਬੇਲੀਜ਼	Belize
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffel Tower
ਬਾਰਬਾਡੋਸ	Barbados
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (programming language)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonesia
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Turkish language
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	South Africa
ਅਲਜੀਰੀਆ	Algeria
ਉਜ਼ਬੇਕਿਸਤਾਨ	Uzbekistan
ਤਾਸ਼ਕੰਤ	Tashkent
ਵਾਰਸਾ	Warsaw
ਵਾਈਨ	Wine
ਪਾਣੀ	Water
ਚਮੜਾ	Leather
ਲੱਕੜ	Wood
ਟੀਵੀ	Television
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornography
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Velázquez
ਚੀਲੇ	Chile
ਈਸਾ ਮਸੀਹ	Jesus
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galileo Galilei
ਬੁੱਧ (ਗ੍ਰਹਿ)	Mercury (planet)
ਇਤਿਹਾਸ	History
ਐਪਲ	Apple Inc.
ਭਾਸ਼ਾ	Language
ਪਿਆਰ	Love
ਤਾਨਾਸ਼ਾਹੀ	Dictatorship
ਅਕਾਸ਼ਗੰਗਾ	Galaxy
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupiter
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Milky Way
ਮਹਾਂ ਧਮਾਕਾ	Big Bang
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Uranus
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	English Wikipedia
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptune
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomy
ਸਿੰਗਾਪੁਰ	Singapore
ਵਿਗਿਆਨ	Science
ਪਲੂਟੋ	Pluto
ਮਾਂਟਰੀਆਲ	Montreal
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Free software
ਕੁਆਰੀ ਮਰੀਅਮ	Mary (mother of Jesus)
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liechtenstein
ਖੇਡ	Sport
ਕੈਂਬਰਿਜ	Cambridge
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	WikiLeaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	World War I
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	World War II
ਕਲਨ	Cologne
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Corruption
ਘੜੀ	Clock
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu (operating system)
ਸਕੋਪੀਏ	Skopje
ਲਿਨਕਸ	Linux
ਹਿਸਾਬ	Mathematics
ਬਹਿਰੀਨ	Bahrain
ਅਰਮੀਨੀਆ	Armenia
ਕੀਲਾਕਾਰ ਲਿਪੀ	Cuneiform
ਹਿਗਜ਼ ਬੋਸੌਨ	Higgs boson
ਸਰਬੀਆ	Serbia
ਚੰਦਰਮਾ	Moon
ਇਸਤਾਨਬੁਲ	Istanbul
ਆਸਟਰੇਲੀਆ	Australia
ਬਾਬ ਮਾਰਲੇ	Bob Marley
ਭੌਤਿਕ ਵਿਗਿਆਨ	Physics
ਅਰਜਨਟੀਨਾ	Argentina
ਪੇਰੂ	Peru
ਜੀਵ ਵਿਗਿਆਨ	Biology
ਉੱਡਣ ਤਸ਼ਤਰੀ	Unidentified flying object
ਉੱਤਰੀ ਕੋਰੀਆ	North Korea
ਕੰਬੋਡੀਆ	Cambodia
ਪਸ਼ੂ ਅਧਿਕਾਰ	Animal rights
ਕੁਰਾਨ	Quran
ਡਾਈਨੋਸੌਰ	Dinosaur
ਜੰਤੂ ਵਿਗਿਆਨ	Zoology
ਇਸਲਾਮ	Islam
ਲਿਊਬਲਿਆਨਾ	Ljubljana
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	Botany
ਦੇਨੀ ਦਿਦਰੋ	Denis Diderot
ਅਮਨ	Peace
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	Encyclopædia Britannica
ਲਿਓਂ	Lyon
ਯੂਰਪੀ ਸੰਘ	European Union
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	Internet Archive
ਰੋਨ-ਆਲਪ	Rhône-Alpes
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	World Wide Web
ਔਰਤ	Woman
ਸੋਫ਼ੀਆ	Sofia
ਦੌਨ ਕੀਖ਼ੋਤੇ	Don Quixote
ਕਵਿਤਾ	Poetry
ਆਰਥਰ ਰਿੰਬੋ	Arthur Rimbaud
ਨਿੰਬੂ	Lemon
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	Charles Baudelaire
ਸਤੇਂਦਾਲ	Stendhal
ਐਮਿਲ ਜ਼ੋਲਾ	Émile Zola
ਮਾਊਂਟ ਐਵਰੈਸਟ	Mount Everest
ਅੰਗ ਵਿਗਿਆਨ	Anatomy
ਸ਼ਹਿਰ	City
ਨਪੋਲੀਅਨ	Napoleon
ਤਾਰਾ	Star
ਸੂਰਜ	Sun
ਅਕਾਸ਼	Sky
ਪ੍ਰਕਾਸ਼-ਸਾਲ	Light-year
ਪਿੰਡ	Village
ਵਿਕਤੋਰ ਊਗੋ	Victor Hugo
ਓਸ਼ੇਨੀਆ	Oceania
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	Giuseppe Garibaldi
ਅਥਲੈਟਿਕਸ	Athletics (sport)
ਸੂਰਜ ਮੰਡਲ	Solar System
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	Baltic Sea
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	Champs-Élysées
ਹਾਈਡਰੋਜਨ	Hydrogen
ਹੀਲੀਅਮ	Helium
ਮਨੁੱਖੀ ਦੰਦ	Human tooth
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	Wikimedia Commons
ਐਂਜਿਲਾ ਮੇਰਕਲ	Angela Merkel
ਲਿਥੀਅਮ	Lithium
ਬੇਰਿਲੀਅਮ	Beryllium
ਕਿਤਾਬ	Book
ਦਿਨ	Day
ਪੂਰਬੀ ਤਿਮੋਰ	East Timor
ਰਾਤ	Night
ਸਾਲ	Year
ਸਦੀ	Century
ਰਾਈਨ ਦਰਿਆ	Rhine
ਓਸਲੋ	Oslo
ਬੌਨ	Bonn
ਬਲੈਕ ਹੋਲ	Black hole
ਲਿਸਬਨ	Lisbon
ਰੋਨ ਦਰਿਆ	Rhône
ਦੁਬਈ	Dubai
ਲਿਓਨਲ ਮੈਸੀ	Lionel Messi
ਬੋਰਾਨ	Boron
ਕਾਰਬਨ	Carbon
ਵੋਲਗਾ ਦਰਿਆ	Volga River
ਨਾਈਟਰੋਜਨ	Nitrogen
ਆਕਸੀਜਨ	Oxygen
ਇੰਟਰ ਮਿਲਣ	Inter Milan
ਗ੍ਰਹਿ	Planet
ਸੰਗੀਤ	Music
ਵੈਨਿਸ	Venice
ਲੀਲ	Lille
ਮਾਸਕੋ	Moscow
ਫ਼ਲੋਰੀਨ	Fluorine
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	Italian language
ਨੀਆਨ	Neon
ਚੀਵਾਵਾ (ਰਾਜ)	Chihuahua (state)
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	Saint Petersburg
ਚਾਡ	Chad
ਸੋਡੀਅਮ	Sodium
ਉੱਤਰ	North
ਮੈਗਨੀਸ਼ੀਅਮ	Magnesium
ਐਲਮੀਨੀਅਮ	Aluminium
ਨਿਊਜ਼ੀਲੈਂਡ	New Zealand
ਦੱਖਣ	South
ਭਾਰਤ	India
ਸਿਲੀਕਾਨ	Silicon
ਫ਼ਰਾਂਸੀਅਮ	Francium
ਤੁਵਾਲੂ	Tuvalu
ਫ਼ਾਸਫ਼ੋਰਸ	Phosphorus
ਲੋਹਾ	Iron
ਟੋਂਗਾ	Tonga
ਪੱਛਮ	West
ਗੰਧਕ	Sulfur
ਸਮੋਆ	Samoa
ਪੂਰਬ	East
ਸੋਲੋਮਨ ਟਾਪੂ	Solomon Islands
ਵਨੁਆਤੂ	Vanuatu
ਮੋਲੀਏਰ	Molière
ਕਲੋਰੀਨ	Chlorine
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Papua New Guinea
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	William Shakespeare
ਪਲਾਊ	Palau
ਆਰਗਾਨ	Argon
ਨਾਉਰੂ	Nauru
ਫ਼ਾਇਰਫ਼ੌਕਸ	Firefox
ਪਰੀ ਕਥਾ	Fairy tale
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	Federated States of Micronesia
ਪੋਟਾਸ਼ੀਅਮ	Potassium
ਓਲੰਪੀਕ ਲਿਉਨੇ	Olympique Lyonnais
ਕੈਲਸ਼ੀਅਮ	Calcium
ਸਿੱਕਾ	Lead
ਮਾਰਸ਼ਲ ਟਾਪੂ	Marshall Islands
ਕਿਰੀਬਾਸ	Kiribati
ਮੰਗੋਲੀਆ	Mongolia
ਫ਼ਿਜੀ	Fiji
ਸਕੈਂਡੀਅਮ	Scandium
ਟਾਈਟੇਨੀਅਮ	Titanium
ਵੈਨੇਜ਼ੁਐਲਾ	Venezuela
ਸ਼ਤਰੰਜ	Chess
ਚੰਗੇਜ਼ ਖ਼ਾਨ	Genghis Khan
ਵੈਨੇਡੀਅਮ	Vanadium
ਮੇਨ	Maine
ਕਰੋਮੀਅਮ	Chromium
ਘੋੜਾ	Horse
ਅਮਸਤੱਰਦਮ	Amsterdam
ਹਥਿਆਰ	Weapon
ਜੰਤੂ	Animal
ਸੂਰੀਨਾਮ	Suriname
ਮੈਂਗਨੀਜ਼	Manganese
ਪੈਰਾਗੁਏ	Paraguay
ਗੁਇਆਨਾ	Guyana
ਕਲਾ	Art
ਏਕੁਆਦੋਰ	Ecuador
ਰੀਨੀਅਮ	Rhenium
ਕੋਲੰਬੀਆ	Colombia
ਕੋਬਾਲਟ	Cobalt
ਟੰਗਸਟਨ	Tungsten
ਨਿਕਲ	Nickel
ਬੁੱਧ ਧਰਮ	Buddhism
ਬੋਲੀਵੀਆ	Bolivia
ਓਸਮੀਅਮ	Osmium
ਤਾਂਬਾ	Copper
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Trinidad and Tobago
ਬੂਟਾ	Plant
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	Saint Vincent and the Grenadines
ਜਿਸਤ	Zinc
ਨਿਊ ਹੈਂਪਸ਼ਰ	New Hampshire
ਸੇਂਟ ਲੂਸੀਆ	Saint Lucia
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	Leonardo da Vinci
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	Saint Kitts and Nevis
ਉੱਲੀ	Fungus
ਦਾਰੀਓ ਫ਼ੋ	Dario Fo
ਜਮੈਕਾ	Jamaica
ਗ੍ਰੇਨਾਡਾ	Grenada
ਮੈਸਾਚੂਸਟਸ	Massachusetts
ਗੁਆਤੇਮਾਲਾ	Guatemala
ਬਹਾਮਾਸ	The Bahamas
ਕਨੈਟੀਕਟ	Connecticut
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Antigua and Barbuda
ਹਵਾਈ	Hawaii
ਹਾਂਡੂਰਾਸ	Honduras
ਡੋਮਿਨਿਕਾ	Dominica
ਜਰਸੀ	Jersey
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	Dominican Republic
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	Arctic Ocean
ਹੈਤੀ	Haiti
ਸਾਲਵਾਦੋਰ	El Salvador
ਇਰਾਨ	Iran
ਇਰਾਕ	Iraq
ਅਲਾਸਕਾ	Alaska
ਸਿਆਣਪ	Wisdom
ਕੋਸਤਾ ਰੀਕਾ	Costa Rica
ਇਜ਼ਰਾਇਲ	Israel
ਪਨਾਮਾ	Panama
ਯਮਨ	Yemen
ਵਿਸ਼ਾਣੂ	Virus
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	Polish language
ਜਾਰਡਨ	Jordan
ਨਿਕਾਰਾਗੁਆ	Nicaragua
ਫ਼ਲੌਰਿਡਾ	Florida
ਕਿਰਗਿਜ਼ਸਤਾਨ	Kyrgyzstan
ਐਰੀਜ਼ੋਨਾ	Arizona
ਕੁਵੈਤ	Kuwait
ਲਾਉਸ	Laos
ਲਿਬਨਾਨ	Lebanon
ਔਰੇਗਨ	Oregon
ਮਾਲਦੀਵ	Maldives
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	Americas
ਯੂਟਾ	Utah
ਮਲੇਸ਼ੀਆ	Malaysia
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	Mikhail Bulgakov
ਮਿਆਂਮਾਰ	Burma
ਨੇਪਾਲ	Nepal
ਉਮਾਨ	Oman
ਪਾਕਿਸਤਾਨ	Pakistan
ਕਤਰ	Qatar
ਗੇਂਦ-ਛਿੱਕਾ	Tennis
ਸਾਊਦੀ ਅਰਬ	Saudi Arabia
ਸ੍ਰੀਲੰਕਾ	Sri Lanka
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	Joseph Stalin
ਸੀਰੀਆ	Syria
ਅਫਲਾਤੂਨ	Plato
ਗੈਲੀਅਮ	Gallium
ਤਾਜਿਕਸਤਾਨ	Tajikistan
ਤਾਇਵਾਨ	Taiwan
ਯੂਟਿਊਬ	YouTube
ਜਰਮੇਨੀਅਮ	Germanium
ਅਰਸਤੂ	Aristotle
ਥਾਈਲੈਂਡ	Thailand
ਸੰਖੀਆ	Arsenic
ਮੇਰਿਲ ਸਟਰੀਪ	Meryl Streep
ਤੁਰਕਮੇਨਸਤਾਨ	Turkmenistan
ਅਬਾਕਾਨ	Abakan
ਸਿਲੀਨੀਅਮ	Selenium
ਇਰੀਡੀਅਮ	Iridium
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	United Arab Emirates
ਬ੍ਰੋਮੀਨ	Bromine
ਪਲੈਟੀਨਮ	Platinum
ਵੀਅਤਨਾਮ	Vietnam
ਚਾਰਲੀ ਚੈਪਲਿਨ	Charlie Chaplin
ਦੱਖਣੀ ਕੋਰੀਆ	South Korea
ਕ੍ਰਿਪਟਾਨ	Krypton
ਅਫਗਾਨਿਸਤਾਨ	Afghanistan
ਗੰਗਨਮ ਸਟਾਈਲ	Gangnam Style
ਰੁਬੀਡੀਅਮ	Rubidium
ਸੋਨਾ	Gold
ਸੁਏਸ ਨਹਿਰ	Suez Canal
ਵਿਗਿਆਨੀ	Scientist
ਬੰਗਲਾਦੇਸ਼	Bangladesh
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	Franz Kafka
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	Jorge Luis Borges
ਮਾਲੀ	Mali
ਸੁਕਰਾਤ	Socrates
ਵੋਲਗਾਗਰਾਡ	Volgograd
ਅੰਗੋਲਾ	Angola
ਭੂਟਾਨ	Bhutan
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	Brunei
ਤਨਜ਼ਾਨੀਆ	Tanzania
ਪਾਰਾ	Mercury (element)
ਫਿਲੀਪੀਨਜ਼	Philippines
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	Central African Republic
ਥੈਲੀਅਮ	Thallium
ਆਇਜ਼ਕ ਨਿਊਟਨ	Isaac Newton
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	Albert Einstein
ਸਟਰੌਂਸ਼ਮ	Strontium
ਬਿਸਮਥ	Bismuth
ਪੀਲ਼ਾ (ਰੰਗ)	Yellow
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	Quantum mechanics
ਟੋਗੋ	Togo
ਤੁਨੀਸੀਆ	Tunisia
ਜ਼ਾਂਬੀਆ	Zambia
ਜ਼ਿੰਬਾਬਵੇ	Zimbabwe
ਬੀਜਿੰਗ	Beijing
ਦੱਖਣੀ ਸੁਡਾਨ	South Sudan
ਬੇਨਿਨ	Benin
ਬੋਤਸਵਾਨਾ	Botswana
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Burkina Faso
ਬੁਰੂੰਡੀ	Burundi
ਕਾਮਾਰੋਸ	Comoros
ਕਾਂਗੋ ਗਣਰਾਜ	Republic of the Congo
ਓਬ ਦਰਿਆ	Ob River
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Democratic Republic of the Congo
ਸਾਨ ਆਂਤੋਨੀਓ	San Antonio
ਜਿਬੂਤੀ	Djibouti
ਮੀਮ	Meme
ਪੋਲੋਨੀਅਮ	Polonium
ਬਾਈਆਨ	Bavaria
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Equatorial Guinea
ਬਾਡਨ-ਵਰਟਮਬਰਕ	Baden-Württemberg
ਇਰੀਤਰੀਆ	Eritrea
ਨਵੀਂ ਦਿੱਲੀ	New Delhi
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	Fyodor Dostoyevsky
ਤਬੀਲਿਸੀ	Tbilisi
ਐਸਟਾਟੀਨ	Astatine
ਗਬਾਨ	Gabon
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	Mahatma Gandhi
ਕੌਮਿਕਸ	Comics
ਗਾਂਬੀਆ	The Gambia
ਗਿਨੀ	Guinea
ਗਿਨੀ-ਬਿਸਾਊ	Guinea-Bissau
ਦੰਦ ਖੰਡ ਤਟ	Ivory Coast
ਕੈਮਰੂਨ	Cameroon
ਕੇਪ ਵਰਦੇ	Cape Verde
ਲਿਸੋਥੋ	Lesotho
ਲਾਈਬੇਰੀਆ	Liberia
ਲੀਬੀਆ	Libya
ਮਾਦਾਗਾਸਕਰ	Madagascar
ਮਲਾਵੀ	Malawi
ਸ਼ਟੁੱਟਗਾਟ	Stuttgart
ਮੌਰੀਤਾਨੀਆ	Mauritania
ਮਾਰੀਸ਼ਸ	Mauritius
ਮੋਰਾਕੋ	Morocco
ਮੋਜ਼ੈਂਬੀਕ	Mozambique
ਨਮੀਬੀਆ	Namibia
ਨਾਈਜਰ	Niger
ਨਾਈਜੀਰੀਆ	Nigeria
ਚਾਰਲਸ ਡਾਰਵਿਨ	Charles Darwin
ਯੁਗਾਂਡਾ	Uganda
ਰਵਾਂਡਾ	Rwanda
ਜ਼ਰਕੋਨੀਅਮ	Zirconium
ਸਾਓ ਤੋਮੇ ਅਤੇ ਪ੍ਰਿੰਸੀਪੀ	São Tomé and Príncipe
ਸੇਨੇਗਲ	Senegal
ਸੇਸ਼ੈਲ	Seychelles
ਕਾਰਲ ਲੀਨੀਅਸ	Carl Linnaeus
ਸਿਏਰਾ ਲਿਓਨ	Sierra Leone
ਸੋਮਾਲੀਆ	Somalia
