Aafrika	Africa
Vaim (mens)	Mind
Rahu	Peace
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Euroopa Liit	European Union
Plovdiv	Plovdiv
Interneti arhiiv	Internet Archive
Tähtede sõda	Star Wars
Rhône-Alpes	Rhône-Alpes
Veeb	World Wide Web
Naine	Woman
Dysoni sfäär	Dyson sphere
Sofia	Sofia
Akvedukt	Aqueduct (bridge)
Eduardo Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Don Quijote	Don Quixote
Luule	Poetry
Arvutiviirus	Computer virus
Tšornobõli katastroof	Chernobyl disaster
Bill Maher	Bill Maher
Milano	Milan
Sõprus	Friendship
Mälu	Memory
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Roe	Feces
Pärak	Anus
Ulrich Friedrich Woldemar von Löwendahl	Ulrich Frédéric Woldemar, Comte de Lowendal
Harilik sidrunipuu	Lemon
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banaan	Banana
Émile Zola	Émile Zola
666	666
Õis	Flower
Googol	Googol
Mariaani süvik	Mariana Trench
Vladimir Võssotski	Vladimir Vysotsky
Džomolungma	Mount Everest
Anatoomia	Anatomy
Linn	City
Napoleon I	Napoleon
Olympus Mons	Olympus Mons
Füsioloogia	Physiology
Täht (astronoomia)	Star
Vesuuv	Mount Vesuvius
Päike	Sun
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Valgusaasta	Light-year
Küla	Village
Victor Hugo	Victor Hugo
Okeaania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Kergejõustik	Athletics (sport)
Tsensuur	Censorship
Päikesesüsteem	Solar System
Läänemeri	Baltic Sea
Trieste	Trieste
Wisła	Vistula
Siiami tapluskala	Siamese fighting fish
Champs-Élysées	Champs-Élysées
Odra	Oder
Hambad	Tooth
Rachel Maddow	Rachel Maddow
Vesinik	Hydrogen
Heelium	Helium
Põrgu	Hell
Wikimedia Commons	Wikimedia Commons
Puhastustuli	Purgatory
Angela Merkel	Angela Merkel
Liitium	Lithium
Berüllium	Beryllium
Kõlar	Loudspeaker
Raamat	Book
Ööpäev	Day
Ida-Timor	East Timor
Öö	Night
Jorge Alessandri	Jorge Alessandri
Aasta	Year
Sajandid	Century
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rein	Rhine
Oslo	Oslo
Bonn	Bonn
Pühakutepäev	All Saints' Day
Katowice	Katowice
Must auk	Black hole
Luís Vaz de Camões	Luís de Camões
Gei	Gay
The King of Rome	The King of Rome
Ceres (kääbusplaneet)	Ceres (dwarf planet)
Lissabon	Lisbon
Rzeszów	Rzeszów
Ichirō Suzuki	Ichiro Suzuki
Haumea (kääbusplaneet)	Haumea
Rhône	Rhône
Makemake (kääbusplaneet)	Makemake
Michael Bloomberg	Michael Bloomberg
Iona	Iona
136199 Eris	Eris (dwarf planet)
Dubai	Dubai Municipality
Dubai emiraat	Dubai
Lionel Messi	Lionel Messi
Padova	Padua
Boor	Boron
Mikołaj Kopernik	Nicolaus Copernicus
Versailles	Versailles (France city)
Ludwigsburg	Ludwigsburg
Süsinik	Carbon
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga River
Lämmastik	Nitrogen
Bergamo	Bergamo
Hapnik	Oxygen
Milano Internazionale	Inter Milan
Jean Moulin	Jean Moulin
Planeet	Planet
Kleopatra VII	Cleopatra
Kate Bush	Kate Bush
Muusika	Music
Aberratsioon (optika)	Optical aberration
Veneetsia	Venice
Naruto (manga)	Naruto
Po	Po (river)
Sharm el Sheikh	Sharm el-Sheikh
Neeva	Neva River
Termomeeter	Thermometer
Rennes	Rennes
Lille	Lille
Moskva	Moscow
Fluor	Fluorine
Itaalia keel	Italian language
Chihuahua	Chihuahua (dog)
Neoon	Neon
Chihuahua osariik	Chihuahua (state)
Peterburi	Saint Petersburg
Tšaad	Chad
Naatrium	Sodium
Põhi	North
Magneesium	Magnesium
Vesioinas	Hydraulic ram
Alumiinium	Aluminium
Uus-Meremaa	New Zealand
Lõuna	South
India	India
Räni	Silicon
Frantsium	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Phosphorus
André-Marie Ampère	André-Marie Ampère
Proosa	Prose
Raud	Iron
Tonga	Tonga
Lääs	West
Alessandro Volta	Alessandro Volta
Väävel	Sulfur
Samoa	Samoa
Ida	East
Saalomoni Saared	Solomon Islands
Vanuatu	Vanuatu
Molière	Molière
Kloor	Chlorine
Delft	Delft
Paapua Uus-Guinea	Papua New Guinea
William Shakespeare	William Shakespeare
Valm	Fable
Lõuna-Holland	South Holland
Belau	Palau
Argoon	Argon
Nauru	Nauru
Mozilla Firefox	Firefox
Muinasjutt	Fairy tale
Põhja-Holland	North Holland
Mikroneesia Liiduriigid	Federated States of Micronesia
Kaalium	Potassium
Lyoni Olympique	Olympique Lyonnais
Zeelandi provints	Zeeland
Kaltsium	Calcium
Flevoland	Flevoland
Plii	Lead
Marshalli Saared	Marshall Islands
Kiribati	Kiribati
Mongoolia	Mongolia
Fidži	Fiji
Skandium	Scandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titaan	Titanium
Venezuela	Venezuela
Male	Chess
Tšingis-khaan	Genghis Khan
Vanaadium	Vanadium
Maine	Maine
Kroom	Chromium
Hobune	Horse
Amsterdam	Amsterdam
Relv	Weapon
Loomad	Animal
Suriname	Suriname
Mangaan	Manganese
Paraguay	Paraguay
Guyana	Guyana
Kunst	Art
Ecuador	Ecuador
Reenium	Rhenium
Colombia	Colombia
Koobalt	Cobalt
Jean Racine	Jean Racine
Volfram	Tungsten
Nikkel	Nickel
Maasikas	Fragaria
Pierre Corneille	Pierre Corneille
Budism	Buddhism
Groningen	Groningen
Boliivia	Bolivia
Osmium	Osmium
Groningeni provints	Groningen (province)
Vask	Copper
Trinidad ja Tobago	Trinidad and Tobago
Paul Verlaine	Paul Verlaine
Taimed	Plant
Saint Vincent ja Grenadiinid	Saint Vincent and the Grenadines
Tsink	Zinc
New Hampshire	New Hampshire
Saint Lucia	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ja Nevis	Saint Kitts and Nevis
Seened	Fungus
Dario Fo	Dario Fo
Jamaica	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenada
Friisimaa provints	Friesland
Massachusetts	Massachusetts
Drenthe provints	Drenthe
Overijsseli provints	Overijssel
Guatemala	Guatemala
Gelderlandi provints	Gelderland
Utrechti provints	Utrecht (province)
Google Chrome	Google Chrome
Bahama	The Bahamas
Connecticut	Connecticut
Kana	Chicken
Antigua ja Barbuda	Antigua and Barbuda
Hawaii osariik	Hawaii
Honduras	Honduras
Dominica	Dominica
Jersey	Jersey
Dominikaani Vabariik	Dominican Republic
Siga	Domestic pig
Põhja-Jäämeri	Arctic Ocean
Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iraan	Iran
Iraak	Iraq
Alaska	Alaska
Costa Rica	Costa Rica
Iisrael	Israel
Utrecht	Utrecht
Panama	Panama
Jeemen	Yemen
Lausanne	Lausanne
Viirused	Virus
Poola keel	Polish language
Jordaania	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kõrgõzstan	Kyrgyzstan
Arizona	Arizona
Kuveit	Kuwait
Florida provints	Florida Province
Laos	Laos
Liibanon	Lebanon
Oregon	Oregon
Maldiivid	Maldives
Ameerika	Americas
Utah	Utah
Veis	Cattle
Malaisia	Malaysia
Valais' kanton	Valais
Mihhail Bulgakov	Mikhail Bulgakov
Birma	Burma
Nepal	Nepal
Andrei Rubljov	Andrei Rublev
Omaan	Oman
Pakistan	Pakistan
James Bond	James Bond
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Qatar
Tennis	Tennis
Arturo Alessandri Palma	Arturo Alessandri
François Villon	François Villon
MySQL	MySQL
Saudi Araabia	Saudi Arabia
Andrei Tarkovski	Andrei Tarkovsky
Sri Lanka	Sri Lanka
Jossif Stalin	Joseph Stalin
Vöötkood	Barcode
Süüria	Syria
Platon	Plato
Gallium	Gallium
Jossif Brodski	Joseph Brodsky
Tadžikistan	Tajikistan
Pokémon	Pokémon
Hiina Vabariik	Taiwan
YouTube	YouTube
Germaanium	Germanium
Aristoteles	Aristotle
Tai	Thailand
Rong	Train
Arseen	Arsenic
Raadio	Radio
Meryl Streep	Meryl Streep
Türkmenistan	Turkmenistan
Abakan	Abakan
Seleen	Selenium
Iriidium	Iridium
Araabia Ühendemiraadid	United Arab Emirates
Broom	Bromine
Plaatina	Platinum
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Lõuna-Korea	South Korea
Józef Piłsudski	Józef Piłsudski
Simpsonid	The Simpsons
Jekaterinburg	Yekaterinburg
Krüptoon	Krypton
Afganistan	Afghanistan
Gangnam Style	Gangnam Style
Nižni Novgorod	Nizhny Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limonaad	Lemonade
Samara	Samara, Russia
Rubiidium	Rubidium
Kuld	Gold
Omsk	Omsk
Suessi kanal	Suez Canal
Kaasan	Kazan
Teadlane	Scientist
Bangladesh	Bangladesh
Bleach (manga)	Bleach (manga)
Franz Kafka	Franz Kafka
Tšeljabinsk	Chelyabinsk
Rostov Doni ääres	Rostov-on-Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrates	Socrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm
Bhutan	Bhutan
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunei	Brunei
Brač	Brač
Tansaania	Tanzania
Elavhõbe	Mercury (element)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipiinid	Philippines
Kesk-Aafrika Vabariik	Central African Republic
Naruto Uzumaki	Naruto Uzumaki
Tallium	Thallium
Lõunapoolus	South Pole
Põhjapoolus	North Pole
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontsium	Strontium
Pedro I (Brasiilia)	Pedro I of Brazil
Uimasti	Narcotic
Ütrium	Yttrium
Vismut	Bismuth
Kollane	Yellow
Kvantmehaanika	Quantum mechanics
Togo	Togo
Donald Tusk	Donald Tusk
Tuneesia	Tunisia
John Bardeen	John Bardeen
Sambia	Zambia
Zimbabwe	Zimbabwe
Peking	Beijing
Lõuna-Sudaan	South Sudan
Vladivostok	Vladivostok
Tõva	Tuva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoorid	Comoros
Kongo Vabariik	Republic of the Congo
Alkmaar	Alkmaar
Ob	Ob River
Kongo Demokraatlik Vabariik	Democratic Republic of the Congo
San Antonio	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meem	Meme
Poloonium	Polonium
Baieri	Bavaria
Maailma karikavõistlused mäesuusatamises	FIS Alpine Ski World Cup
Ekvatoriaal-Guinea	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Johannes Paulus II	Pope John Paul II
Fjodor Dostojevski	Fyodor Dostoyevsky
Amersfoort	Amersfoort
Kamtšatka poolsaar	Kamchatka Peninsula
Thbilisi	Tbilisi
Andrei Sahharov	Andrei Sakharov
Astaat	Astatine
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Tšuktši poolsaar	Chukchi Peninsula
Koomiks	Comics
Gambia	The Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Elevandiluurannik	Ivory Coast
Kamerun	Cameroon
Maribor	Maribor
Roheneemesaared	Cape Verde
Celje	Celje
Lesotho	Lesotho
Libeeria	Liberia
Koper	Koper
Liibüa	Libya
Aachen	Aachen
Madagaskar	Madagascar
Malawi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Triglav	Triglav
Mauritaania	Mauritania
Poolakad	Poles
Mauritius	Mauritius
Maroko	Morocco
Mosambiik	Mozambique
Namiibia	Namibia
Niger	Niger
Nigeeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Tsirkoonium	Zirconium
São Tomé ja Príncipe	São Tomé and Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seišellid	Seychelles
Carl von Linné	Carl Linnaeus
Sierra Leone	Sierra Leone
Somaalia	Somalia
Nioobium	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Julius Caesar	Julius Caesar
Sudaan	Sudan
Svaasimaa	Swaziland
Ivan Regen	Ivan Regen
Vikerkaar	Rainbow
Molübdeen	Molybdenum
Tehneetsium	Technetium
Hamburg	Hamburg
Metabolism	Metabolism
Narendra Modi	Narendra Modi
Immuunsüsteem	Immune system
Gujarat	Gujarat
Ontario järv	Lake Ontario
Evolutsioon	Evolution
Ühinenud Rahvaste Organisatsioon	United Nations
Ülemjärv	Lake Superior
Dante Alighieri	Dante Alighieri
Wilhelmsburg	Wilhelmsburg, Hamburg
Geoloogia	Geology
Ahmadabad	Ahmedabad
Geograafia	Geography
Süda	Heart
Peaaju	Brain
Nahk	Skin
Värvus	Color
Star Trek (sari)	Star Trek: The Original Series
Halvale teele	Breaking Bad
Nimisõna	Noun
Praha	Prague
Ruteenium	Ruthenium
Roodium	Rhodium
Sinine	Blue
Pallaadium	Palladium
Hõbe	Silver
Kaadmium	Cadmium
Star Trek	Star Trek
Limburgi provints (Holland)	Limburg (Netherlands)
Indium	Indium
Limburgi provints (Belgia)	Limburg (Belgium)
Tina	Tin
Uraan	Uranium
Antimon	Antimony
Telluur	Tellurium
Põhja-Brabant	North Brabant
Plutoonium	Plutonium
Jood	Iodine
Hemer	Hemer
Neptuunium	Neptunium
Ksenoon	Xenon
Anime	Anime
Tseesium	Caesium
Protaktiinium	Protactinium
Elektrilaeng	Electric charge
Baarium	Barium
Lääne-Flandria provints	West Flanders
Ida-Flandria	East Flanders
Toorium	Thorium
Antwerpeni provints	Antwerp (province)
Flaami Brabant	Flemish Brabant
Hafnium	Hafnium
Aktiinium	Actinium
Vallooni Brabant	Walloon Brabant
Tantaal	Tantalum
Bill Clinton	Bill Clinton
Namuri provints	Namur (province)
Luxembourg'i provints	Luxembourg (Belgium)
Liège'i provints	Liège (province)
Raadium	Radium
Hainaut	Hainaut (province)
Iserlohn	Iserlohn
Ahlen	Ahlen
Radoon	Radon
Lorraine	Lorraine (region)
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercurius	Mercury (mythology)
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne (region)
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
IAAF	International Association of Athletics Federations
Andhra Pradesh	Andhra Pradesh
Limburg	Limburg
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michigani järv	Lake Michigan
Goa osariik	Goa
Burgundia	Burgundy
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akvitaania	Aquitaine
Jammu ja Kashmir	Jammu and Kashmir
Puerto Rico	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Limousin
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Alam-Saksi	Lower Saxony
Nordrhein-Westfalen	North Rhine-Westphalia
Hessen	Hesse
Rheinland-Pfalz	Rhineland-Palatinate
Saarimaa	Saarland
Saksimaa	Saxony
John Lennon	John Lennon
Illinois	Illinois
Tüüringi	Thuringia
Saksi-Anhalt	Saxony-Anhalt
Põhja-Dakota	North Dakota
Brandenburg	Brandenburg
Bremeni liidumaa	Bremen (state)
Lombardia	Lombardy
Lõuna-Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Piemonte	Piedmont
Jeruusalemm	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valley
Washingtoni osariik	Washington (state)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Don	Don River (Russia)
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnium
Seaborgium	Seaborgium
Trentino-Alto Adige	Trentino-Alto Adige/Südtirol
India ookean	Indian Ocean
Veneto	Veneto
Kosovo	Kosovo
Kariibi meri	Caribbean Sea
Bohrium	Bohrium
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Cotti Alpid	Cottian Alps
Hassium	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguuria	Liguria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneerium	Meitnerium
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia Romagna	Emilia-Romagna
U Thant	U Thant
Colorado jõgi	Colorado River
Darmstadtium	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Penniini Alpid	Pennine Alps
Trygve Halvdan Lie	Trygve Lie
Röntgeenium	Roentgenium
Toscana	Tuscany
Leponti Alpid	Lepontine Alps
Leonard Cohen	Leonard Cohen
Reetia Alpid	Rhaetian Alps
Koperniitsium	Copernicium
Marche	Marche
Umbria	Umbria
Kategooria:!JuurKategooria	Category:Contents
Lazio	Lazio
Dolomiidid	Dolomites
Abruzzo	Abruzzo
Apenniinid	Apennine Mountains
Alpid	Alps
Jansenism	Jansenism
Karpaadid	Carpathian Mountains
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Kabe	Draughts
Dortmund	Dortmund
Gent	Ghent
Chicago	Chicago
The Beatles	The Beatles
Ununtrium	Ununtrium
Fleroovium	Flerovium
Ununpentium	Ununpentium
Livermoorium	Livermorium
Ununseptium	Ununseptium
Ununoktium	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Talv	Winter
Kevad	Spring (season)
Suvi	Summer
Sügis	Autumn
Võrdpäevsus	Equinox
Şaddām Ḩusayn	Saddam Hussein
Usāmah ibn Lādin	Osama bin Laden
Hispaania keel	Spanish language
Friedrich August von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Togliatti	Tolyatti
Pittsburgh	Pittsburgh
Ooper	Opera
Philadelphia	Philadelphia
Kolkata	Kolkata
Opel Astra	Opel Astra
Chennai	Chennai
