Aprika	Africa
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay, Soria
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Velilla de la Sierra	Velilla de la Sierra
Valdemaluque	Valdemaluque
San Felices	San Felices
Renieblas	Renieblas
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos (Soria)	Vizmanos
Tejado	Tejado
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza, Soria
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Santa María de las Hoyas	Santa María de las Hoyas
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
Gómara, Soria	Gómara, Soria
Barca, Soria	Barca, Soria
Niu Ailan	New Ireland Province
Kinsale	Kinsale
Cihuela	Cihuela
Pilosopi long Wes	Western philosophy
Trabadelo	Trabadelo
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Sepik
Westen Provins	Western Province (Papua New Guinea)
Sauten Hailans	Southern Highlands Province
Westen Hailans	Western Highlands Province
Isten Hailans	Eastern Highlands Province
Morobe	Morobe Province
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga Province
Manus	Manus Province
Sentral Provins	Central Province (Papua New Guinea)
Milen Be	Milne Bay Province
Gulf Provins	Gulf Province
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Kandep	Kandep District
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Val de San Lorenzo	Val de San Lorenzo
Villaquilambre	Villaquilambre
Marion Barry	Marion Barry
Valdemora	Valdemora
Ileksen bilong PNG palamen, 2007	Papua New Guinean general election, 2007
Lagaip Porgera	Lagaip-Porgera District
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Nebreda (Burgos)	Nebreda
Paul L. Smith	Paul L. Smith
Galbarros (Burgos)	Galbarros
Tony Ramos	Tony Ramos
Riego de la Vega	Riego de la Vega
Benuza	Benuza
Villamanín	Villamanín
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano
Hinojosa del Campo	Hinojosa del Campo
Budka Suflera	Budka Suflera
Mendi	Mendi
Vanimo	Vanimo
Kavieng	Kavieng
Maun Hagen	Mount Hagen
Kokopo	Kokopo
Popondetta	Popondetta
Lorengau	Lorengau
Wewak	Wewak
Tabubil	Tabubil
Rello	Rello
Casey Kasem	Casey Kasem
Rebollar	Rebollar, Soria
Garray	Garray
Iglesias (Burgos)	Iglesias, Province of Burgos
Plak bilong Ista Ailan	Flag of Easter Island
Bembibre	Bembibre
Gan	Gun
Takuu	Takuu Atoll
Ples balus	Airport
Pat Carroll	Pat Carroll (actress)
Kerema (taun)	Kerema
Tim Conway	Tim Conway
Nesenel Alains Pati	National Alliance Party (Papua New Guinea)
Lamington (maunten)	Mount Lamington
My Thuy	Mỹ Thủy
Cármenes	Cármenes
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Grup:Siamani	Category:Germany
Grup:Itali	Category:Italy
Grup:Ol Yunaitet Stet	Category:United States
Grup:Kanada	Category:Canada
Grup:Yunaitet Kingdom	Category:United Kingdom
Grup:Spen	Category:Spain
Grup:Siapan	Category:Japan
Grup:Ostrelia	Category:Australia
Grup:India	Category:India
Grup:Isrel	Category:Israel
Grup:Ijip	Category:Egypt
Grup:Niu Silan	Category:New Zealand
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Grup:Indonisia	Category:Indonesia
Grup:Irak	Category:Iraq
Grup:Polan	Category:Poland
Grup:Saut Koria	Category:South Korea
Grup:Tailan	Category:Thailand
Grup:Yukren	Category:Ukraine
Grup:Vietnam	Category:Vietnam
Grup:Ol pisin	Category:Birds
Grup:Ol Sayor	Category:Plants
Grup:Save long Laip	Category:Biology
Grup:Kemistri	Category:Chemistry
Grup:Histori	Category:History
Grup:Save long giraun	Category:Geography
Grup:Sosaiti	Category:Society
Grup:Lotu	Category:Religion
Grup:Saiens	Category:Science
Grup:Giraun	Category:Earth
Mun	Mun
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañán
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Zazuar (Burgos)	Zazuar
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Zael (Burgos)	Zael, Province of Burgos
Lerma (Burgos)	Lerma, Province of Burgos
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego
Oencia	Oencia
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Escobar de Campos	Escobar de Campos
Destriana	Destriana
Villagatón	Villagatón
Laguna Dalga	Laguna Dalga
Iglesiarrubia (Burgos)	Iglesiarrubia
Gumiel de Izán (Burgos)	Gumiel de Izán
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
La Gallega (Burgos)	La Gallega
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Oseja de Sajambre	Oseja de Sajambre
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes
Benavides	Benavides, León
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo, León
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Balboa (León)	Balboa, León
Ranko Matasović	Ranko Matasović
Riaño	Riaño, León
Villadecanes	Toral de los Vados
Truchas	Truchas, León
Kerema Distrik	Kerema District
Daulo Distrik	Daulo District
Kairuku Hiri	Kairuku-Hiri District
Wabag Central	Wabag District
Kopiam Ambum	Kompiam District
Regina Duarte	Regina Duarte
Ol tokples bilong Papua Niugini	Languages of Papua New Guinea
Grup:Ol pes bilong kliaim ol link	Category:Disambiguation pages
Grup:Pilosopi	Category:Philosophy
Grup:Saikolosi	Category:Psychology
Grup:Budisim	Category:Buddhism
Grup:Kristen	Category:Christianity
Grup:Islam	Category:Islam
Isar (Burgos)	Isar, Province of Burgos
Pangu Pati	Pangu Party
Histori long Papua Niugini	History of Papua New Guinea
Benedicta Boccoli	Benedicta Boccoli
Spencer Fox	Spencer Fox
Carolina Ferraz	Carolina Ferraz
Buka	Buka, Papua New Guinea
Wabag	Wabag
Thiago Lacerda	Thiago Lacerda
Walt Dohrn	Walt Dohrn
Conrad Bain	Conrad Bain
Angélica	Angélica (television host)
Grup:Ol pes i liklik tumas	Category:Stubs
Grup:Ol planet	Category:Planets
Grup:Kontinen	Category:Continents
Renata Sorrah	Renata Sorrah
Tok Abau	Abau language
Lenny Henry	Lenny Henry
Jim Meskimen	Jim Meskimen
Templet:Footer SolarSystem	Template:Solar System table
Buna	Buna, Papua New Guinea
Kerema, Estonia	Kerema, Estonia
Templet:T	Template:Tl
Templet:Babel bokis	Template:Userbox
Alarcia	Alarcia
Susan Egan	Susan Egan
Templet:Wikipediatokples	Template:Wikipedia languages
Grup:Ol kantri	Category:Countries
Grup:Ekonomikis	Category:Economics
Wikipedia:Administrators	Wikipedia:Administrators
Grup:Manmeri	Category:People
Wikipedia:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
Grup:Politikis	Category:Politics
Grup:Saiens bilong ai	Category:Optics
Ijip	Egypt
Templet:Bot	Template:Bot
Kanada	Canada
Grup:Hangari	Category:Hungary
Grup:Estonia	Category:Estonia
Grup:Gris	Category:Greece
Grup:Latvia	Category:Latvia
Grup:Aislan	Category:Iceland
Grup:Lituwenia	Category:Lithuania
Grup:Slovakia	Category:Slovakia
Wikipedia:Copyrights	Wikipedia:Copyrights
Templet:Flagicon	Template:Flagicon
Grup:Ol kantri long Yurop	Category:Countries in Europe
Grup:Yurop	Category:Europe
Templet:Template doc	Template:Documentation
Grup:Yusa tokples	Category:Wikipedians by language
Wikipedia:Faipela lo	Wikipedia:Five pillars
Sung Jae-gi	Sung Jae-gi
Templet:Softredirect	Template:Soft redirect
Templet:Delete	Template:Db
Grup:Ol tokples	Category:Languages
Grup:Grama	Category:Grammar
Solija	Soldier
Grup:Ol siti na taun bilong kantri	Category:Populated places by country
Templet:Navbox	Template:Navbox
Bikpela magani	Kangaroo
Templet:Shortcut	Template:Shortcut
Lukautim gut ol Papua Niugini	Conservation in Papua New Guinea
Nina Andrycz	Nina Andrycz
Templet:!-	Template:!-
Templet:!!	Template:!!
Templet:Tnavbar	Template:Navbar
Templet:Loop	Template:Loop
Templet:Unicode	Template:Unicode
Templet:Okina	Template:Okina
Templet:Small	Template:Small
Templet:Clear	Template:Clear
Templet:Color	Template:Color
Templet:Nowrap	Template:Nowrap
Templet:Anchor	Template:Anchor
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipedia:Vital articles
Grup:Elektroniks	Category:Electronics
Templet:Babel	Template:Babel
Templet:Commons	Template:Commons
Templet:Reflist	Template:Reflist
Templet:Stub	Template:Stub
Templet:User ar-1	Template:User ar-1
Templet:User ast-1	Template:User ast-1
Templet:User az	Template:User az
Templet:Yusa eo-1	Template:User eo-1
Templet:See also	Template:See also
Templet:User da	Template:User da
Templet:User ca-1	Template:User ca-1
Templet:User cs-1	Template:User cs-1
Templet:User eo-3	Template:User eo-3
Templet:User de	Template:User de
Templet:User de-1	Template:User de-1
Templet:User el	Template:User el
Templet:User es	Template:User es
Templet:User de-3	Template:User de-3
Templet:User en-3	Template:User en-3
Templet:User en-1	Template:User en-1
Templet:User en-2	Template:User en-2
Templet:User eo-2	Template:User eo-2
Templet:User en-4	Template:User en-4
Templet:User en-0	Template:User en-0
Templet:User en	Template:User en
Templet:User de-2	Template:User de-2
Templet:User es-1	Template:User es-1
Templet:User fa	Template:User fa
Templet:User fr-1	Template:User fr-1
Grup:Laip	Category:Life
Templet:User gl-1	Template:User gl-1
Templet:User hu-N	Template:User hu
Templet:User sk	Template:User sk
Templet:User tr-2	Template:User tr-2
Templet:User fr-2	Template:User fr-2
Templet:User ja	Template:User ja
Templet:User ja-1	Template:User ja-1
Templet:User it-1	Template:User it-1
Templet:User fr	Template:User fr
Templet:Unsigned	Template:Unsigned
Goilala	Goilala District
Goran Švob	Goran Švob
Templet:Country data Tajikistan	Template:Country data Tajikistan
Grup:Azerbaijan	Category:Azerbaijan
Grup:Esia	Category:Asia
Grup:Soria provins	Category:Province of Soria
Grup:Castile na León	Category:Castile and León
Templet:Country data Kuwait	Template:Country data Kuwait
Templet:Mod	Template:Mod
Templet:ISO639-3 documentation	Template:Infobox language/codelist
Templet:User es-2	Template:User es-2
Templet:NewUser	Template:Welcome
Templet:Ref-ru	Template:Ru icon
Templet:WikipediaSista	Template:Wikipedia's sister projects
Templet:Country data Belgium	Template:Country data Belgium
Templet:Country data Slovakia	Template:Country data Slovakia
Templet:Country data El Salvador	Template:Country data El Salvador
Templet:Country data Panama	Template:Country data Panama
Templet:Navy/core	Template:Navy/core
Templet:Country data Tunisia	Template:Country data Tunisia
Templet:Country data Czech Republic	Template:Country data Czech Republic
Templet:Country data Cuba	Template:Country data Cuba
Templet:Country data Indonesia	Template:Country data Indonesia
Templet:Country data Senegal	Template:Country data Senegal
Templet:Country data Madagascar	Template:Country data Madagascar
Templet:Country data Albania	Template:Country data Albania
Templet:Country data Macau	Template:Country data Macau
Templet:Country data Kenya	Template:Country data Kenya
Templet:Country data Republic of China	Template:Country data Republic of China
Templet:Country data Nicaragua	Template:Country data Nicaragua
Templet:Country data Honduras	Template:Country data Honduras
Templet:Country data Uzbekistan	Template:Country data Uzbekistan
Templet:Country data Dominican Republic	Template:Country data Dominican Republic
Templet:Country data Togo	Template:Country data Togo
Templet:Country data Guatemala	Template:Country data Guatemala
Grup:Lingwistikis	Category:Linguistics
Templet:Country data Haiti	Template:Country data Haiti
Templet:Ol mun na de bilong yia	Template:Months
Templet:Country data Mali	Template:Country data Mali
Templet:Country data Iceland	Template:Country data Iceland
Templet:Country data Poland	Template:Country data Poland
Guari, Central	Guari Rural LLG
Templet:ITA	Template:ITA
Templet:Country data Bulgaria	Template:Country data Bulgaria
Templet:Country data Bosnia and Herzegovina	Template:Country data Bosnia and Herzegovina
Templet:Cc-by-sa-3.0	Template:Cc-by-sa-3.0
Grup:Yusa fr-1	Category:User fr-1
Templet:Country data Norway	Template:Country data Norway
Templet:Country data South Africa	Template:Country data South Africa
Templet:Country showdata	Template:Country showdata
Templet:Country data Trinidad and Tobago	Template:Country data Trinidad and Tobago
Templet:Cat handler	Template:Category handler
Templet:Country data Sri Lanka	Template:Country data Sri Lanka
Templet:Country data Mexico	Template:Country data Mexico
Templet:Country data Greece	Template:Country data Greece
Templet:Country data Luxembourg	Template:Country data Luxembourg
Templet:Country data Saudi Arabia	Template:Country data Saudi Arabia
Templet:Country data Croatia	Template:Country data Croatia
Templet:Country data United Arab Emirates	Template:Country data United Arab Emirates
Templet:Country data U.S. Virgin Islands	Template:Country data U.S. Virgin Islands
Templet:Country data Morocco	Template:Country data Morocco
Templet:Collapsible list	Template:Collapsible list
Templet:Country data Ostrelia	Template:Country data Australia
Templet:Country data France	Template:Country data France
Templet:Ambox	Template:Ambox
Templet:Navigation templates	Template:Navigation templates
Templet:Fossil range/bar	Template:Fossil range/bar
Templet:Rnd	Template:Rnd
Templet:Steady	Template:Steady
Templet:Infobokis Kantri	Template:Infobox country
Templet:Column-count	Template:Column-count
Templet:Country data Laos	Template:Country data Laos
Templet:Fi icon	Template:Fi icon
Templet:Collapsible option	Template:Collapsible option
Templet:Str left	Template:Str left
Templet:Country data Nepal	Template:Country data Nepal
Templet:Country data Finland	Template:Country data Finland
Templet:Country data Japan	Template:Country data Japan
Templet:Country data Netherlands	Template:Country data Netherlands
Templet:Cite journal	Template:Cite journal
Templet:Country data Azerbaijan	Template:Country data Azerbaijan
Templet:User es-0	Template:User es-0
Templet:Country data Libya	Template:Country data Libya
Grup:Yusa en-4	Category:User en-4
Grup:Yusa en	Category:User en
Templet:Ordinal	Template:Ordinal
Grup:Yusa en-2	Category:User en-2
Templet:Infobokis	Template:Infobox
Templet:Navy	Template:Navy
Templet:Yusa eo	Template:User eo
Templet:User zh	Template:User zh
Templet:Documentation/start box	Template:Documentation/start box
Templet:Documentation/end box2	Template:Documentation/end box2
Templet:Documentation/start box2	Template:Documentation/start box2
Templet:Template other	Template:Template other
Templet:Legend	Template:Legend
Templet:Country data Italy	Template:Country data Italy
Templet:Ombox	Template:Ombox
Templet:Cc-by-2.5	Template:Cc-by-2.5
Templet:Kantri data	Template:Country data
Templet:Pp-template	Template:Pp-template
Templet:·	Template:·
Templet:Ol daireksion	Template:Compass direction
Templet:Wiktionary	Template:Wiktionary
Templet:Mbox templates	Template:Mbox templates (small)
Templet:Country data Sweden	Template:Country data Sweden
Templet:Ref-lang	Template:Link language
Grup:Egrikalsa	Category:Agriculture
Templet:Infobokis Setelmen	Template:Infobox settlement
Templet:User ru	Template:User ru
Templet:IPA	Template:IPA
Grup:Ol planet bilong Sola Sistem	Category:Planets of the Solar System
Templet:Country data Costa Rica	Template:Country data Costa Rica
Templet:Country data India	Template:Country data India
Grup:Language user templates	Category:Language user templates
Templet:Toktok bilong nem	Template:Language with name
Templet:Babel bokis-N	Template:User blank
Templet:Rellink	Template:Rellink
Templet:Babel bokis-1	Template:User blank-1
Templet:MONTHNAME	Template:MONTHNAME
Wikipedia:Buk Bilong GFDL	Wikipedia:Text of the GNU Free Documentation License
Templet:Commons category-inline	Template:Commons category-inline
Templet:Cc-by-sa-2.5	Template:Cc-by-sa-2.5
Templet:Country data European Union	Template:Country data European Union
Templet:Country data Portugal	Template:Country data Portugal
Templet:MONTHNUMBER	Template:MONTHNUMBER
Templet:Taxobox colour	Template:Taxobox colour
Grup:Kantri data bilong ol plak templet	Category:Country data templates
Templet:Namespace detect	Template:Namespace detect
Templet:PD-USGov	Template:PD-USGov
Templet:Fmbox	Template:Fmbox
Templet:Country data China	Template:Country data China
Templet:Country data Inglan	Template:Country data England
Templet:Country data Turkey	Template:Country data Turkey
Templet:Country data Switzerland	Template:Country data Switzerland
Templet:Tok-cs	Template:Lang-cs
Templet:Country data Philippines	Template:Country data Philippines
Templet:Country data Malaysia	Template:Country data Malaysia
Templet:Country data Zimbabwe	Template:Country data Zimbabwe
Templet:Infobokis Plak	Template:Infobox flag
Templet:Infobokis Planet	Template:Infobox planet
Grup:Politikis long kontinen	Category:Politics by continent
Templet:Ethnologue	Template:Ethnologue16
Templet:Infobokis Websait	Template:Infobox website
Templet:SCO	Template:SCO
Templet:Documentation subpage	Template:Documentation subpage
Templet:CcTLD	Template:CcTLD
Templet:POL	Template:POL
Templet:Div col	Template:Div col
Templet:Tok-de	Template:Lang-de
Templet:Cc-by-3.0	Template:Cc-by-3.0
Templet:Tok-la	Template:Lang-la
Templet:Country flag2	Template:Flag/core
Templet:Harim stori	Template:Spoken Wikipedia
Templet:Unreferenced	Template:Unreferenced
Templet:Babel bokis-4	Template:User blank-4
Templet:Year nav	Template:Year nav
Grup:Ples balus long Vietnam	Category:Airports in Vietnam
Templet:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
Templet:User pl-1	Template:User pl-1
Templet:Country flagcountry2	Template:Flagcountry/core
Templet:Cc-by-1.0	Template:Cc-by-1.0
Templet:Interwikitmp-grp	Template:Interwikitmp-grp
Templet:Transl	Template:Transl
Templet:Infobokis kantri bilong bipo	Template:Infobox former country
Templet:Redirect	Template:Redirect
Templet:Age in days	Template:Age in days
Templet:Cc-by-sa-2.0	Template:Cc-by-sa-2.0
Templet:JULIANDAY	Template:JULIANDAY
Templet:FIAV	Template:FIAV
Templet:UNO	Template:UNO
Templet:Infobokis Kontinen	Template:Infobox continent
Templet:User de-0	Template:User de-0
Templet:Ol de bilong dispela wik	Template:Days of the week
Templet:Nobold	Template:Nobold
Templet:Gregorian serial date	Template:Gregorian serial date
Grup:Yusa ja-N	Category:User ja-N
Templet:Cc-by-sa-2.5,2.0,1.0	Template:Cc-by-sa-2.5,2.0,1.0
Templet:Tok-ru	Template:Lang-ru
Templet:Br separated entries	Template:Br separated entries
Templet:Disambig	Template:Disambiguation
Templet:Country data Hong Kong	Template:Country data Hong Kong
Grup:Niuspepa	Category:Newspapers
Templet:Para	Template:Para
Templet:User no	Template:User no
Jeff Bleich	Jeffrey L. Bleich
Templet:Tok-en	Template:Lang-en
Templet:Tlf	Template:Tlf
Templet:Flag template documentation	Template:Flag template documentation
Templet:PD-user	Template:PD-user
Templet:Babel bokis-3	Template:User blank-3
Templet:Mp	Template:Mp
Templet:Tn	Template:Tn
Grup:Ol taun	Category:Towns
Templet:Country data Qatar	Template:Country data Qatar
Templet:User it-2	Template:User it-2
Templet:Ref-de	Template:De icon
Templet:Geological range	Template:Geological range
Templet:Country data Israel	Template:Country data Israel
Templet:Nts	Template:Number table sorting
Templet:Country data Pakistan	Template:Country data Pakistan
Templet:Country data Ghana	Template:Country data Ghana
Templet:Country data Romania	Template:Country data Romania
Templet:Country data South Korea	Template:Country data South Korea
Templet:Ileksen-tebol	Template:Election table
Templet:Convert	Template:Convert
Templet:InterWiki	Template:InterWiki
Templet:FranPesolIntawiki	Template:Main Page interwikis
Templet:UF-coord-classes	Template:UF-coord-classes
Templet:Coord	Template:Coord
Templet:Europe topic	Template:Sovereign states of Europe
Grup:Yusa sk	Category:User sk
Grup:Yusa eo	Category:User eo
Grup:Yusa fr	Category:User fr
Grup:Yusa hu-N	Category:User hu-N
Grup:Yusa ja	Category:User ja
Grup:Yusa th	Category:User th
Grup:Yusa fr-3	Category:User fr-3
Grup:Yusa ja-3	Category:User ja-3
Grup:Yusa pl-1	Category:User pl-1
Grup:Yusa hu-4	Category:User hu-4
Grup:Yusa fr-2	Category:User fr-2
Grup:Yusa hu-2	Category:User hu-2
Grup:Yusa it-2	Category:User it-2
Grup:Yusa ja-2	Category:User ja-2
Grup:Yusa fr-N	Category:User fr-N
Grup:Yusa ru-N	Category:User ru-N
Grup:Ol kapitol bilong Osenia	Category:Capitals in Oceania
Grup:ISO 639 name from code templates	Category:ISO 639 name from code templates
Templet:Cref2	Template:Cref2
Grup:Yusa bi	Category:User bi
Grup:Yusa bi-1	Category:User bi-1
Grup:Yusa bi-2	Category:User bi-2
Grup:Yusa bi-3	Category:User bi-3
Grup:Yusa bi-N	Category:User bi-N
Grup:Yusa ca	Category:User ca
Grup:Yusa ca-1	Category:User ca-1
Grup:Ailan	Category:Islands
Grup:Quang Binh provins	Category:Quang Binh Province
Grup:Yusa sk-N	Category:User sk-N
Grup:Yusa de	Category:User de
Grup:Yusa de-2	Category:User de-2
Grup:Yusa de-3	Category:User de-3
Grup:Yusa de-N	Category:User de-N
Grup:Yusa dsb	Category:User dsb
Grup:Yusa dsb-1	Category:User dsb-1
Grup:Yusa el	Category:User el
Grup:Yusa el-N	Category:User el-N
Grup:Yusa en-3	Category:User en-3
Grup:Yusa en-N	Category:User en-N
Grup:Yusa eo-1	Category:User eo-1
Grup:Yusa eo-2	Category:User eo-2
Grup:Yusa eo-3	Category:User eo-3
Grup:Yusa eo-4	Category:User eo-4
Grup:Yusa es	Category:User es
Grup:Yusa es-1	Category:User es-1
Grup:Yusa eu	Category:User eu
Grup:Yusa eu-1	Category:User eu-1
Grup:Yusa hsb	Category:User hsb
Grup:Yusa hsb-1	Category:User hsb-1
Grup:Yusa hu	Category:User hu
Grup:Yusa hu-1	Category:User hu-1
Grup:Yusa hu-3	Category:User hu-3
Grup:Politikis long kantri	Category:Politics by country
Templet:Country data Germany	Template:Country data Germany
Templet:Country data United Kingdom	Template:Country data United Kingdom
Templet:Cl	Template:Cl
Templet:Country data Skotlan	Template:Country data Scotland
Grup:Yusa it	Category:User it
Grup:Yusa it-1	Category:User it-1
Grup:Yusa ja-1	Category:User ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Category:States of the United States
Templet:Ol taun long Soria	Template:Municipalities in Soria
Grup:Ol provins bilong Vietnam	Category:Provinces of Vietnam
Templet:Tantok	Template:Translation WIP
Templet:Ol provins bilong Papua Niugini	Template:Provinces of Papua New Guinea
Grup:Ol provins bilong Papua Niugini	Category:Provinces of Papua New Guinea
Grup:Lukluk bilong manmeri	Category:Vision
Grup:Yusa ru-1	Category:User ru-1
Wikipedia:Babel	Wikipedia:Babel
Templet:Tdeprecated	Template:Deprecated template
Templet:Cc-by-sa-1.0	Template:Cc-by-sa-1.0
Templet:·wrap	Template:·wrap
Templet:User sv-1	Template:User sv-1
Templet:Babel bokis-2	Template:User blank-2
Templet:MoS-guideline	Template:MoS-guideline
Grup:Ol siti na taun bilong Polan	Category:Cities and towns in Poland
Naimanya Pii	Lembena language
Templet:Country data Brazil	Template:Country data Brazil
Grup:7	Category:7
Grup:Corvida	Category:Corvida
Templet:PD-old-70	Template:PD-old-70
Grup:Paradisaeidae	Category:Paradisaeidae
Grup:Saiens long Manmeri na Ples	Category:Social sciences
Templet:Country data Hungary	Template:Country data Hungary
Grup:Ol tokples bilong Esia	Category:Languages of Asia
Grup:Ol kantri long Aprika	Category:Countries in Africa
Grup:Yusa ru	Category:User ru
Grup:Yusa ru-2	Category:User ru-2
Grup:Yusa ru-3	Category:User ru-3
Grup:Yusa ru-4	Category:User ru-4
Grup:Yusa th-1	Category:User th-1
Grup:Yusa tpi	Category:User tpi
Grup:Yusa tpi-1	Category:User tpi-1
Grup:Yusa tpi-2	Category:User tpi-2
Grup:Yusa tpi-3	Category:User tpi-3
Grup:Yusa tpi-4	Category:User tpi-4
Grup:Yusa tpi-N	Category:User tpi-N
Grup:Yusa vi	Category:User vi
Templet:Ref-en	Template:En icon
Templet:Spaces	Template:Spaces
Templet:Lang	Template:Lang
Templet:Template example row	Template:Template example row
Templet:Nowrap end	Template:Nowrap end
Templet:Tokpisin rank	Template:Anglicise rank
Templet:As of	Template:As of
Templet:Begin flag gallery	Template:Begin flag gallery
Templet:User hsb-1	Template:User hsb-1
Templet:Coord/dec2dms/dm	Template:Coord/dec2dms/dm
Grup:Vemont	Category:Vermont
Grup:Kolorado	Category:Colorado
Templet:Taxobox colour scheme	Template:Taxobox colour scheme
Templet:Fossil range/marker	Template:Fossil range/marker
