Afrika	Africa
Badweynta Hindiya	Indian Ocean
Kosofo	Kosovo
Badda Karabiya	Caribbean Sea
Bohriyaam	Bohrium
Hasiyaam	Hassium
Meitneriyaam	Meitnerium
Darmstadtiyaam	Darmstadtium
Roentgeniyaam	Roentgenium
Dortmund	Dortmund
Ununtriyaam	Ununtrium
Lifermoriyaam	Livermorium
Ununoktiyaam	Ununoctium
Maastricht	Maastricht
Jiilaal	Winter
Gu	Spring (season)
Xagaa	Summer
Dayr	Autumn
Sadaam Xuseen	Saddam Hussein
Usaama bin Laadin	Osama bin Laden
Caarcaaro	Spider
Miro	Fruit
Lacagta	Money
Xasharaad	Insect
Faladimir Lenin	Vladimir Lenin
Uetersen	Uetersen
Augustus Octavian	Augustus
Microsoft Windows	Microsoft Windows
Jibraltaar	Gibraltar
Nokia	Nokia
Baabuur	Car
Juventus FC	Juventus F.C.
Texas	Texas
Bruno Mars	Bruno Mars
Sasiiliya	Sicily
Sardiiniya	Sardinia
Fuuqbax	Crohn's disease
Buenos Aires	Buenos Aires
Tokyo	Tokyo
Barcelona	Barcelona
Abidjan	Abidjan
Minnesota	Minnesota
Baqdaad	Baghdad
Isuduwaha Waqtiga Caalamiga	Coordinated Universal Time
AC Milan	A.C. Milan
Buuri	Tobacco
Internet Explorer	Internet Explorer
Sigaar	Cigarette
Nayl armistaroong	Neil Armstrong
Maxamed Faarax	Mo Farah
München	Munich
Fiyena	Vienna
Kobanhaygan	Copenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Bratislava	Bratislava
Budapest	Budapest
Frankfurt	Frankfurt
Lanthanum	Lanthanum
Kitaabka quduska	Bible
Phnom Penh	Phnom Penh
Ho Chi Minh City	Ho Chi Minh City
Luteetiyaam	Lutetium
Mida Rumeed Kaniisada Ciise	True Jesus Church
Ingiriis (luqad)	English language
Bangkok	Bangkok
Dong Hoi	Đồng Hới
Concepción	Concepción, Chile
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Dayaxa Cirjeex	Moons of Jupiter
Juba	Juba
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartuum	Khartoum
Dayaxa raage	Moons of Saturn
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
Charles De Gaulle	Charles de Gaulle
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1997	1997
1998	1998
1999	1999
1918	1918
Cunto	Food
Mas	Snake
Dayaxa docay	Moons of Neptune
Dashiishe	January 1
1920	1920
1919	1919
1921	1921
Georges Pompidou	Georges Pompidou
Malmö	Malmö
Birmingham	Birmingham
Microsoft	Microsoft
Borotoon	Proton
Kurów	Kurów
Kimisteri	Chemistry
Robin van Persie	Robin van Persie
27	27
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
Muqdisho	Mogadishu
Sana'a	Sana'a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
18 Abriil	April 18
25 Abriil	April 25
26 Abriil	April 26
Dayax	Natural satellite
Kristian Wulff	Christian Wulff
15 Meey	May 15
SSC Napoli	S.S.C. Napoli
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
27 Juun	June 27
Kubadda Cagta	Association football
AS Roma	A.S. Roma
1963	1963
Holokost	The Holocaust
1962	1962
Michael Jackson	Michael Jackson
Bogota	Bogotá
29 Diseembar	December 29
Quito	Quito
Adhi	Goat
21 Oktoobar	October 21
Paramaribo	Paramaribo
Wiil	Boy
Gabar	Girl
Kanbera	Canberra
Sydney	Sydney
Cagaar	Green
Gaduud	Red
Perth	Perth
Galbeed Australia (gobol)	Western Australia
New South Wales	New South Wales
Wabiga Niil	Nile
Jini	Jinn
Wabiga Nijer	Niger River
Rabat	Rabat
Algiers	Algiers
Tunis	Tunis
Triboli	Tripoli
Rede Globo	Rede Globo
Jabuuti (magaalo)	Djibouti (city)
Tahraan	Tehran
Addis Abeba	Addis Ababa
Ankara	Ankara
Asmara	Asmara
Nijamiina	N'Djamena
Niamey	Niamey
Nawakshot	Nouakchott
1961	1961
Bamako	Bamako
Belgaraad	Belgrade
Dakar	Dakar
Banjul	Banjul
Konakri	Conakry
Bissau	Bissau
Category:Template	Category:Wikipedia templates
Monrofia	Monrovia
Braia	Praia
1960	1960
Akara	Accra
Dimishiq	Damascus
Yamoussoukro	Yamoussoukro
Faransiis Guyana	French Guiana
Ougadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lome	Lomé
Borto-Novo	Porto-Novo
Yawunde	Yaoundé
Malabo	Malabo
Librefille	Libreville
Bangui	Bangui
Kinshasa	Kinshasa
Barasafille	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali
Dodoma	Dodoma
Nayroobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Qorax madoobaad	Solar eclipse
Mabuto	Maputo
Kambaala	Kampala
Luanda	Luanda
Moroni	Moroni, Comoros
Mabane	Mbabane
Maseru	Maseru
Dugsi	School
Antananarifo	Antananarivo
Jaamacad	University
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretoria
Bort Lois	Port Louis
Sao Tome	São Tomé
Windhoek	Windhoek
Wikipedia:Bacaadka	Wikipedia:Sandbox
Fiktoria	Victoria, Seychelles
Guri	House
Kombuyuuterka Dhabta	Laptop
Computer Hardware	Computer hardware
Aljebra	Algebra
Webiyada	River
Osasko	Osasco
Garoonka ee Dong Hoi	Dong Hoi Airport
Curitiba	Curitiba
Pangea	Pangaea
Keyn	Forest
Anne Frank	Anne Frank
Shilin Soomaali	Somali shilling
Confucius	Confucius
Category:Taariikhda Ciraaq	Category:History of Iraq
Corbin Bleu	Corbin Bleu
Category:Xisaab	Category:Mathematics
Jasiiradaha Feroe	Faroe Islands
Maxamed Morsi	Mohamed Morsi
Euro	Euro
Bada Dhexe	Mediterranean Sea
Haashim	Banu Hashim
Masiixiyad	Christianity
Windows 8	Windows 8
Template:Dalalka Aasiya	Template:Countries of Asia
Bariis	Rice
Céline Dion	Celine Dion
Qaaradaha	Continent
Adelaide	Adelaide
Shimbir	Bird
Template:Islaam	Template:Islam
Bilaha	Month
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
Jeejniya	Chechnya
1949	1949
Garoosni	Grozny
Huang Xianfan	Huang Xianfan
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Encyclopedia	Encyclopedia
DVD	DVD
Bogga Hore	Main Page
CPU	Central processing unit
1959	1959
Template:Maqaal Cusub	Template:Good article
Dhesibel	Decibel
Kubadda Koleyga	Basketball
Kab town	Cape Town
Bada Qaswiin	Caspian Sea
Harta Fiktooriya	Lake Victoria
Harada malaawi	Lake Malawi
Salvador Dalí	Salvador Dalí
Finsent van Gogh	Vincent van Gogh
Hokusai	Hokusai
Mishelangelo	Michelangelo
Bablo bekaso	Pablo Picasso
Rembrandt van Rijn	Rembrandt
Eminem	Eminem
Bas	Bus
Baabiyloon	Babylon
Katalooniya	Catalonia
Samarqanda	Samarkand
Bukhaara	Bukhara
Mekka	Mecca
Che Guvara	Che Guevara
Mao Zedong	Mao Zedong
Kabul	Kabul
Luqada Tamil-ka	Tamil language
Filasoofiyada	Philosophy
50 Cent	50 Cent
Dr. Dre	Dr. Dre
Snoop Dogg	Snoop Dogg
Shaax	Tea
Tupac Shakur	Tupac Shakur
Xidig-dhul	Hedgehog
1507	1507
Shuuciyad	Communism
Amadeyo afogadro	Avogadro constant
Liberalinimo	Liberalism
Wadan	Country
Qaran	Nation
Jow Bayden	Joe Biden
Hillary Clinton	Hillary Rodham Clinton
Dabaal	Human swimming
Category:Xiddigis	Category:Astronomy
1542	1542
1543	1543
Jaan Jaak Rosoo	Jean-Jacques Rousseau
Saxaara	Sahara
Hambeegar	Hamburger
Shaydaanka	Devil
1606	1606
Maktabad	Library
FC Barcelona	FC Barcelona
Midowga afrika	African Union
Siyaasadda,	Politics
Jaamacada Carabta	Arab League
Dimoqraadi	Democracy
Hay'ada laanqayrta cas	International Red Cross and Red Crescent Movement
Gaashaanbuurta NATO	NATO
Qin Shi Huang	Qin Shi Huang
Bariga Dhexe	Middle East
Jamhuriyadda	Republic
Hantiwadaag	Socialism
Dowlad	State (polity)
Xisbi	Political party
Kilimanjaaro	Mount Kilimanjaro
Kristoffer Kolombus	Christopher Columbus
Rixlaat Ibn Batuuta	Ibn Battuta
Kanaalka Banama	Panama Canal
Dheg	Ear
San	Nose
Muruq	Muscle
Hees	Song
Kaneeco	Mosquito
Libaax Badeed	Shark
Geel	Camel
Naasley	Mammal
Maroodi	Elephant
Quraansho	Ant
Shini	Bee
Software	Software
Af-Holandees	Dutch language
DNA	DNA
Nuucyada dhirta	Species
Hooyo	Mother
Aabe	Father
Waalid	Parent
Gaadiidka Dadweynaha	Transport
Debian	Debian
1669	1669
1670	1670
1671	1671
1672	1672
1673	1673
1674	1674
1675	1675
1676	1676
1677	1677
1678	1678
1679	1679
1680	1680
1856	1856
Af-Ruush	Russian language
Faladimir Putin	Vladimir Putin
Dastuur	Constitution
Dalalka Kommonwels	Commonwealth of Nations
OPEC	OPEC
Rooti	Bread
UNESCO	UNESCO
Baaqa Caalamiga ee Xuquuqda Aadanaha	Universal Declaration of Human Rights
1796	1796
1797	1797
1899	1889
Sawaaxili	Swahili language
1893	1893
Unug	Cell (biology)
Dhiig	Blood
Qolfoof	Skeleton
Sambab	Lung
Hab Neefsi	Respiratory system
Habdhiska Taranka	Reproductive system
Af-Romani	Romanian language
Roob	Rain
Dhulgariir	Earthquake
Ibn Siinaa	Avicenna
Nelson Mandela	Nelson Mandela
Martin Luther King,	Martin Luther King Jr.
Ensiim	Enzyme
Borotiin	Protein
Daad	Flood
Tsunami	Tsunami
Fulkaano	Volcano
Caad	Cloud
Tirignoometeri	Trigonometry
Joomitiri	Geometry
Qarnigii 2aad	2nd century
Qarnigii 1aad	1st century
Dhaqaale	Economics
Warshad	Industry
Farta laatiinka	Latin script
Suugaan	Literature
Category:Faransiiska	Category:France
Category:Muusig	Category:Music
Kun Habeen Iyo Habeen	One Thousand and One Nights
Category:Suugaanta	Category:Literature
Category:Gabayada	Category:Poetry
Waxbarasho	Education
Qoys	Family
Hugo Chavez	Hugo Chávez
Nin	Man
Guur	Marriage
Midab Takoor	Racism
Adoon	Slavery
Dagaal Sokeeye	Civil war
Cumar	Umar
Suldaan Suleymaan kan 1aad	Suleiman the Magnificent
Bun	Coffee
Caano	Milk
Buur	Mountain
Salaaxudiin al-Ayyuubi	Saladin
Karaaji	Karachi
Riyaal Madrid	Real Madrid C.F.
Dagaalkii qaboobaa	Cold War
Seoul	Seoul
Tomas Edison	Thomas Edison
Michael Faraday	Michael Faraday
Internet protocol	Internet Protocol
HTML	HTML
Af-Iswiidhan	Swedish language
Muxamed bin Muuse al-Khwarizmī	Muḥammad ibn Mūsā al-Khwārizmī
Karl Marx	Karl Marx
Nabi Muuse C.S.	Moses
Aqoon	Knowledge
Naas	Breast
Atom	Atom
Ileys	Light
Af Giriig	Greek language
Operating system	Operating system
Naf	Soul
Af-Faarsi	Persian language
Diin	Religion
Nabi Ibraahiim C.S.	Abraham
Saladh	Salad
Yuhuuda	Judaism
Af-Hebrow	Hebrew language
Ibn Khalduun	Ibn Khaldun
Beer (xubin)	Liver
Bakeyle	Rabbit
Cilminafsi	Psychology
Badweyn	Ocean
Gootama buuda	Gautama Buddha
Muxamed	Muhammad
BBC	BBC
Shahrukh Khan	Shah Rukh Khan
Al-Ghazaali	Al-Ghazali
Gerald Ford	Gerald Ford
Shiica	Shia Islam
Suufi	Sufism
Carab	Tongue
Chelsea FC	Chelsea F.C.
Arsenal F.C.	Arsenal F.C.
Ganac	Pancreas
Qolfoofta Dadka	Human skeleton
Qoor	Neck
Af	Mouth
Elizabeth II	Elizabeth II
Caajiska	Fatigue (medical)
Schiphol	Amsterdam Airport Schiphol
Haarlem	Haarlem
Ronald Reagan	Ronald Reagan
Af-Zulu	Zulu language
Foosto	Barrel
Sabool	Poverty
Gordon Brown	Gordon Brown
Jadwalka Curiyayaasha	Periodic table
Robert Mugabe	Robert Mugabe
Xamaam(Shinbir)	Columbidae
Bakteeri	Bacteria
Geed	Tree
Canab	Grape
Malab	Honey
Hilib	Meat
Barandho	Potato
Sonkor	Sugar
Khudaar	Vegetable
Robot	Robot
Makiinad	Machine
Saxaafad	Journalism
Taleefoon	Telephone
Dhaqan	Culture
RNA	RNA
Xidigisyahan	Astronomer
Habdhiska Wareega Dhiiga	Circulatory system
Mindhicirka weyn	Large intestine
Mindhicirka yar	Small intestine
Ibn Haytham	Alhazen
Isku dhis	Chemical compound
Sharci dajinta	Legislature
Windows 7	Windows 7
Boqolleey	Percentage
Windows Vista	Windows Vista
Fidel Castaro	Fidel Castro
Category:Barasiil	Category:Brazil
Tamar	Energy
Abala-abalayn bayoloji	Biological classification
Awood	Force
Cufisjiidad	Gravity
Cuf	Mass
Bir	Metal
Hawo	Gas
Dareere	Liquid
Adke	Solid
Bushkuleeti	Bicycle
Markab	Ship
Beeraha	Agriculture
Cudbi	Cotton
Tiknolajiga nano	Nanotechnology
Xaansho	Paper
Bac	Plastic
Bed	Area
Lambar	Number
Kiilogaraam	Kilogram
Cristiano Ronaldo	Cristiano Ronaldo
Mitir	Metre
Ilbiriqsi	Second
Galley	Maize
Kelvinka	Kelvin
Dalalka	List of sovereign states
Ludwik Lejzer Zamenhof	L. L. Zamenhof
Mesobotaamiya	Mesopotamia
Buti	Bear
Britney Spears	Britney Spears
Habdhiska Dheefshiidka	Digestion
Habka Samayska Cuntada	Photosynthesis
Kansar	Cancer
Boqortooyo	King
Qamadi	Wheat
Kalandar	Calendar
Dhagool	Hearing loss
Cudur	Disease
Niikotiin	Nicotine
Malaariyo	Malaria
Cunto xumida	Malnutrition
Benseliin	Penicillin
Nantes	Nantes
AIDS	HIV/AIDS
Sokorow	Diabetes mellitus
Template:Location map Yemen	Module:Location map/data/Yemen
Mona Lisa	Mona Lisa
Horgale (Fiisikis)	International System of Units
Burj Khalifa	Burj Khalifa
Gidaarka Shiinaha	Great Wall of China
Abyoone	Integer
Kubad	Sphere
Dawladii Cabaasiyiinta	Abbasid Caliphate
Dawlada Cosmaniya	Ottoman Empire
Koronto	Electricity
Seef	Sword
Pawlo Kuwelho	Paulo Coelho
Stephan El Shaarawy	Stephan El Shaarawy
Liin	Orange (fruit)
Af-Soomaali	Somali language
Aljaziira	Al Jazeera
Hal-xeraale	Puzzle
Carabi	Arabic language
Xorta ah	Free content
Baar	Arecaceae
Dollar	Dollar
Ra'iisul wasaare	Prime minister
Araga	Optics
Calan	Flag
Qalin Qori	Pencil
Saabaan	Furniture
Template:Location map Sudan	Template:Location map Sudan
Template:Location map Eritrea	Template:Location map Eritrea
Template:Location map Ethiopia	Template:Location map Ethiopia
Template:Location map Djibouti	Template:Location map Djibouti
Template:Location map Somalia	Template:Location map Somalia
Template:Location map Nigeria	Template:Location map Nigeria
Template:Location map Uganda	Template:Location map Uganda
Geri	Giraffe
Faruur	Lip
Shaarbo	Moustache
Midowga Sofiyet	Soviet Union
Qolofta kore ee Dhulka	Crust (geology)
Lil Wayne	Lil Wayne
FC Bayern München	FC Bayern Munich
Queen	Queen (band)
Kanye West	Kanye West
