Afrika	Africa
Fibrat	Fiber
Fibrat optike	Optical fiber
Katrori	Square
Deti	Sea
Deti i Zi	Black Sea
Numri pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sao Paulo (shtet)	São Paulo (state)
Kebeku (provincë)	Quebec
Boeing 747	Boeing 747
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Gjermania	Germany
Bjellorusia	Belarus
Larry Sanger	Larry Sanger
Gjuha gjermane	German language
Islanda	Iceland
Perëndia	God
Estonia	Estonia
David Cameron	David Cameron
Saturni	Saturn
Çokollata	Chocolate
Aeroplani	Airplane
Lufta	War
Dy (2)	2 (number)
Tre (3)	3 (number)
Katër (4)	4 (number)
Pesë (5)	5 (number)
Pafundësia	Infinity
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Letonia	Latvia
Ukraina	Ukraine
Republika Çeke	Czech Republic
Sllovakia	Slovakia
Sllovenia	Slovenia
Vilnius	Vilnius
Moldavia	Moldova
Rumania	Romania
Bullgaria	Bulgaria
Roma	Rome
Republika e Maqedonisë	Republic of Macedonia
Shqipëria	Albania
Groenlanda	Greenland
Kroacia	Croatia
Bosnja dhe Hercegovina	Bosnia and Herzegovina
Nuuk	Nuuk
Azerbajxhani	Azerbaijan
Andorra	Andorra
Qiproja	Cyprus
Gjeorgjia	Georgia (country)
Kazakistani	Kazakhstan
Malta	Malta
Monako	Monaco
Mali i Zi	Montenegro
Vatikani	Vatican City
San Marino	San Marino
Brukseli	Brussels
Kuba	Cuba
Beliza	Belize
Kulla Eiffel	Eiffel Tower
Barbadosi	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel
Komunikimi pa tela	Wireless
Tastiera kompjuterike	Computer keyboard
Java (gjuhë programimi)	Java (programming language)
Indonezia	Indonesia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Gjuha turke	Turkish language
Republika Jugafrikane	South Africa
Linkin Park	Linkin Park
Algjeria	Algeria
Wikisource	Wikisource
Uzbekistani	Uzbekistan
Tashkenti	Tashkent
Varshava	Warsaw
Festivali Evropian i Këngës	Eurovision Song Contest
Vera (pije alkoolike)	Wine
Uji	Water
Televizioni	Television
Pornografia	Pornography
Gjuha islandeze	Icelandic language
Kilia	Chile
Jezusi	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Mërkuri	Mercury (planet)
Historia	History
Apple Inc.	Apple Inc.
Venusi	Venus
Gjuha (komunikim)	Language
Dashuria	Love
Diktatura	Dictatorship
Galaktika	Galaxy
Jupiteri	Jupiter
Rruga e Qumështit	Milky Way
Llanfairpwllgwyngyll	Llanfairpwllgwyngyll
Big Bang	Big Bang
Urani (planet)	Uranus
Wikipedia anglisht	English Wikipedia
Nicolas Sarkozy	Nicolas Sarkozy
Neptuni (planet)	Neptune
Astronomia	Astronomy
Singapori	Singapore
Shkenca	Science
Kozmologjia	Cosmology
Plutoni (planet)	Pluto
Montreali	Montreal
Programi kompjuterik i lirë	Free software
E ardhmja	Future
Maria	Mary (mother of Jesus)
Lihtenshtajni	Liechtenstein
Sporti	Sport
Yelloustoun	Yellowstone National Park
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Lufta e Parë Botërore	World War I
Lufta e Dytë Botërore	World War II
Këlni	Cologne
Korrupsioni	Corruption
Wikibooks	Wikibooks
Augusto Pinochet	Augusto Pinochet
Wikicitat	Wikiquote
Ora	Clock
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu (operating system)
Shkupi	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Metrologjia	Metrology
Matematika	Mathematics
U2	U2
Gjuha latine	Latin
Bahraini	Bahrain
Armenia	Armenia
Serbia	Serbia
Hëna	Moon
Stambolli	Istanbul
Australia	Australia
Bob Marley	Bob Marley
Fizika	Physics
Argjentina	Argentina
Peruja	Peru
Biologjia	Biology
UFO	Unidentified flying object
Koreja e Veriut	North Korea
Kamboxhia	Cambodia
Kurani	Quran
Dinozaurët	Dinosaur
Zoologjia	Zoology
Feja Islame	Islam
Dardha	Pear
Biblioteka e Aleksandrisë	Library of Alexandria
Lubjana	Ljubljana
Botanika	Botany
Leh Valesa	Lech Wałęsa
Rrota	Wheel
Denis Diderot	Denis Diderot
Mendja	Mind
Paqja	Peace
Lion	Lyon
Bashkimi Evropian	European Union
Star Wars	Star Wars
Rhône-Alpes	Rhône-Alpes
World Wide Web	World Wide Web
Gruaja	Woman
Sofja	Sofia
Don Kishoti i Mançës	Don Quixote
Poezia	Poetry
Virusi i kompjuterit	Computer virus
Katastrofa e Çernobilit	Chernobyl disaster
Hedhja e Bombës Atomike në Hiroshima dhe Nagasaki	Atomic bombings of Hiroshima and Nagasaki
Milano	Milan
Kujtesa	Memory
Artur Rembo	Arthur Rimbaud
Torino	Turin
Limoni	Lemon
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananja	Banana
666	666
Kanali Mariana	Mariana Trench
Mali Everest	Mount Everest
Qyteti	City
Napoleon Bonaparte	Napoleon
Olympus Mons	Olympus Mons
Fiziologjia	Physiology
Ylli	Star
Vezuvi	Mount Vesuvius
Dielli	Sun
Qielli	Sky
Louis Pasteur	Louis Pasteur
Dritëviti	Light-year
Fshati	Village
Victor Hugo	Victor Hugo
Oqeania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Athletics (sport)
Cenzura	Censorship
Sistemi diellor	Solar System
Deti Baltik	Baltic Sea
Visla	Vistula
Hidrogjeni	Hydrogen
Heliumi	Helium
Dhëmbi	Human tooth
Ferri	Hell
Wikimedia Commons	Wikimedia Commons
Purgatori	Purgatory
Angela Merkel	Angela Merkel
Litiumi	Lithium
Beriliumi	Beryllium
Zëdhënësi	Loudspeaker
Libri	Book
Dita	Day
Timori Lindor	East Timor
Viti	Year
Mont Blank	Mont Blanc
Rhein	Rhine
Oslo	Oslo
Boni	Bonn
Katowice	Katowice
Vrima e zezë	Black hole
Ceres	Ceres (dwarf planet)
Lisbona	Lisbon
Rona	Rhône
Makemake	Makemake
Eris	Eris (dwarf planet)
Dubai	Dubai
Lionel Messi	Lionel Messi
Bori	Boron
Nikola Koperniku	Nicolaus Copernicus
Karboni	Carbon
Alessandro Del Piero	Alessandro Del Piero
Vollga	Volga River
Azoti	Nitrogen
Bergamo	Bergamo
Oksigjeni	Oxygen
F.C. Internazionale Milano	Inter Milan
Planeti	Planet
Kleopatra VII.	Cleopatra
Muzika	Music
Venecia	Venice
Naruto	Naruto
Po (lumë)	Po (river)
Termometri	Thermometer
Lille	Lille
Moska	Moscow
Fluori	Fluorine
Gjuha italiane	Italian language
Neoni	Neon
Shën Petersburgu	Saint Petersburg
Çadi	Chad
Natriumi	Sodium
Veriu (gjeografi)	North
Magneziumi	Magnesium
Alumini	Aluminium
Zelanda e Re	New Zealand
Jugu (gjeografi)	South
India	India
Silici	Silicon
Franciumi	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Fosfori	Phosphorus
Hekuri	Iron
Tonga	Tonga
Perëndimi (gjeografi)	West
Alessandro Volta	Alessandro Volta
Sulfuri	Sulfur
Samoa	Samoa
Lindja (gjeografi)	East
Ishujt Solomon	Solomon Islands
Vanuatu	Vanuatu
Klori	Chlorine
Delft	Delft
Papua Guinea e Re	Papua New Guinea
William Shakespeare	William Shakespeare
Hollanda e Jugut	South Holland
Palau	Palau
Argoni	Argon
Naurua	Nauru
Mozilla Firefox	Firefox
Përralla	Fairy tale
Hollanda e Veriut	North Holland
Federata Mikroneziane	Federated States of Micronesia
Kaliumi	Potassium
Zeeland (provincë)	Zeeland
Kalciumi	Calcium
Flevoland	Flevoland
Plumbi (element kimik)	Lead
Ishujt Marshall	Marshall Islands
Kiribati	Kiribati
Mongolia	Mongolia
Fixhi	Fiji
Skandiumi	Scandium
Titani	Titanium
Venezuela	Venezuela
Shahu	Chess
Genghis Khan	Genghis Khan
Vanadiumi	Vanadium
Maine	Maine
Kromi	Chromium
Kali	Horse
Amsterdami	Amsterdam
Arma	Weapon
Kafsha	Animal
Surinami	Suriname
Mangani	Manganese
Paraguaji	Paraguay
Guajana	Guyana
Arti	Art
Ekuadori	Ecuador
Rheniumi	Rhenium
Kolumbia	Colombia
Kobalti	Cobalt
Zhan Rasin	Jean Racine
Tungsteni	Tungsten
Nikeli	Nickel
Fragaria	Fragaria
Budizmi	Buddhism
Groningen	Groningen
Bolivia	Bolivia
Osmiumi	Osmium
Groningen (provincë)	Groningen (province)
Bakri	Copper
Trinidadi dhe Tobagoja	Trinidad and Tobago
Bimët	Plant
Shën Vincenti dhe Grenadinet	Saint Vincent and the Grenadines
Zinku	Zinc
New Hampshire	New Hampshire
Shën Luçia	Saint Lucia
Białystok	Białystok
Leonardo da Vinçi	Leonardo da Vinci
Shën Kits dhe Nevis	Saint Kitts and Nevis
Dario Fo	Dario Fo
Xhamajka	Jamaica
Supetar	Supetar
Grenada	Grenada
Friesland	Friesland
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland (provincë)	Gelderland
Utrecht (provincë)	Utrecht (province)
Google Chrome	Google Chrome
Bahamet	The Bahamas
Konektikati	Connecticut
Pula (shpend)	Chicken
Antigua dhe Barbuda	Antigua and Barbuda
Hawaii	Hawaii
Hondurasi	Honduras
Dominika	Dominica
Xhersi	Jersey
Republika Dominikane	Dominican Republic
Derri	Domestic pig
Haitia	Haiti
Salvadori	El Salvador
Zwolle	Zwolle
Irani	Iran
Iraku	Iraq
Alaska	Alaska
Assen	Assen
Kosta Rika	Costa Rica
Izraeli	Israel
Utrecht	Utrecht
Panamaja	Panama
Jemeni	Yemen
Lozana	Lausanne
Gjuha polake	Polish language
Jordania	Jordan
Nikaraguaja	Nicaragua
Florida	Florida
Kirgistani	Kyrgyzstan
Arizona	Arizona
Kuvejti	Kuwait
Laosi	Laos
Libani	Lebanon
Oregon	Oregon
Maldivet	Maldives
Amerika (kontinent)	Americas
Utah	Utah
Lopa	Cattle
Malajzia	Malaysia
Kantoni Valais	Valais
Birmania	Burma
Nepali	Nepal
Omani	Oman
Pakistani	Pakistan
James Bond	James Bond
Katari	Qatar
Tenisi	Tennis
MySQL	MySQL
Arabia Saudite	Saudi Arabia
Sri Lanka	Sri Lanka
Stalini	Joseph Stalin
Barkodi	Barcode
Siria	Syria
Platoni	Plato
Galiumi	Gallium
Joseph Brodsky	Joseph Brodsky
Taxhikistani	Tajikistan
Pokémon	Pokémon
Republika e Kinës	Taiwan
YouTube	YouTube
Germaniumi	Germanium
Aristoteli	Aristotle
Tajlanda	Thailand
Arseniku	Arsenic
Radio	Radio
Meryl Streep	Meryl Streep
Turkmenistani	Turkmenistan
Seleni	Selenium
Iridiumi	Iridium
Emiratet e Bashkuara Arabe	United Arab Emirates
Bromi	Bromine
Platina	Platinum
Vietnami	Vietnam
Charlie Chaplin	Charlie Chaplin
Koreja e Jugut	South Korea
Simpsons	The Simpsons
Kriptoni	Krypton
Afganistani	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubidiumi	Rubidium
Ari	Gold
Omsk	Omsk
Kanali i Suezit	Suez Canal
Kazani	Kazan
Shkencëtari	Scientist
Bangladeshi	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Mali	Mali
Sokrati	Socrates
Volgograd	Volgograd
Angola	Angola
Butani	Bhutan
Twitter	Twitter
Brunei	Brunei
Braç (ishull)	Brač
Tanzania	Tanzania
Zhiva	Mercury (element)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipinet	Philippines
Republika e Afrikës Qendrore	Central African Republic
Naruto Uzumaki	Naruto Uzumaki
Taliumi	Thallium
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronciumi	Strontium
Itriumi	Yttrium
Bismuti	Bismuth
Ngjyra e verdhë	Yellow
Mekanika kuantike	Quantum mechanics
Togo	Togo
Tunizia	Tunisia
Zambia	Zambia
Zimbabveja	Zimbabwe
Pekini	Beijing
Wikipedia:Lista e listave	List of lists of lists
Sudani i Jugut	South Sudan
Tëvaja	Tuva
Benini	Benin
Bocvana	Botswana
Wikinews	Wikinews
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoret	Comoros
Republika e Kongos	Republic of the Congo
Alkmaar	Alkmaar
Republika Demokratike e Kongos	Democratic Republic of the Congo
San Antonio	San Antonio
Xhibuti	Djibouti
Poloniumi	Polonium
Bavaria	Bavaria
Guinea Ekuatoriale	Equatorial Guinea
Baden-Vyrtemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Almelo	Almelo
Papa Gjon Pali II	Pope John Paul II
Fëdor Michajlovič Dostoevskij	Fyodor Dostoyevsky
Amersfoort	Amersfoort
Tbilisi	Tbilisi
Appingedam	Appingedam
Foshnja	Infant
Astati	Astatine
Gaboni	Gabon
Mahatma Gandi	Mahatma Gandhi
Stripi	Comics
Gambia	The Gambia
Guinea	Guinea
Guinea Bisau	Guinea-Bissau
Bregu i Fildishtë	Ivory Coast
Kameruni	Cameroon
Kepi i Gjelbër	Cape Verde
Lesoto	Lesotho
Liberia	Liberia
Libia	Libya
Madagaskari	Madagascar
Malavi	Malawi
Shtutgarti	Stuttgart
Trigllavi	Triglav
Mauritania	Mauritania
Mauritiusi	Mauritius
Maroku	Morocco
Mozambiku	Mozambique
Namibia	Namibia
Nigeri	Niger
Nigeria	Nigeria
Biel/Bienne	Biel/Bienne
Charles Darwin	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Zirkoniumi	Zirconium
Sao Tome dhe Principe	São Tomé and Príncipe
Karlsruhe	Karlsruhe
Senegali	Senegal
Sejshellet	Seychelles
Carl Linné	Carl Linnaeus
Siera Leone	Sierra Leone
Somalia	Somalia
Niobiumi	Niobium
Jul Çezari	Julius Caesar
Sudani	Sudan
Suazilendi	Swaziland
Ylberi	Rainbow
Molibdeni	Molybdenum
Teknetiumi	Technetium
Hamburgu	Hamburg
Metabolizmi	Metabolism
Guxharat	Gujarat
Evolucioni	Evolution
Organizata e Kombeve të Bashkuara	United Nations
Dante Alighieri	Dante Alighieri
Gjeologjia	Geology
Gjeografia	Geography
Zemra	Heart
Truri	Brain
Lëkura	Skin
Ngjyra	Color
Breaking Bad	Breaking Bad
Praga	Prague
Rutheniumi	Ruthenium
Rhodiumi	Rhodium
Ngjyra e kaltër	Blue
Palladiumi	Palladium
Argjendi	Silver
Kadmiumi	Cadmium
Udhëtimi yjor	Star Trek
Limburgu (Holandë)	Limburg (Netherlands)
Indiumi	Indium
Kallaj	Tin
Urani (element kimik)	Uranium
Antimoni	Antimony
Teluri	Tellurium
Brabanta Veriore	North Brabant
Plutoni (element kimik)	Plutonium
Jodi	Iodine
Neptuni (element kimik)	Neptunium
Ksenoni	Xenon
Anime	Anime
Ceziumi	Caesium
Protaktini	Protactinium
Ngarkesa elektrike	Electric charge
Bariumi	Barium
Toriumi	Thorium
Hafniumi	Hafnium
Aktiniumi	Actinium
Tantali	Tantalum
Bill Clinton	Bill Clinton
Radiumi	Radium
Radoni	Radon
Lorena (rajon francez)	Lorraine (region)
Alsasa	Alsace
Indira Gandhi	Indira Gandhi
Hector Berlioz	Hector Berlioz
Auvernia	Auvergne (region)
Andra Pradesh	Andhra Pradesh
Arunaçal Pradesh	Arunachal Pradesh
Assam	Assam
Michigan	Michigan
Çatisgar	Chhattisgarh
Burgonja	Burgundy
Akuitania	Aquitaine
Portorikoja	Puerto Rico
Usain Bolt	Usain Bolt
Limousin	Limousin
Shlesvig-Holshtajni	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Saksonia e Ulët	Lower Saxony
Nordrhein-Westfalen	North Rhine-Westphalia
Hesia	Hesse
Rheinland-Pfalz	Rhineland-Palatinate
Saarland	Saarland
Saksonia	Saxony
John Lennon	John Lennon
Illinois	Illinois
Tyringia	Thuringia
Saksonia Anhalt	Saxony-Anhalt
North Dakota	North Dakota
Brandenburgu	Brandenburg
Bremen (krahinë)	Bremen (state)
Lombardia	Lombardy
South Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonti	Piedmont
Jerusalemi	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lugina e Aostës	Aosta Valley
Washington	Washington (state)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordiumi	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubniumi	Dubnium
Sandro Pertini	Sandro Pertini
Seaborgiumi	Seaborgium
Giovanni Leone	Giovanni Leone
Trentino-Tiroli Jugor	Trentino-Alto Adige/Südtirol
Giuseppe Saragat	Giuseppe Saragat
Oqeani Indian	Indian Ocean
Veneto	Veneto
Kosova	Kosovo
Bohriumi	Bohrium
Friuli-Venecia Xhulia	Friuli-Venezia Giulia
Hassiumi	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Meitneriumi	Meitnerium
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romanja	Emilia-Romagna
Lumi Kolorado	Colorado River
Darmstadtiumi	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Roentgeniumi	Roentgenium
Toskana	Tuscany
Coperniciumi	Copernicium
Marke	Marche
Umbria	Umbria
Kategoria:!Kategori kryesore	Category:Contents
Lacio	Lazio
Abruco	Abruzzo
Malet Apenine	Apennine Mountains
Alpet	Alps
Karpatet	Carpathian Mountains
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dortmundi	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriumi	Ununtrium
Ununquadiumi	Flerovium
Ununpentiumi	Ununpentium
Ununhexiumi	Livermorium
Wageningen	Wageningen
Ununseptiumi	Ununseptium
Ununoctiumi	Ununoctium
Maastricht	Maastricht
Arnhem	Arnhem
Dimri	Winter
Pranvera s'erdhi vetëm	Spring (season)
Vera (stinë)	Summer
Vjeshta	Autumn
Ekuinoksi	Equinox
Sadam Husein	Saddam Hussein
Bin Laden	Osama bin Laden
Gjuha spanjolle	Spanish language
Friedrich Hayek	Friedrich Hayek
Rimouski	Rimouski
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera	Opera
Filadelfia	Philadelphia
Kalkuta	Kolkata
Dhaka	Dhaka
Bengali Perëndimor	West Bengal
Merimanga	Spider
Këmbënyjorët	Arthropod
Islamabadi	Islamabad
Tripura	Tripura
Fruti	Fruit
Majmuni	Monkey
Paraja	Money
Virginia	Virginia
West Virginia	West Virginia
Matehorn	Matterhorn
Speci	Capsicum annuum
New York	New York
Keriumi	Cerium
Praseodimi	Praseodymium
Rhode Island	Rhode Island
Neodimi	Neodymium
Kandrra	Insect
Maryland	Maryland
Delaware	Delaware
Lenini	Vladimir Lenin
Europi	Europium
Ohio	Ohio
Vergili	Virgil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Françesko Petrarka	Petrarch
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augusti	Augustus
Microsoft Windows	Microsoft Windows
New Jersey	New Jersey
Gjibraltari	Gibraltar
Klaudi	Claudius
Gjuha finlandeze	Finnish language
Neroni	Nero
Indiana	Indiana
Nokia	Nokia
Automobili	Car
Juventus F.C.	Juventus F.C.
Trajan	Trajan
Roger Federer	Roger Federer
Georgia	Georgia (U.S. state)
Marcus Aurelius	Marcus Aurelius
Zagrebi	Zagreb
Kampania	Campania
Texas	Texas
Molize	Molise
Tamil Nadu	Tamil Nadu
Pulia	Apulia
Gjenova	Genoa
Bazilikata	Basilicata
North Carolina	North Carolina
South Carolina	South Carolina
U.C. Sampdoria	U.C. Sampdoria
Kalabria	Calabria
Sicilia	Sicily
Manila	Manila
Sardenja	Sardinia
Sena	Seine
Morbus Crohn	Crohn's disease
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Hakeri	Hacker (term)
Meksiko (qytet)	Mexico City
Tokjo	Tokyo
La Paz	La Paz
Barcelona	Barcelona
Ananasi	Pineapple
Mississippi	Mississippi
Ferdinand Magelani	Ferdinand Magellan
Misisipi (lumë)	Mississippi River
Uttarakand	Uttarakhand
Mizoram	Mizoram
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Ebu Dhabi	Abu Dhabi
Astana	Astana
New Mexico	New Mexico
Athina	Athens
Minnesota	Minnesota
Bagdadi	Baghdad
Karakas	Caracas
Coordinated Universal Time	Coordinated Universal Time
Wisconsin	Wisconsin
Ciceroni	Cicero
A.C. Milan	A.C. Milan
Iowa	Iowa
Nebraska	Nebraska
Kanzas	Kansas
Havana	Havana
Hindi	Hindi
Internet Explorer	Internet Explorer
Mizuri	Missouri
Georg Ohm	Georg Ohm
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Osijeku	Osijek
Elba	Elbe
Rieka	Rijeka
Oklahoma	Oklahoma
Danubi	Danube
Split	Split, Croatia
Main	Main (river)
Neckar	Neckar
Zaleja	Saale
Deti i Veriut	North Sea
Kiel	Kiel
Shverini	Schwerin
Pocdami	Potsdam
Hanoveri	Hanover
Dyzeldorfi	Düsseldorf
Majnci	Mainz
Vizëbadeni	Wiesbaden
Dubrovniku	Dubrovnik
Sarëbryken	Saarbrücken
Mynihu	Munich
Erfurti	Erfurt
Drezdeni	Dresden
Magdeburgu	Magdeburg
Volejbolli	Volleyball
Sasuke Uchiha	Sasuke Uchiha
Vjena	Vienna
Madonna	Madonna (entertainer)
Kopenhaga	Copenhagen
Stokholmi	Stockholm
Helsinki	Helsinki
Dublini	Dublin
Reykjavík	Reykjavík
Kakashi Hatake	Kakashi Hatake
Ella Fitzgerald	Ella Fitzgerald
Talini	Tallinn
Epitafi	Epitaph
Riga	Riga
Zanzibari	Zanzibar
Louis Armstrong	Louis Armstrong
Bratisllava	Bratislava
Budapesti	Budapest
Dancigu	Gdańsk
Frankfurti mbi Majn	Frankfurt
Lantani	Lanthanum
Prometiumi	Promethium
Saint-Tropez	Saint-Tropez
Samariumi	Samarium
Karasjok	Karasjok
Gadolini	Gadolinium
Death Note	Death Note
Zinedine Zidane	Zinedine Zidane
Terbiumi	Terbium
Veenendaal	Veenendaal
Luksemburgu (qyteti)	Luxembourg (city)
Disprosiumi	Dysprosium
Vaduzi	Vaduz
Bibla	Bible
Holmiumi	Holmium
San Marino (qytet)	City of San Marino
Erbiumi	Erbium
Tuliumi	Thulium
Ho-Chi-Minh-Qytet	Ho Chi Minh City
Yterbiumi	Ytterbium
Lutetiumi	Lutetium
Hanoi	Hanoi
Kisha e Vërtetë e Jezusit	True Jesus Church
Gjuha angleze	English language
Bangkoku	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Americi	Americium
Odesa	Odessa
Curiumi	Curium
Dong Hoi	Đồng Hới
Concepción	Concepción, Chile
Fyresdal	Fyresdal
Berkeliumi	Berkelium
Atalanta B.C.	Atalanta B.C.
Kaliforniumi	Californium
Diplomacia	Diplomacy
Bolonja	Bologna
Einsteiniumi	Einsteinium
Bologna F.C. 1909	Bologna F.C. 1909
Fermiumi	Fermium
Mendeleviumi	Mendelevium
Kievi	Kiev
Cagliari Calcio	Cagliari Calcio
Nobeliumi	Nobelium
Ontario	Ontario
Lawrenciumi	Lawrencium
Mathieu Debuchy	Mathieu Debuchy
Adil Rami	Adil Rami
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Karelia	Republic of Karelia
Philippe Mexès	Philippe Mexès
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Manitoba	Manitoba
Alberta	Alberta
Skocia e Re	Nova Scotia
Jerevani	Yerevan
Końskowola	Końskowola
New Brunswick	New Brunswick
Formula Një	Formula One
Kolumbia Britanike	British Columbia
Ishulli i Princit Eduard	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Dioksidi i karbonit	Carbon dioxide
2013	2013
2014	2014
2015	2015
Toka e Re dhe Labradori	Newfoundland and Labrador
2008	2008
JavaScript	JavaScript
Territoret Veri-Perëndimore	Northwest Territories
Yukon	Yukon
2004	2004
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
Dragon Ball	Dragon Ball
2006	2006
Nunavut	Nunavut
2007	2007
Verona	Verona
Iqaluit	Iqaluit
1900	1900
1901	1901
