Saot Amerika	South America
Austin, Texas	Austin, Texas
Columbus, Ohio	Columbus, Ohio
Flaeg blong Rusia	Flag of Russia
Sacramento, Kalifornia	Sacramento, California
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence, Rhode Island
Naen	9 (number)
Bien Hoa	Biên Hòa City
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipedia:Good articles
Breinigerberg	Breinigerberg
Moai	Moai
Seoul Stesen	Seoul Station
Yongsan Stesen	Yongsan Station
Cheongnyangni Stesen	Cheongnyangni Station
Daejeon Stesen	Daejeon Station
Daejeon	Daejeon
Sejong	Sejong City
Incheon	Incheon
Nashville, Tennessee	Nashville, Tennessee
Sol Lek Siti	Salt Lake City
Seven	7 (number)
Eit	8 (number)
Lord's Prayer	Lord's Prayer
Galik	Garlic
Kukamba	Cucumber
Sikis	6 (number)
Moshchena	Moshchena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida, Mérida
Atlanta, Georgia	Atlanta
Ten	10 (number)
Albany, Niu York	Albany, New York
Ca Mau	Cà Mau
Harrisburg, Pennsylvania	Harrisburg, Pennsylvania
Da Lat	Da Lat
Phan Thiet	Phan Thiết
Hoknaet	Barn owl
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton, New Jersey
Thai Nguyen	Thái Nguyên
Jefferson City, Missouri	Jefferson City, Missouri
Jackson, Mississippi	Jackson, Mississippi
Augusta, Maine	Augusta, Maine
Baton Rouge, Louisiana	Baton Rouge, Louisiana
Lansing, Michigan	Lansing, Michigan
Concord, New Hampshire	Concord, New Hampshire
Lincoln, Nebraska	Lincoln, Nebraska
Annapolis, Maryland	Annapolis, Maryland
Springfield, Illinois	Springfield, Illinois
Frankfort, Kentucky	Frankfort, Kentucky
Saint Paul, Minnesota	Saint Paul, Minnesota
Montgomery, Alabama	Montgomery, Alabama
Juneau, Alaska	Juneau, Alaska
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock, Arkansas
Buon Ma Thuot	Buôn Ma Thuột
Hartford, Connecticut	Hartford, Connecticut
Dover, Delaware	Dover, Delaware
Tok Pisin	Tok Pisin
Anastacia	Anastacia
Yufreres	Euphrates
Vinh Long	Vĩnh Long
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise, Idaho
Al Bayda	Bayda, Libya
Bambu	Bamboo
Thanh Hoa	Thanh Hóa
Port Moresby	Port Moresby
Ben Tre	Bến Tre
Arancón	Arancón
Twelef	12 (number)
Tallahassee, Florida	Tallahassee, Florida
Bismarck, Not Dakota	Bismarck, North Dakota
Leven	11 (number)
Avoka	Avocado
Cleveland, Ohio	Cleveland
John Calvin	John Calvin
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia, South Carolina
Santa Fe, Niu Mexico	Santa Fe, New Mexico
Helena, Montana	Helena, Montana
Des Moines, Iowa	Des Moines, Iowa
Ágreda	Ágreda
Nawita	Octopus
Pierre, Saut Dakota	Pierre, South Dakota
Carson City, Nevada	Carson City, Nevada
Topeka, Kansas	Topeka, Kansas
Raleigh, Not Carolina	Raleigh, North Carolina
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Grapefruit
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem, Oregon
Josef Smit	Joseph Smith
Busan Stesen	Busan Station
Oganaesesen blong ol Leba Raonwol	International Labour Organization
Dongdaegu Stesen	Dongdaegu Station
Daegu Stesen	Daegu Station
Seodaejeon Stesen	Seodaejeon Station
Iolu Abil	Iolu Abil
Noryangjin Stesen	Noryangjin Station
Namba	Numeral (linguistics)
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pugacheva
Flaeg blong Azerbaijan	Flag of Azerbaijan
Sompiniong	Mushroom
Polanbol	Polandball
Dziecinów	Dziecinów, Otwock County
Gdov	Gdov
Namyoung Stesen	Namyeong Station
Daebang Stesen	Daebang Station
Singil Stesen	Singil Station
Tenczynek	Tenczynek
Rudno	Rudno, Lesser Poland Voivodeship
Rudawa	Rudawa, Lesser Poland Voivodeship
Blumak	Acanthurus lineatus
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Member states of the United Nations
Natanggura	Cycas revoluta
St Peter's College (Auckland)	St Peter's College, Auckland
Alan García	Alan García
John Wycliffe	John Wycliffe
Caltojar	Caltojar
God	Deity
Napoleong	Humphead wrasse
Flaeg blong Vanuatu	Flag of Vanuatu
Chang Myon	Chang Myon
Daejeon Swijyad Stesen	Daejeonjochajang Station
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Ana Paula Arósio	Ana Paula Arósio
Apaxco	Apaxco
Nagorno-Karabakh Republic	Nagorno-Karabakh Republic
Efate	Efate
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Mataskelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Jacint Verdaguer	Jacint Verdaguer
Francesc Cambó	Francesc Cambó
Edward Natapei	Edward Natapei
Derek Sikua	Derek Sikua
Ambae Aelan	Aoba Island
Buk Blong Momon	Book of Mormon
Banian	Banyan
Sato Kilman	Sato Kilman
Ham Lini	Ham Lini
Gupo Stesen	Gupo Station
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Aliud	Aliud
Baraona	Baraona
Blufis	Parrotfish
Tornesch	Tornesch
Blakbokis	Vanuatu flying fox
Eric A. Havelock	Eric A. Havelock
Markdorf	Markdorf
Tafea	Tafea Province
Shefa	Shefa Province
Ivan Zaytsev	Ivan Zaytsev (volleyball)
Serge Vohor	Serge Vohor
Sanma	Sanma Province
Malampa	Malampa Province
Yonawa	Jonava
Grin pijin	Fruit dove
Waeldakdak	Pacific black duck
Sigal	Silver gull
Pigazzano	Pigazzano
Torba	Torba Province
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Casarejos	Casarejos
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Ausejo de la Sierra	Ausejo de la Sierra
Arévalo de la Sierra	Arévalo de la Sierra
Las Aldehuelas	Las Aldehuelas
Bliecos	Bliecos
Blacos	Blacos
Penama	Penama Province
Barca	Barca, Soria
Santiago Tequixquiac	Santiago Tequixquiac
List blong provens blong Vanuatu	Provinces of Vanuatu
Luganville	Luganville
Josias Moli	Josias Moli
Młoszowa	Młoszowa
Joan Alcover	Joan Alcover
Praem Minista blong Vanuatu	Prime Minister of Vanuatu
Kakao	Cocoa solids
Isangel	Isangel
Oganaesesen blong Givhan long Ikonomi mo Sosaeti blong ol Kantri blong Esia mo Pasifik	United Nations Economic and Social Commission for Asia and the Pacific
Michał Winiarski	Michał Winiarski
Smalfala grin pijin	Red-bellied fruit dove
Pijin blong hariken	Wedge-tailed shearwater
Bigfala grin pijin	Tanna fruit dove
Ni-vanuatu	Ni-Vanuatu
Nalaklak	Vanuatu white-eye
Pornopedia	Pornopedia
Category:Germany	Category:Germany
Category:Itali	Category:Italy
Category:Yunaeted Stet blong Amerika	Category:United States
Category:Rusia	Category:Russia
Category:Kanada	Category:Canada
Category:United Kingdom	Category:United Kingdom
Category:Spain	Category:Spain
Category:China	Category:China
Category:India	Category:India
Category:Niu Zilan	Category:New Zealand
Sola	Sola, Vanuatu
Category:Bangladesh	Category:Bangladesh
Category:Poland	Category:Poland
Category:Saot Koria	Category:South Korea
Category:Ukraine	Category:Ukraine
Category:Vietnam	Category:Vietnam
Category:Pijin	Category:Birds
Category:Baeoloji	Category:Biology
Category:Histri	Category:History
Category:Jiografi	Category:Geography
Category:Sosaeti	Category:Society
Category:Rilijin	Category:Religion
Category:Saens	Category:Science
Category:Yunaeted Nesen	Category:United Nations
Category:Budisim	Category:Buddhism
Category:Kristaniti	Category:Christianity
Category:Islam	Category:Islam
Ba Ria	Bà Rịa
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Maria Ribeiro	Maria Ribeiro
Kiai (tok tok)	Kiai language
Category:Wikipedia Manejmen	Category:Wikipedia administration
Category:Kultur	Category:Culture
Category:Kontinen	Category:Continents
Fas Presidensi	First Presidency
Bigfala Apostasi	Great Apostasy
Helena Ranaldi	Helena Ranaldi
Leandra Leal	Leandra Leal
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Category:American people
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Category:Countries
Category:Pipol	Category:People
Category:Intanet	Category:Internet
Template:Bot	Template:Bot
Kanada	Canada
Category:Hungary	Category:Hungary
Category:Czechia	Category:Czech Republic
Category:Litwania	Category:Lithuania
Category:Slovakia	Category:Slovakia
Category:Yurop	Category:Europe
Template:Documentation	Template:Documentation
Category:Wikipedians by language	Category:Wikipedians by language
Sung Jae-ki	Sung Jae-gi
Template:Softredirect	Template:Soft redirect
Template:Delete	Template:Db
Category:Toktok	Category:Languages
Category:Wikipedia	Category:Wikipedia
Category:Pages with broken file links	Category:Pages with missing files
Wikipedia:Statistics	Wikipedia:Statistics
Category:Buk	Category:Books
Template:Babel	Template:Babel
Template:Commons	Template:Commons
Template:User eo-1	Template:User eo-1
Template:User en-2	Template:User en-2
Template:User es-1	Template:User es-1
Template:User sk	Template:User sk
Template:User fr-2	Template:User fr-2
Category:Azerbaijan	Category:Azerbaijan
Category:Esia	Category:Asia
Template:Mod	Template:Mod
Template:User it	Template:User it
Template:States blog United States	Template:United States political divisions
Template:Quotation	Template:Quotation
Category:User en	Category:User en
Category:Croatia	Category:Croatia
Category:User en-2	Category:User en-2
Template:Documentation/start box	Template:Documentation/start box
Template:Documentation/end box2	Template:Documentation/end box2
Template:Documentation/start box2	Template:Documentation/start box2
Template:Template other	Template:Template other
Template:Pp-template	Template:Pp-template
Category:Namba	Category:Numerals
Category:Hed blong Stet	Category:Heads of state
Template:Purge	Template:Purge
Template:Interwiki	Template:InterWiki
Category:Praem minista blong Vanuatu	Category:Prime Ministers of Vanuatu
Category:Galicia	Category:Galicia (Spain)
Category:User sk	Category:User sk
Category:User eo	Category:User eo
Category:User fr	Category:User fr
Category:User fr-2	Category:User fr-2
Category:User it-N	Category:User it-N
Category:User sk-N	Category:User sk-N
Category:User de	Category:User de
Category:User eo-1	Category:User eo-1
Category:User es	Category:User es
Category:User es-1	Category:User es-1
Category:User it	Category:User it
Category:Praem Minista	Category:Prime ministers
Category:Saens blong Pipol	Category:Social sciences
Category:1969 births	Category:1969 births
Category:Not Dakota	Category:North Dakota
Category:Louisiana	Category:Louisiana
Category:Arizona	Category:Arizona
Category:Kentucky	Category:Kentucky
Category:Armenia	Category:Armenia
Category:Vanuatu	Category:Vanuatu
Category:Pipol blong Vanuatu	Category:Vanuatuan people
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Category:Presidents of the United States
Category:Paraguay	Category:Paraguay
Category:Papua Nui Guini	Category:Papua New Guinea
Category:Andorra	Category:Andorra
Category:Peru	Category:Peru
Category:Albania	Category:Albania
Category:Fis	Category:Fish
Category:Dipsi	Category:Oceans
Category:Animol	Category:Animals
Category:Asturias	Category:Asturias
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Category:The Church of Jesus Christ of Latter-day Saints
Category:Wol	Category:World
Category:Toktok long Vanuatu	Category:Languages of Vanuatu
Category:Catalonia	Category:Catalonia
Stary Dwór	Stary Dwór, Lubusz Voivodeship
Trojany	Trojany, Masovian Voivodeship
Category:Provens blong Vanuatu	Category:Provinces of Vanuatu
Category:Buk Blong Momon	Category:Book of Mormon
Category:Stesen blong Saot Koria	Category:Railway stations in South Korea
Category:Sanma	Category:Sanma Province
Category:Penama	Category:Penama Province
Category:Soria	Category:Soria
Category:Aragón	Category:Aragon
Misin Presiden	Mission president
Wikipedia:Deletion log	Wikipedia:Deletion log
Template:Gyeongbu laen blong Saot Koria	Template:Gyeongbu Line
Yun Hyon-seok	Yun Hyon-seok
Special:RecentChanges	Special:RecentChanges
