ʻApelika	Africa
Nalala	Dinosaur
Hoʻomana Mohameka	Islam
Kālailau nahele	Botany
Sofia	Sofia
Kūlanakauhale	City
Lā	Sun
Kahua o nā hōkū	Solar System
Haikokene	Hydrogen
Hiliuma	Helium
Likiuma	Lithium
Beryllium	Beryllium
Makahiki	Year
Oslo	Oslo
Likepona	Lisbon
Rhône (kahawai)	Rhône
Boron	Boron
Kalepona	Carbon
Naikokene	Nitrogen
‘Okikene	Oxygen
Hōkū hele	Planet
Mokekao	Moscow
Fluorine	Fluorine
ʻŌlelo ʻĪkālia	Italian language
Nīane	Neon
Sodiuma	Sodium
Makanekiuma	Magnesium
‘Aluminuma	Aluminium
‘Īnia	India
Silikone	Silicon
Pokepola	Phosphorus
Sulufura	Sulfur
Kolorine	Chlorine
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Potassium
Kalipuna	Calcium
Monokolia	Mongolia
Scandium	Scandium
Titanium	Titanium
Vanadium	Vanadium
Maine	Maine
Lio	Horse
Hoʻomana Buda	Buddhism
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaii
Moana ʻĀlika	Arctic Ocean
Heiti	Haiti
‘Ilana	Iran
‘Ilaka	Iraq
‘Ālaka	Alaska
ʻIseraʻela	Israel
Panamā	Panama
Iemene	Yemen
Ioredāne	Jordan
Pololika	Florida
Kaikikana	Kyrgyzstan
‘Alikona	Arizona
Kuete	Kuwait
Laosa	Laos
Lepanona	Lebanon
‘Olekona	Oregon
Maladiwa	Maldives
Uka	Utah
Malaisia	Malaysia
Puruma	Burma
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Qatar
Saudi ʻAlapia	Saudi Arabia
Sililanaka	Sri Lanka
Suria	Syria
Pokémon	Pokémon
Tailani	Thailand
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesh
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Philippines
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunisia
Beijing	Beijing
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius
Iulius Caesar	Julius Caesar
Hamepuka	Hamburg
Huli honua	Geology
Mikikana	Michigan
‘Ilinoe	Illinois
Tulinia	Thuringia
Kakoka ‘Ākau	North Dakota
Kakoka Hema	South Dakota
Monekana	Montana
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington (state)
Moana ʻIniana	Indian Ocean
Kololako	Colorado
ʻAlepa	Alps
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Spanish language
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia
Wilikinia Komohana	West Virginia
Nuioka	New York
Loke ‘Ailana	Rhode Island
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Finnish language
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia (U.S. state)
Kekeka	Texas
Kalolaina Hema	South Carolina
Seine	Seine
Buenos Aires	Buenos Aires
Mēkiko D.F.	Mexico City
Mikikipi	Mississippi
Kenekī	Tennessee
Nū Mekiko	New Mexico
‘Akenai	Athens
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa
Nepalaka	Nebraska
Kanekaka	Kansas
Mikouli	Missouri
Luikiana	Louisiana
Kenekuke	Kentucky
‘Akanaka	Arkansas
‘Okalahoma	Oklahoma
Makekepuka	Magdeburg
Reykjavík	Reykjavík
Paipala	Bible
Thulium	Thulium
Ka Ho‘omana Iesū ‘Oia‘i‘o	True Jesus Church
‘Ōlelo Pelekania	English language
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción, Chile
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów
Kemika	Chemistry
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago
Quito	Quito
Ankara	Ankara
Riyadh	Riyadh
Kamakeko	Damascus
Amman	Amman
Muscat	Muscat, Oman
Wikipedia:Sandbox	Wikipedia:Sandbox
Wehimala	Weimar
Osasco	Osasco
Dong Hoi Airport	Dong Hoi Airport
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mount St. Helens
Mokuhonua	Continent
Kapikala	Capital city
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Encyclopedia
Ka papa kinohi	Main Page
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Pablo Picasso	Pablo Picasso
Raffael Santi	Raphael
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Bashō
Castille a Leon	Castile and León
Meka	Mecca
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Category:Candidates for speedy deletion
Kaumokuʻāina	Country
Homer	Homer
Hōʻole Akua	Atheism
Kālaikaiaola	Ecology
Kālaiʻāina	Politics
Aupuni	Government
Qin Shi Huang	Qin Shi Huang
Tolstoi	Leo Tolstoy
Moku‘āina	State (polity)
ʻŌlelo Lūkini	Russian language
‘Ōlelo Pākē	Chinese language
Nelson Mandela	Nelson Mandela
Makani Pāhili	Tropical cyclone
Moʻokalaleo	Literature
Māhele:Palani	Category:France
Oboe	Oboe
ʻOlumepika Kauwela ma 2008	2008 Summer Olympics
Granada	Granada
ʻĀtoma	Atom
Lāpaki	Rabbit
Mohameka	Muhammad
Burgos	Burgos
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zazaki language
Māhele:Palakila	Category:Brazil
Kumumea kemikala	Chemical element
‘Ohe kani	Flute
ʻAlea	Area
Hulahula	Dance
Papa o nā ʻāina	List of sovereign states
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Hearing loss
Ponferrada	Ponferrada
Santander	Santander, Spain
Helu piha	Integer
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Arabic language
Tiranosauru	Tyrannosaurus
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Flag
‘Ulu	Breadfruit
Aupuni kiwikā	Municipality
Salamanca	Salamanca
Zamora (España)	Zamora, Spain
León (España)	León, Spain
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix, Arizona
Kakalameko	Sacramento, California
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	New Testament
Rafael Correa	Rafael Correa
Louvre	Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Puerto Rican Independence Party
Kalikimaka	Christmas
Mo‘ai	Moai
Hoʻolele hualono	Podcast
Friedrich Schiller	Friedrich Schiller
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Pule	Week
Cervidae	Deer
Pule Alaka‘i A Ka Haku	Lord's Prayer
Musée d'Orsay	Musée d'Orsay
Mokupuni	Island
Moshchena	Moshchena
ʻōhiʻa lomi	Tomato
Paltoga	Paltoga
Panalā‘au o Quảng Binh	Quảng Bình Province
Bryan Cranston	Bryan Cranston
Felidae	Felidae
Pichilemu	Pichilemu
Canidae	Canidae
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Bovidae	Bovidae
Phocidae	Earless seal
ʻAnekelopa	Antelope
‘Amelika	Amerika
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Sepania)	La Antigua, León
Almanza	Almanza
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Otariidae	Eared seal
Pinnipedia	Pinniped
Zhengzhou	Zhengzhou
Mīkini helu	Calculator
Halakepoka	Hartford, Connecticut
‘Ōlelo Hawai‘i	Hawaiian language
Pea kina	Giant panda
Pae moku	Archipelago
Valparaíso	Valparaíso
‘Ōlelo Sāmoa	Samoan language
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitian language
Wailele ‘o Niakala	Niagara Falls
Mošovce	Mošovce
Kauō	Laysan
ʻAperodite	Aphrodite
Nā mokuʻāina o ʻAmelika Hui	U.S. state
Pauka niho	Toothpaste
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki Pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Entomology
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus
Waleluka	Walrus
Johannes Vermeer	Johannes Vermeer
Teletubbies	Teletubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwoʻole
Johnny Cash	Johnny Cash
Nanahana	Ginkgo biloba
Hesioda	Hesiod
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
Sancedo	Sancedo
Josepa Samika	Joseph Smith
Pihemanu	Midway Atoll
Paris Hilton	Paris Hilton
Palapola	Parabola
Helu kumu	Prime number
Söréd	Söréd
Palencia	Province of Palencia
El Royo	El Royo
Reyero	Reyero
La Ercina	La Ercina
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
ʻUkulele	Ukulele
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Hawai‘i (mokupuni)	Hawaii (island)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Uranus (mythology)
Coronel Fabriciano	Coronel Fabriciano
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Pamela Anderson	Pamela Anderson
Gema	Gemstone
Nā panalā‘au o Burgos	List of municipalities in Burgos
Puahōlani	Tulip
Nā panalā‘au o León	List of municipalities in León
Nikolai Rimsky-Korsakov	Nikolai Rimsky-Korsakov
Nā panalā‘au o Salamanca	List of municipalities in Salamanca
Nā panalā‘au o Soria	List of municipalities in Soria
Nā panalā‘au o Tarragona	List of municipalities in Tarragona
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Nā panalā‘au o Zamora	List of municipalities in Zamora
Lili‘uokalani	Liliuokalani
Joey King	Joey King
X-Men	X-Men
Nika	Nyx
Mauna Kea	Mauna Kea
O‘ahu	Oahu
Lucillo	Lucillo
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea, León
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza, León
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Sonata No. 8 no Piano (Beethoven)	Piano Sonata No. 8 (Beethoven)
ʻĀpana	District
Aotearoa	Aotearoa
John Singer Sargent	John Singer Sargent
Sesame Street	Sesame Street
Aupuni Mōʻī o Hawaiʻi	Kingdom of Hawaii
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Silent Night
Nuʻuhiwa	Marquesas Islands
Edentata	Xenarthra
Hualālai	Hualālai
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville, Tennessee
Lāna‘i	Lanai
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Hawaiian Islands
Ivan Shishkin	Ivan Shishkin
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
Almuñécar	Almuñécar
Hakakā ‘ole	Nonkilling
Kaua‘i	Kauai
Tigranes II	Tigranes the Great
Georges de La Tour	Georges de La Tour
Adour	Adour
Ivan Kramskoi	Ivan Kramskoi
Motril	Motril
Roger Ebert	Roger Ebert
John Bauer	John Bauer (illustrator)
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha I
Hilo	Hilo, Hawaii
Anggun	Anggun
Kaho‘olawe	Kahoolawe
Kalo	Colocasia esculenta
Makua Kamiano	Father Damien
Ni‘ihau	Niihau
Dixie Carter	Dixie Carter
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Halloween
Waikīkī	Waikiki
Brook Mahealani Lee	Brook Lee
Castrojeriz	Castrojeriz
Camponaraya	Camponaraya
Ituero de Azaba	Ituero de Azaba
Villardiegua de la Ribera	Villardiegua de la Ribera
Małgorzata Braunek	Małgorzata Braunek
O Clone	O Clone
Xuxa	Xuxa
Bañuelos de Bureba (Burgos)	Bañuelos de Bureba
Imelda Marcos	Imelda Marcos
Mariana Ximenes	Mariana Ximenes
Órgiva	Órgiva
Michael Gough	Michael Gough
Sargentes de la Lora (Burgos)	Sargentes de la Lora
Vadillo	Vadillo
Peterosauru	Pterodactylus
Makeima	Macadamia
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora the Explorer
Loja	Loja, Granada
Hua mele hapawalu	Eighth note
Hua mele ‘oko‘a	Whole note
Hua mele hapahā	Quarter note
Kamehameha	Kamehameha
Richard Schiff	Richard Schiff
Pedro de Betancur	Peter of Saint Joseph Betancur
Calzada de Valdunciel	Calzada de Valdunciel
Villarcayo de Merindad de Castilla la Vieja (Burgos)	Villarcayo de Merindad de Castilla la Vieja
Tubilla del Lago (Burgos)	Tubilla del Lago
Pino del Oro	Pino del Oro
Maki a Ruby	Max & Ruby
Jeddah	Jeddah
Almaluez	Almaluez
Salas de los Infantes (Burgos)	Salas de los Infantes
Hua mele hapa kanakolukūmālua	Thirty-second note
Kamehameha II	Kamehameha II
Makakilo	Makakilo, Hawaii
Arraya de Oca (Burgos)	Arraya de Oca
Valencia de Don Juan	Valencia de Don Juan
Manzanal del Barco	Manzanal del Barco
Bugedo (Burgos)	Bugedo
Hua mele hapalua	Half note
Anne Hathaway	Anne Hathaway (disambiguation)
ʻAiea	Aiea, Hawaii
ʻĪao	Iao Valley
Partido de la Sierra en Tobalina (Burgos)	Partido de la Sierra en Tobalina
Valdefresno	Valdefresno
Salobreña	Salobreña
Aldea del Obispo	Aldea del Obispo
Arabayona de Mógica	Arabayona de Mógica
El Maderal	El Maderal
Roa (Burgos)	Roa de Duero
Calvarrasa de Arriba	Calvarrasa de Arriba
Kamehameha III	Kamehameha III
Buke a Moramona	Book of Mormon
Carazo	Carazo Department
Astorga	Astorga, Spain
Pōmare IV	Pōmare IV
Mary Kawena Pukui	Mary Kawena Pukui
Alexander ʻIolani Liholiho	Kamehameha IV
Tan Son Nhat International Airport	Tan Son Nhat International Airport
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Láchar	Láchar
Burgo de Osma-Ciudad de Osma	Burgo de Osma-Ciudad de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Baza	Baza, Granada
San Vicente del Raspeig	San Vicente del Raspeig / Sant Vicent del Raspeig
Aranda de Duero (Burgos)	Aranda de Duero
Māmalahoe	Kānāwai Māmalahoe
Nā kiaʻāina o Hawaiʻi	List of Governors of Hawaii
Ka'aahi Thomas	Thomas & Friends
Likaono	Lycaon (Arcadia)
Alhama de Granada	Alhama de Granada
Mauna kai	Seamount
Gallegos del Río	Gallegos del Río
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Rabanera del Pinar (Burgos)	Rabanera del Pinar
Cañamaque	Cañamaque
Cazurra	Cazurra
Requejo (Zamora)	Requejo
Haleakalā	Haleakalā
Navaleno	Navaleno
Tremedal de Tormes	Tremedal de Tormes
Las Omañas	Las Omañas
Santa Eufemia del Barco	Santa Eufemia del Barco
Huahine	Huahine
Alfoz de Bricia (Burgos)	Alfoz de Bricia
Villalbilla de Burgos (Burgos)	Villalbilla de Burgos
Negrilla de Palencia	Negrilla de Palencia
Honolulu International Airport	Honolulu International Airport
Efrem Zimbalist, Jr.	Efrem Zimbalist, Jr.
Kailua	Kailua, Honolulu County, Hawaii
Belorado (Burgos)	Belorado
Peleas de Abajo	Peleas de Abajo
Fresneda de la Sierra Tirón (Burgos)	Fresneda de la Sierra Tirón
Morales de Toro	Morales de Toro
Carcedo de Burgos	Carcedo de Burgos
Cijuela	Cijuela
Armilla	Armilla, Granada
Chauchina	Chauchina
Dúrcal	Dúrcal
Cantabrana	Cantabrana
Fuente Vaqueros	Fuente Vaqueros
Huéscar	Huéscar
Trévago	Trévago
Maracena	Maracena
La Bouza	La Bouza
El Campo de Peñaranda	El Campo de Peñaranda
Palacios de Riopisuerga (Burgos)	Palacios de Riopisuerga
Līhuʻe	Lihue, Hawaii
Pedrosa del Príncipe (Burgos)	Pedrosa del Príncipe
Merindad de Valdeporres (Burgos)	Merindad de Valdeporres
Aldealengua	Aldealengua
Cañizal	Cañizal
Tubilla del Agua (Burgos)	Tubilla del Agua
La Encina (Salamanca)	La Encina
Valdepiélago	Valdepiélago
Kahuku	Kahuku, Hawaii
Villademor de la Vega	Villademor de la Vega
Camarzana de Tera	Camarzana de Tera
Dévanos	Dévanos
Poʻipū	Poipu, Hawaii
Zotes del Páramo	Zotes del Páramo
Cañizo	Cañizo
Priaranza del Bierzo	Priaranza del Bierzo
Villagonzalo Pedernales (Burgos)	Villagonzalo Pedernales
Frades de la Sierra	Frades de la Sierra
Avellanosa de Muñó (Burgos)	Avellanosa de Muñó
Pinos Puente	Pinos Puente
Fuentes de Carbajal	Fuentes de Carbajal
Garcibuey	Garcibuey
Rollán	Rollán
Moreruela de Tábara	Moreruela de Tábara
El Bodón	El Bodón
Monasterio de la Sierra (Burgos)	Monasterio de la Sierra
Villamiel de la Sierra (Burgos)	Villamiel de la Sierra
Santa Fe	Santa Fe, Granada
Ólvega	Ólvega
Solarana (Burgos)	Solarana
Kailua-Kona	Kailua, Hawaii County, Hawaii
Barrio de Muñó (Burgos)	Barrio de Muñó
Valmala (Burgos)	Valmala, Province of Burgos
Casaseca de Campeán	Casaseca de Campeán
Terradillos de Esgueva (Burgos)	Terradillos de Esgueva
Waipahu	Waipahu, Hawaii
Villamartín de Don Sancho	Villamartín de Don Sancho
Viveiro	Viveiro
Burganes de Valverde	Burganes de Valverde
Sobrado	Sobrado, Galicia
Basconcillos del Tozo (Burgos)	Basconcillos del Tozo
San Martín de Valderaduey	San Martín de Valderaduey
Palapala ‘Āina Honua	World map
Magaña	Magaña
La Calzada de Béjar	La Calzada de Béjar
Kapaʻa	Kapaa, Hawaii
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Hawaiʻi Ponoʻī	Hawaiʻi Ponoʻī
Huinakolu Polenekia	Polynesian Triangle
Izagre	Izagre
Reinosa	Reinosa
Centenera de Andaluz	Centenera de Andaluz
Villalazán	Villalazán
Almenara de Tormes	Almenara de Tormes
Bermellar	Bermellar
Mokupāpapa	Kure Atoll
Sila Hawaiʻi	Hawaiian monk seal
Cacabelos	Cacabelos
Béjar	Béjar
Topas	Topas
‘Ārue	Arue, French Polynesia
Vidayanes	Vidayanes
Villanázar	Villanázar
Soto de la Vega	Soto de la Vega
Faramontanos de Tábara	Faramontanos de Tábara
Manzanal de los Infantes	Manzanal de los Infantes
Kaunakakai	Kaunakakai, Hawaii
Peque	Peque, Zamora
Fermoselle	Fermoselle
Valle de Sedano (Burgos)	Valle de Sedano
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
ʻOeneusa	Oeneus
Atapuerca (Burgos)	Atapuerca, Province of Burgos
Kaʻū	Kau, Hawaii
Riocavado de la Sierra (Burgos)	Riocavado de la Sierra
Belver de los Montes	Belver de los Montes
Villanueva de Argaño (Burgos)	Villanueva de Argaño
Valderas	Valderas
Menekikā	Mehndi
Gradefes	Gradefes
Onzonilla	Onzonilla
Arenas de Iguña	Arenas de Iguña
Keokola Palaiologina Synadene	Theodora Palaiologina Synadene
Backyardigans	The Backyardigans
Barca	Barca (ancient city)
Ciudad Rodrigo	Ciudad Rodrigo
Sahagún	Sahagún
Villatuelda (Burgos)	Villatuelda
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla, Soria
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
