આફ્રિકા	Africa
નાયોબિયમ	Niobium
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Julius Caesar
સુદાન	Sudan
સ્વાઝીલેન્ડ	Swaziland
મેઘધનુષ	Rainbow
મોલિબ્ડેનમ	Molybdenum
ટેક્નેશિયમ	Technetium
ચયાપચય	Metabolism
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Evolution
સંયુક્ત રાષ્ટ્રસંઘ	United Nations
અમદાવાદ	Ahmedabad
ભૂગોળ	Geography
મગજ	Brain
સંજ્ઞા	Noun
રુથેનિયમ	Ruthenium
રોડિયમ	Rhodium
પલેડિયમ	Palladium
ચાંદી	Silver
કેડમિયમ	Cadmium
ઈંડિયમ	Indium
ટીન	Tin
યુરેનિયમ	Uranium
એંટિમની	Antimony
ટેલુરિયમ	Tellurium
પ્લુટોનીયમ	Plutonium
આયોડિન	Iodine
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xenon
સીસીયમ	Caesium
પ્રોટેક્ટિનીયમ	Protactinium
બેરિયમ	Barium
થોરીયમ	Thorium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Actinium
ટેન્ટેલમ	Tantalum
રેડિયમ	Radium
રેડૉન	Radon
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Mumbai
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu and Kashmir
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Indian Ocean
કેરેબિયન સાગર	Caribbean Sea
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnerium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Roentgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Winter
ઉનાળો	Summer
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Equinox
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphia
કોલકાતા	Kolkata
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Dhaka
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	West Bengal
હૈદરાબાદ	Hyderabad
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
વાંદરો	Monkey
સિરીયમ	Cerium
પ્રેસિયોડિમિયમ	Praseodymium
નિયોડીમીયમ	Neodymium
લેનિન	Vladimir Lenin
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia
મોટરગાડી	Car
ટ્રાજન	Trajan
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Field hockey
ક્રોહનનો રોગ	Crohn's disease
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi language
ગણેશ	Ganesha
મિઝોરી	Missouri
લ્યુઇસિયાના	Louisiana
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lanthanum
પ્રોમેથિયમ	Promethium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bible
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Thulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutetium
સત્ય ઇસુ દેવળ	True Jesus Church
અંગ્રેજી ભાષા	English language
અમેરિસીયમ	Americium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkelium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendelevium
નોબેલીયમ	Nobelium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Moons of Jupiter
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Snake
મુખ મૈથુન	Oral sex
જાન્યુઆરી ૧	January 1
જાન્યુઆરી ૨	January 2
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	January 3
જાન્યુઆરી ૪	January 4
જાન્યુઆરી ૫	January 5
જાન્યુઆરી ૬	January 6
જાન્યુઆરી ૭	January 7
જાન્યુઆરી ૮	January 8
જાન્યુઆરી ૯	January 9
જાન્યુઆરી ૧૦	January 10
જાન્યુઆરી ૧૧	January 11
જાન્યુઆરી ૧૨	January 12
જાન્યુઆરી ૧૩	January 13
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	January 14
જાન્યુઆરી ૧૫	January 15
જાન્યુઆરી ૧૬	January 16
જાન્યુઆરી ૧૭	January 17
જાન્યુઆરી ૧૮	January 18
જાન્યુઆરી ૧૯	January 19
જાન્યુઆરી ૨૦	January 20
જાન્યુઆરી ૨૧	January 21
જાન્યુઆરી ૨૨	January 22
જાન્યુઆરી ૨૩	January 23
જાન્યુઆરી ૨૪	January 24
જાન્યુઆરી ૨૫	January 25
જાન્યુઆરી ૨૬	January 26
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	January 27
જાન્યુઆરી ૨૮	January 28
જાન્યુઆરી ૨૯	January 29
જાન્યુઆરી ૩૦	January 30
જાન્યુઆરી ૩૧	January 31
ડિસેમ્બર ૨	December 2
ડિસેમ્બર ૧	December 1
ડિસેમ્બર ૩	December 3
ડિસેમ્બર ૭	December 7
ડિસેમ્બર ૫	December 5
ડિસેમ્બર ૮	December 8
ડિસેમ્બર ૧૦	December 10
ડિસેમ્બર ૬	December 6
ડિસેમ્બર ૯	December 9
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	December 4
ફેબ્રુઆરી ૧	February 1
ફેબ્રુઆરી ૨	February 2
ફેબ્રુઆરી ૩	February 3
કુરોવ	Kurów
ફેબ્રુઆરી ૪	February 4
ફેબ્રુઆરી ૫	February 5
ફેબ્રુઆરી ૬	February 6
ફેબ્રુઆરી ૭	February 7
ફેબ્રુઆરી ૮	February 8
ફેબ્રુઆરી ૯	February 9
ફેબ્રુઆરી ૧૦	February 10
રસાયણ શાસ્ત્ર	Chemistry
ફેબ્રુઆરી ૧૪	February 14
ફેબ્રુઆરી ૧૩	February 13
ફેબ્રુઆરી ૧૫	February 15
ફેબ્રુઆરી ૧૧	February 11
ફેબ્રુઆરી ૧૨	February 12
ફેબ્રુઆરી ૧૯	February 19
ફેબ્રુઆરી ૧૭	February 17
ફેબ્રુઆરી ૧૬	February 16
ફેબ્રુઆરી ૧૮	February 18
ફેબ્રુઆરી ૨૦	February 20
ફેબ્રુઆરી ૨૧	February 21
ફેબ્રુઆરી ૨૨	February 22
ફેબ્રુઆરી ૨૩	February 23
ફેબ્રુઆરી ૨૪	February 24
ફેબ્રુઆરી ૨૫	February 25
ફેબ્રુઆરી ૨૬	February 26
ફેબ્રુઆરી ૨૭	February 27
ફેબ્રુઆરી ૨૮	February 28
ડિસેમ્બર ૧૧	December 11
ફેબ્રુઆરી ૨૯	February 29
ડિસેમ્બર ૧૨	December 12
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C Sharp (programming language)
ડિસેમ્બર ૧૩	December 13
ડિસેમ્બર ૧૪	December 14
ડિસેમ્બર ૧૫	December 15
માર્ચ ૨	March 2
માર્ચ ૩	March 3
માર્ચ ૫	March 5
માર્ચ ૧	March 1
માર્ચ ૭	March 7
માર્ચ ૮	March 8
માર્ચ ૪	March 4
માર્ચ ૧૦	March 10
માર્ચ ૧૧	March 11
માર્ચ ૬	March 6
માર્ચ ૧૩	March 13
માર્ચ ૯	March 9
માર્ચ ૧૨	March 12
માર્ચ ૧૫	March 15
માર્ચ ૧૪	March 14
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	December 16
ડિસેમ્બર ૧૭	December 17
માર્ચ ૧૬	March 16
માર્ચ ૧૭	March 17
માર્ચ ૧૮	March 18
માર્ચ ૧૯	March 19
માર્ચ ૨૦	March 20
માર્ચ ૨૧	March 21
માર્ચ ૨૨	March 22
ડિસેમ્બર ૧૮	December 18
માર્ચ ૨૩	March 23
ડિસેમ્બર ૧૯	December 19
માર્ચ ૨૪	March 24
માર્ચ ૨૫	March 25
ડિસેમ્બર ૨૦	December 20
માર્ચ ૨૬	March 26
માર્ચ ૨૭	March 27
માર્ચ ૨૮	March 28
માર્ચ ૨૯	March 29
માર્ચ ૩૦	March 30
માર્ચ ૩૧	March 31
એપ્રિલ ૧૫	April 15
એપ્રિલ ૧૩	April 13
એપ્રિલ ૧૨	April 12
એપ્રિલ ૧૪	April 14
એપ્રિલ ૧૧	April 11
એપ્રિલ ૧૦	April 10
એપ્રિલ ૮	April 8
એપ્રિલ ૯	April 9
એપ્રિલ ૭	April 7
એપ્રિલ ૬	April 6
એપ્રિલ ૫	April 5
એપ્રિલ ૪	April 4
એપ્રિલ ૩	April 3
એપ્રિલ ૧	April 1
એપ્રિલ ૨	April 2
એપ્રિલ ૧૬	April 16
એપ્રિલ ૧૭	April 17
એપ્રિલ ૧૮	April 18
એપ્રિલ ૧૯	April 19
એપ્રિલ ૨૦	April 20
એપ્રિલ ૨૧	April 21
એપ્રિલ ૨૨	April 22
એપ્રિલ ૨૩	April 23
એપ્રિલ ૨૪	April 24
એપ્રિલ ૨૫	April 25
એપ્રિલ ૨૬	April 26
એપ્રિલ ૨૭	April 27
એપ્રિલ ૨૮	April 28
એપ્રિલ ૨૯	April 29
એપ્રિલ ૩૦	April 30
મે ૧	May 1
મે ૨	May 2
મે ૩	May 3
મે ૪	May 4
મે ૫	May 5
મે ૬	May 6
મે ૭	May 7
મે ૮	May 8
મે ૯	May 9
મે ૧૦	May 10
મે ૧૧	May 11
મે ૧૨	May 12
મે ૧૩	May 13
મે ૧૪	May 14
મે ૧૫	May 15
મે ૧૬	May 16
મે ૧૭	May 17
મે ૧૮	May 18
મે ૧૯	May 19
મે ૨૦	May 20
મે ૨૧	May 21
મે ૨૨	May 22
મે ૨૩	May 23
મે ૨૪	May 24
મે ૨૫	May 25
મે ૨૬	May 26
મે ૨૭	May 27
મે ૨૮	May 28
મે ૨૯	May 29
મે ૩૦	May 30
મે ૩૧	May 31
ડિસેમ્બર ૨૧	December 21
જૂન ૧૪	June 14
જૂન ૧૫	June 15
જૂન ૧૩	June 13
જૂન ૧૦	June 10
જૂન ૭	June 7
જૂન ૧૧	June 11
જૂન ૯	June 9
જૂન ૧૨	June 12
જૂન ૬	June 6
જૂન ૮	June 8
જૂન ૫	June 5
જૂન ૩	June 3
જૂન ૨	June 2
જૂન ૧	June 1
જૂન ૪	June 4
ડિસેમ્બર ૨૨	December 22
જૂન ૧૬	June 16
જૂન ૩૦	June 30
જૂન ૨૯	June 29
જૂન ૨૮	June 28
જૂન ૨૬	June 26
જૂન ૨૫	June 25
જૂન ૨૨	June 22
જૂન ૨૭	June 27
જૂન ૨૪	June 24
જૂન ૨૦	June 20
જૂન ૨૩	June 23
જૂન ૧૯	June 19
જૂન ૧૮	June 18
જૂન ૨૧	June 21
જૂન ૧૭	June 17
ડિસેમ્બર ૨૩	December 23
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	July 15
જુલાઇ ૧૩	July 13
જુલાઇ ૧૨	July 12
જુલાઇ ૧૦	July 10
જુલાઇ ૯	July 9
જુલાઇ ૧૪	July 14
જુલાઇ ૮	July 8
જુલાઇ ૭	July 7
જુલાઇ ૬	July 6
જુલાઇ ૫	July 5
જુલાઇ ૨	July 2
જુલાઇ ૪	July 4
જુલાઇ ૩	July 3
જુલાઇ ૧	July 1
જુલાઇ ૧૧	July 11
ડિસેમ્બર ૨૪	December 24
જુલાઇ ૩૧	July 31
જુલાઇ ૩૦	July 30
જુલાઇ ૨૯	July 29
જુલાઇ ૨૮	July 28
જુલાઇ ૨૭	July 27
જુલાઇ ૨૫	July 25
જુલાઇ ૨૪	July 24
જુલાઇ ૨૩	July 23
જુલાઇ ૨૬	July 26
જુલાઇ ૨૨	July 22
જુલાઇ ૧૯	July 19
જુલાઇ ૨૧	July 21
જુલાઇ ૨૦	July 20
જુલાઇ ૧૭	July 17
જુલાઇ ૧૮	July 18
જુલાઇ ૧૬	July 16
અસોસિએશન ફુટબોલ	Association football
ડિસેમ્બર ૨૫	December 25
ડિસેમ્બર ૨૬	December 26
ઓગસ્ટ ૧૪	August 14
ઓગસ્ટ ૧૫	August 15
ઓગસ્ટ ૧૩	August 13
ઓગસ્ટ ૧૨	August 12
ઓગસ્ટ ૧૧	August 11
ઓગસ્ટ ૧૦	August 10
ઓગસ્ટ ૮	August 8
ઓગસ્ટ ૭	August 7
ઓગસ્ટ ૯	August 9
ઓગસ્ટ ૫	August 5
ઓગસ્ટ ૪	August 4
ઓગસ્ટ ૨	August 2
ઓગસ્ટ ૩	August 3
ઓગસ્ટ ૬	August 6
ઓગસ્ટ ૧	August 1
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	December 27
સબમરીન	Submarine
ઓગસ્ટ ૧૬	August 16
ઓગસ્ટ ૨૯	August 29
ઓગસ્ટ ૨૮	August 28
ઓગસ્ટ ૩૦	August 30
ઓગસ્ટ ૨૫	August 25
ઓગસ્ટ ૨૬	August 26
ઓગસ્ટ ૨૩	August 23
ઓગસ્ટ ૨૭	August 27
ઓગસ્ટ ૨૧	August 21
ઓગસ્ટ ૨૦	August 20
ઓગસ્ટ ૨૪	August 24
ઓગસ્ટ ૧૮	August 18
ઓગસ્ટ ૧૭	August 17
ઓગસ્ટ ૨૨	August 22
ઓગસ્ટ ૧૯	August 19
ઓગસ્ટ ૩૧	August 31
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	December 28
સપ્ટેમ્બર ૧૫	September 15
સપ્ટેમ્બર ૧૪	September 14
સપ્ટેમ્બર ૧૩	September 13
સપ્ટેમ્બર ૧૨	September 12
સપ્ટેમ્બર ૮	September 8
સપ્ટેમ્બર ૧૧	September 11
સપ્ટેમ્બર ૭	September 7
સપ્ટેમ્બર ૧૦	September 10
સપ્ટેમ્બર ૫	September 5
સપ્ટેમ્બર ૪	September 4
સપ્ટેમ્બર ૯	September 9
સપ્ટેમ્બર ૨	September 2
સપ્ટેમ્બર ૬	September 6
સપ્ટેમ્બર ૧	September 1
સપ્ટેમ્બર ૩	September 3
ડિસેમ્બર ૨૯	December 29
સપ્ટેમ્બર ૩૦	September 30
સપ્ટેમ્બર ૨૯	September 29
સપ્ટેમ્બર ૨૮	September 28
સપ્ટેમ્બર ૨૭	September 27
સપ્ટેમ્બર ૨૬	September 26
સપ્ટેમ્બર ૨૫	September 25
સપ્ટેમ્બર ૨૩	September 23
સપ્ટેમ્બર ૨૨	September 22
સપ્ટેમ્બર ૨૪	September 24
સપ્ટેમ્બર ૨૧	September 21
સપ્ટેમ્બર ૨૦	September 20
સપ્ટેમ્બર ૧૮	September 18
સપ્ટેમ્બર ૧૭	September 17
સપ્ટેમ્બર ૧૯	September 19
સપ્ટેમ્બર ૧૬	September 16
ડિસેમ્બર ૩૦	December 30
ડિસેમ્બર ૩૧	December 31
ઓક્ટોબર ૧	October 1
ઓક્ટોબર ૧૫	October 15
ઓક્ટોબર ૧૨	October 12
ઓક્ટોબર ૧૦	October 10
ઓક્ટોબર ૧૪	October 14
ઓક્ટોબર ૯	October 9
ઓક્ટોબર ૮	October 8
ઓક્ટોબર ૧૩	October 13
ઓક્ટોબર ૭	October 7
ઓક્ટોબર ૧૧	October 11
ઓક્ટોબર ૬	October 6
ઓક્ટોબર ૪	October 4
ઓક્ટોબર ૫	October 5
ઓક્ટોબર ૩	October 3
ઓક્ટોબર ૨	October 2
બકરી	Goat
ઓક્ટોબર ૩૧	October 31
ઓક્ટોબર ૩૦	October 30
ઓક્ટોબર ૨૯	October 29
